"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","maximumElevationInMeters","individualCount","minimumElevationInMeters","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","1181982","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","coerulea","Qualea coerulea","Aubl.","O. Kosovsky","A. S. Tavares","328","1987","11","02","South America","Brazil","Pará","Ilha de Marajó, Rio Anajás, acima de Anajás, Cuanta. Mata de terra firme.","-49.9398887","-0.9819837","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1316572' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181982","NY01181982_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02026808","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","coerulea","Qualea coerulea","Aubl.",NA,"J. M. Pires","2630","1950","08","20","South America","Brazil","Pará","Várzea do Utinga","-48.42052","-1.415684","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2171870' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026808","NY02026808_01","Belém",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02026809","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","coerulea","Qualea coerulea","Aubl.",NA,"B. V. Rabelo","2758","1984","06","08","South America","Brazil","Amapá","Braço do Rio Cajari. Margem de rio.","-51.2893981933594","-0.115000002086163","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2171871' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026809","NY02026809_01","Mazagão","195641","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02026810","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","coerulea","Qualea coerulea","Aubl.",NA,"M. L. Kawasaki","394","1989","10","30","South America","Brazil","Pará","Reserva da APEG","-48.5043983459473","-1.4558299779892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2171872' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026810","NY02026810_01","Belém","48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:50:38-03","EAO","IAN","146519","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Vochysiaceae","Qualea","coerulea","Qualea coerulea","Aubl.","Cordeiro, MR","Santos, RR dos; Carvalho, JFV",NA,"1975","04","04","Southern America","Brasil","Pará","IPEAN, Capoeira Black 157.","-48.5043983459473","-1.4558299779892",NA,"Árvore de 17m e 1,3m de circ. Estéril. Amostra química No.348.","IAN146519",NA,"Belém","48462","auto","2013","10","10",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:08:10-03","NBC","NL-BOTANY","U 0279862","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","coerulea","Qualea coerulea","Aubl.",NA,"Stahel G",NA,NA,NA,NA,"Southern America","Surinam",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200279862 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0279862",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw333",NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:08:10-03","NBC","NL-BOTANY","L 0693387","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","coerulea","Qualea coerulea","Aubl.",NA,"Stahel G",NA,NA,NA,NA,"Southern America","Surinam",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200693387 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0693387",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:08:10-03","NBC","NL-BOTANY","L 0693388","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","coerulea","Qualea coerulea","Aubl.",NA,"Landsbosbeheer Suriname",NA,NA,NA,NA,"Southern America","Surinam",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200693388 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0693388",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:08:10-03","NBC","NL-BOTANY","L.1084002","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","coerulea","Qualea coerulea","Aubl.",NA,"Bosbeheer Suriname (BBS)",NA,"1950","02","14","Southern America","Surinam",NA,"Jaffa (Commw.)",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1084002 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1084002","NL-L1084002",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw2012",NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:08:10-03","NBC","NL-BOTANY","L.1084003","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Qualea","coerulea","Qualea coerulea","Aubl.",NA,"Bosbeheer Suriname (BBS)",NA,"1950","02","14","Southern America","Surinam",NA,"Jaffa (Commw.)",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1084003 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1084003","NL-L1084003",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw2012",NA,NA,NA,NA,NA,NA
