"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","110710","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Dichapetalaceae","Stephanopodium","engleri","Stephanopodium engleri","Baill.","G. T. Prance","W. W. Thomas","11237","1996","11","14","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal. Trail to peak of Monte Pascoal. At base of trail & on lower slopes.","-40.5747","-15.2647","100","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00110710","NY00110710_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02332001","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Dichapetalaceae","Stephanopodium","engleri","Stephanopodium engleri","Baill.",NA,"H. L. de M. Barreto","10584","1939","12","29","South America","Brazil","Minas Gerais","Belo Horizonte","Bairro do Bonfim","-43.9378","-19.9208",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2507316' target='other'> <mi>dwc_moreinfo</mi></a>","NY02332001","NY02332001_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:37:40-03","EAO","IAN","14709","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Dichapetalaceae","Stephanopodium","engleri","Stephanopodium engleri","Baill.","Prance, GT","Magalhães, MG","s.n.","1940","04","08","Southern America","Brasil","Minas Gerais","Belo Horizonte","Sujo-Bomfim.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Pouco frequente, árvore de 6m de altura. Flores amareladas.","IAN014709","IAN014709 IAN014709_e IAN014709_e1","1969","10","17082","auto",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:37:40-03","EAO","IAN","14564","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Dichapetalaceae","Stephanopodium","engleri","Stephanopodium engleri","Baill.",NA,"Magalhães, MG","s.n.","1940","03","18","Southern America","Brasil","Minas Gerais","Belo Horizonte","Sujo-Bomfim.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Pouco frequente; árvore de 6m de altura.","IAN014564","IAN014564 IAN014564_1 IAN014564_e",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:13:32-03","UFBA","ALCB","64287","PreservedSpecimen","Plantae","Dicotyledon",NA,"Dichapetalaceae","Stephanopodium","engleri","Stephanopodium engleri","Baill.","Prance, GT","Thomas, W; Carvalho, A; Amorim, AMA; Jardim, JG; Sant'Ana, S; Paixão, JL","s/n","1996","11","14","Southern America","Brasil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal. Trail to peak of Monte Pascoal. At base of trail & on lower slopes.","-40.574722","-15.264722","100","100",NA,"Tree, 14 m. Leaves deep green above, light green beneath; flowers creamy white.; Southern Bahian Wet Forest.","ALCB042249",NA,"1997",NA,NA,NA,"-40.574722","-15.264722",NA,NA,NA,NA,NA
"6","2020-11-04 11:05:58-03","ESALQ","ESA","78773","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Dichapetalaceae","Stephanopodium","engleri","Stephanopodium engleri","Baill.","Barreto, M.","Barreto, M.","10584.0","1939","12","29",NA,"Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"ESA078773","ESA078773",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:05:58-03","ESALQ","ESA","78504","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Dichapetalaceae","Stephanopodium","engleri","Stephanopodium engleri","Baill.","Barreto, M.","Barreto, M.","10585.0","1939","12","29",NA,"Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"ESA078504","ESA078504",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:34:05-03","UFJF","CESJ","36465","PreservedSpecimen","Plantae","Angiosperma",NA,"Dichapetalaceae","Stephanopodium","engleri","Stephanopodium engleri","Baill.","H.L. Mello Barreto","H.L. Mello Barreto","10585","1939","12","29","América do Sul","Brasil","Minas Gerais","Belo Horizonte","Bairro do Bomfim","-43.937801361084","-19.9207992553711",NA,NA,NA,"Habitat sujo. Flor amarelada. Árvore 6,0m.. Pouco freqüente.","CESJ036465",NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:22:44-03","MBM","MBM","284892","PreservedSpecimen","Plantae",NA,NA,"Dichapetalaceae","Stephanopodium","engleri","Stephanopodium engleri","Baill.","Prance, G.T.","Thomas, W.W.; et al.; et al.","11237","1996","11","14","Southern America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal","-39.0647010803223","-16.4496994018555",NA,NA,NA,NA,"MBM284892","MBM284892",NA,NA,"68835","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:22:44-03","MBM","MBM","258647","PreservedSpecimen","Plantae",NA,NA,"Dichapetalaceae","Stephanopodium","engleri","Stephanopodium engleri","Baill.","Barreto, M.","Barreto, M.","10584","1939","12","27","Southern America","Brazil","Minas Gerais","Belo Horizonte","Bomfim","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"MBM258647","MBM258647",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
