"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","recordNumber","occurrenceRemarks","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","eventTime","sex"
"1","2021-04-05 14:33:44-03","UNESC","CRI","5463","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","Marcos Sobral","1996","06","02","Vanilde Citadini-Zanette; C. Galvani e C. Goulart","1996","05","08","Brasil","Santa Catarina","Imbituba","-48.670278","-28.240556","48º40'13''W","28º14'26''S","CRI005096","CRI005096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","10316","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","Fábio C. S. Vieira","2020","04","17","Robson dos Santos; Isabel Alves dos Santos, Alecssandro S. Klein","2009","07","21","Brasil","Santa Catarina","Grão Pará","-49.214722","-28.185","49º12'53''W","28º11'6''S","CRI005106","CRI005106","Serra do Corvo Branco.","840","840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:37-03","UNESC","CRI","4058","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1989","12","10","Brasil","Rio Grande do Sul","Pinheiro Machado","-53.381389","-31.578889","53º22'53''W","31º34'44''S","CRI005095","CRI005095","BR 293 5 m da cidade em direção a Bagé.",NA,NA,"1546","Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:37-03","UNESC","CRI","13030","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","Verdi, M","2009","04","23","Verdi, M.; Hasckel, R.P. & Klemz, G.","2009","04","23","Brasil","Santa Catarina","Urubici","-49.406667","-28.080278","49º24'24''W","28º4'49''S","CRI011673",NA,NA,"113","113","2006","Florística IFFSC 167(Arbórea) Habitat: Floresta nebular e campos naturais; Estágio Avançado; mata ciliar Habito: árvore; Fruto vermelho;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:44-03","UNESC","CRI","8044","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","Rafael Martins","2008","04","26","Beatriz Wessler; Bruna Alberton","2008","04","25","Brasil","Santa Catarina","Içara","-49.300278","-28.713889","49º18'1''W","28º42'50''S","CRI005094","CRI005094","SANTEC Resíduos.","52","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:44-03","UNESC","CRI","8605","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","Vanilde C. Zanette","2001","04","20","Clair M. Martinello","2001","04","20","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI005093","CRI005093","Mata da SATC e da UNESC.","58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:44-03","UNESC","CRI","14455","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","Gasper, AL de",NA,NA,NA,"Uller, H.F.","2009","03","21","Brasil","Santa Catarina","Otacílio Costa","-50.113611","-27.506667","50º6'49''W","27º30'24''S","CRI013595","CRI013595",NA,NA,NA,"113","Habitat: Floresta Ombrófila Mista; Habito: Fruto alaranjado;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:44-03","UNESC","CRI","4156","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","Ribeiro, C.L.","2019","08","05","V. P. Boff","1995","11","29","Brasil","Santa Catarina","Jacinto Machado","-49.761111","-29.000278","49º45'40''W","29º0'1''S","CRI005005","CRI005005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:44-03","UNESC","CRI","4040","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","Marcos Sobral",NA,NA,NA,"J. A. Jarenkow","1989","12","03","Brasil","Rio Grande do Sul","Morro Redondo","-52.625556","-31.591944","52º37'32''W","31º35'31''S","CRI005097","CRI005097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:37-03","UNESC","CRI","14456","PreservedSpecimen","Plantae","Myrtaceae","Blepharocalyx","salicifolius","Blepharocalyx salicifolius","(Kunth) O.Berg","Verdi, M","2008","12","12","Verdi, M.; Grosch, B. & Klemz, G.","2008","12","12","Brasil","Santa Catarina","Capão Alto","-50.716111","-28.214167","50º42'58''W","28º12'51''S","CRI013594","CRI013594",NA,"880","880","1183","Florística IFFSC 483. Habitat: Ecótono Floresta Ombrófila Mista e Floresta Estacional Decidual; Habito: flor branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
