"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:25:24-03","UNESC","CRI","9574","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart.) Mez","A. L. de Gasper","2010","07","28","A. Korte; A. Kniess","1316","2009","12","03","Brasil","Santa Catarina","Ituporanga","Alto Rio Bonito.","-49.410556","-27.54","49º24'38''W","27º32'24''S","676","676","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI003794","CRI003794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:24-03","UNESC","CRI","9714","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart.) Mez","M. Sobral","2009","07","17","S. Dreveck; F.E. Carneiro","838","2009","04","21","Brasil","Santa Catarina","Alfredo Wagner","Lomba Alta.","-49.409167","-27.700278","49º24'33''W","27º42'1''S","612","612","Floresta Ombrófila Mista Habito: arvoreta","CRI003791","CRI003791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:24-03","UNESC","CRI","3276","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart.) Mez","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Robson dos Santos","1896","1992","03","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI003796","CRI003796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:37-03","UNESC","CRI","9448","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart.) Mez","A. L. de Gasper","2010","10","13","T.J. Cadorin","2856","2010","06","30","Brasil","Santa Catarina","Indaial","Faxinal do bepe - PNSI.","-49.201667","-27.110833","49º12'6''W","27º6'39''S","96","96","Habitat: área aberta Habito: arbórea","CRI003793","CRI003793",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:18-03","E","E","259553","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata",NA,NA,NA,NA,NA,"Sellow, Friedrich",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00259553 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259553",NA,"unspecified kind of","E. Tropical South America","herbarium specimen of unspecif","BGBASE:271778",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","537980","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart. ex Nees) Mez","H. H. van der Werff",NA,NA,NA,"B. Rambo","31543","1946","02","03","Brazil","Santa Catarina","Sombrio","Araranguá, Sombrío","-49.635936","-29.103288",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537980","NY00537980_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"7","2016-09-29 17:37:00-03","NY","NYBG","538014","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata",NA,NA,NA,NA,NA,"L. Riedel","1832","1834","01",NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"Comm ex herb. Horti Imp. Petropol. 1860 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538014","NY00538014_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","537983","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart. ex Nees) Mez","H. H. van der Werff",NA,NA,NA,"G. Eiten","8090-D","1968","01","17","Brazil","São Paulo","Sao Paulo","Grounds of the Instituto de Botânica, 10 km south of center of city of Sao Paulo","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705403' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537983","NY00537983_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","537988","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart. ex Nees) Mez","I. de Vattimo",NA,NA,NA,"R. Reitz","934","1953","08","12","Brazil","Santa Catarina","Brusque","Azambuja, Brusque","-48.910147","-27.126635",NA,NA,"80","80","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705408' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537988","NY00537988_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","537986","PreservedSpecimen","Plantae","Lauraceae","Ocotea","lanata","Ocotea lanata","(Nees & Mart. ex Nees) Mez","J. B. Baitello",NA,NA,NA,"M. das G. L. Wanderley","122","1978","01","13","Brazil","São Paulo","Sao Paulo","Sao Paulo, Parque Estadual das Fontes do Ipiranga, Jardim Botânico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537986","NY00537986_01",NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA
