NAME,F_CLASS,F_DESIG,ADM1,ADM2,string_check,mpo_check
Ribeirao 15 de Janeiro,H,STM,SAO PAULO,Lavinia,ribeiraodejaneiro,lavinia
Ribeirao 10 do Decembro,H,STM,SAO PAULO,Lavinia,ribeiraododecembro,lavinia
Ribeirao 3 Poeos,H,STM,PARANA,Londrina,ribeiraopoeos,londrina
Ilha dos 3 Estados,T,ISL,MATO GROSSO DO SUL,APARECIDA DO TAB,ilhadosestados,aparecidadotab
Ribeirao 3 Barras,H,STM,MATO GROSSO DO SUL,BRASILANDIA,ribeiraobarras,brasilandia
Zogaias,P,PPL,MINAS GERAIS,SACRAMENTO,zogaias,sacramento
Zita Bernardes,P,PPL,MINAS GERAIS,POCOS DE CALDAS,zitabernardes,pocosdecaldas
Zeringota,S,RSTN,MINAS GERAIS,BOM SUCESSO,zeringota,bomsucesso
Zelinda,S,RSTN,MINAS GERAIS,PASSA VINTE,zelinda,passavinte
Zacarias,P,PPL,SAO PAULO,Planalto,zacarias,planalto
Ribeirao Yporanga,H,STM,SAO PAULO,Iporanga,ribeiraoyporanga,iporanga
Yporanga,P,PPL,SAO PAULO,Iporanga,yporanga,iporanga
Ribeirao Ypiranga,H,STM,MATO GROSSO DO SUL,BRASILANDIA,ribeiraoypiranga,brasilandia
Ypiranga,P,PPL,PARANA,Ipiranga,ypiranga,ipiranga
Yepe,P,PPL,SAO PAULO,Iepe,yepe,iepe
Yacy,P,PPL,SAO PAULO,Jaci,yacy,jaci
Morro Xixova,T,HLL,,,morroxixova,
Municipio de Xiririca,P,PPL,SAO PAULO,Jacupiranga,municipiodexiririca,jacupiranga
Xiririca,P,PPL,SAO PAULO,Jacupiranga,xiririca,jacupiranga
Xavier,P,PPL,SAO PAULO,Brotas,xavier,brotas
Xavantina,P,PPL,MATO GROSSO DO SUL,BRASILANDIA,xavantina,brasilandia
Ilhas dos Xavantes,T,ISLS,SAO PAULO,Teodoro Sampaio,ilhasdosxavantes,teodorosampaio
Xavantes,P,PPL,SAO PAULO,Chavantes,xavantes,chavantes
Xarqueada,S,RSTN,MINAS GERAIS,CARMO DA MATA,xarqueada,carmodamata
Xarqueada,P,PPL,SAO PAULO,Charqueada,xarqueada,charqueada
wFazenda Maia,P,PPL,SAO PAULO,Maraba Paulista,wfazendamaia,marabapaulista
Wenceslau Braz,P,PPL,PARANA,Venceslau Bras,wenceslaubraz,venceslaubras
Washington Luiz,P,PPL,PARANA,Sto.Antonio da P,washingtonluiz,stoantoniodap
Serra Vuturuvu,T,HLLS,PARANA,Rio Branco do Su,serravuturuvu,riobrancodosu
Votuverava,P,PPL,PARANA,Rio Branco do Su,votuverava,riobrancodosu
Votuverava,P,PPL,PARANA,Rio Branco do Su,votuverava,riobrancodosu
Morro Voturua,T,HLL,,,morrovoturua,
Serra Voturoru,T,HLLS,PARANA,Rio Branco do Su,serravoturoru,riobrancodosu
Voturantim,P,PPL,SAO PAULO,Sorocaba,voturantim,sorocaba
Votuporanga,P,PPL,SAO PAULO,Votuporanga,votuporanga,votuporanga
Votorantim,P,PPL,SAO PAULO,Sorocaba,votorantim,sorocaba
Rio Voraz,H,STM,PARANA,Pitanga,riovoraz,pitanga
Rio Vora,H,STM,PARANA,Pitanga,riovora,pitanga
Rio Vora,H,STM,PARANA,Pirai do Sul,riovora,piraidosul
Rio Vora,H,STM,PARANA,Goio-Ere,riovora,goioere
Vora,P,PPL,PARANA,Pitanga,vora,pitanga
Ribeirao da Volta Grande,H,STM,MATO GROSSO DO SUL,PARANAIBA,ribeiraodavoltagrande,paranaiba
Volta Grande,P,PPL,PARANA,Bocaiuva do Sul,voltagrande,bocaiuvadosul
Volta Grande,P,PPL,SAO PAULO,Uniao Paulista,voltagrande,uniaopaulista
Lagoa da Volta,H,LK,SAO PAULO,Iguape,lagoadavolta,iguape
Viuva,P,PPL,MINAS GERAIS,PERDIGAO,viuva,perdigao
Vitor Tam,P,PPL,MINAS GERAIS,CORREGO DANTA,vitortam,corregodanta
Vitorino,P,PPL,MATO GROSSO DO SUL,TRES LAGOAS,vitorino,treslagoas
Vitoria Paulista,P,PPL,SAO PAULO,Parapua,vitoriapaulista,parapua
Vitoriana,P,PPL,SAO PAULO,Botucatu,vitoriana,botucatu
Vitoria Brasil,P,PPL,SAO PAULO,Jales,vitoriabrasil,jales
Ilha da Vitoria,T,ISL,,,ilhadavitoria,
Vitoria,P,PPL,SAO PAULO,Botucatu,vitoria,botucatu
Vitoria,P,PPL,SAO PAULO,Parapua,vitoria,parapua
Vitoria,P,PPL,SAO PAULO,Pereira Barreto,vitoria,pereirabarreto
Vitor,P,PPL,PARANA,Adrianopolis,vitor,adrianopolis
Vistosa,P,PPL,MINAS GERAIS,CANA VERDE,vistosa,canaverde
Vista Alegre do Alto,P,PPL,SAO PAULO,Vista alegre do,vistaalegredoalto,vistaalegredo
Vista Alegre,S,RSTP,RIO DE JANEIRO,BARRA MANSA,vistaalegre,barramansa
Vista Alegre,P,PPL,SAO PAULO,Mirante Do Paran,vistaalegre,mirantedoparan
Vista Alegre,P,PPL,SAO PAULO,Quata,vistaalegre,quata
Vista Alegre,P,PPL,MINAS GERAIS,LAVRAS,vistaalegre,lavras
Vista Alegre,P,PPL,SAO PAULO,Vista alegre do,vistaalegre,vistaalegredo
Ponta da Vista,T,PT,,,pontadavista,
Visconde Soutelo,S,RSTN,SAO PAULO,Mte Alegre Do Su,viscondesoutelo,mtealegredosu
Visconde Rio Claro,S,RSTN,SAO PAULO,Itirapina,visconderioclaro,itirapina
Estaeao Visconde do Rio Claro,S,RSTN,SAO PAULO,Itirapina,estaeaoviscondedorioclaro,itirapina
Visconde de Soutelo,S,RSTN,SAO PAULO,Mte Alegre Do Su,viscondedesoutelo,mtealegredosu
Visconde de Parnaiba,S,RSTN,SAO PAULO,Jardinopolis,viscondedeparnaiba,jardinopolis
Visconde de Paranaiba,S,RSTN,SAO PAULO,Jardinopolis,viscondedeparanaiba,jardinopolis
Serra da Virginia,T,HLLS,MINAS GERAIS,VIRGINIA,serradavirginia,virginia
Virginia,P,PPL,MINAS GERAIS,VIRGINIA,virginia,virginia
Virgilio de Paula,P,PPL,MINAS GERAIS,FORMIGA,virgiliodepaula,formiga
Virgilio Costa,P,PPL,MINAS GERAIS,IGUATAMA,virgiliocosta,iguatama
Serra da Virgem Maria,T,MTS,SAO PAULO,Barra Do Turvo,serradavirgemmaria,barradoturvo
Vira Sol,P,PPL,MINAS GERAIS,PIEDADE D'GERAI,virasol,piedadedgerai
Viradouro,P,PPL,SAO PAULO,Viradouro,viradouro,viradouro
Viradoura,P,PPL,SAO PAULO,Viradouro,viradoura,viradouro
Virador,P,PPL,SAO PAULO,Meridiano,virador,meridiano
Ribeirao do Vintem,H,STM,MINAS GERAIS,S.RITA D'SAPUCA,ribeiraodovintem,sritadsapuca
Vinhedo,P,PPL,SAO PAULO,Vinhedo,vinhedo,vinhedo
Villa Raffard,P,PPL,SAO PAULO,Capivari,villaraffard,capivari
Villa Preta,P,PPL,PARANA,Tibaji,villapreta,tibaji
Villa Novaes,P,PPL,SAO PAULO,Tabapua,villanovaes,tabapua
Villa Nova de Resende,P,PPL,MINAS GERAIS,NOVA RESENDE,villanovaderesende,novaresende
Villa Maria,P,PPLX,SAO PAULO,Sao Paulo,villamaria,saopaulo
Villa Elizario,P,PPL,SAO PAULO,Catanduva,villaelizario,catanduva
Villa Bella,P,PPL,SAO PAULO,Ilhabela,villabella,ilhabela
Villa Antonina,P,PPL,SAO PAULO,Auriflama,villaantonina,auriflama
Villa Anastacio,P,PPLX,SAO PAULO,Sao Paulo,villaanastacio,saopaulo
Villa Americana,P,PPL,SAO PAULO,Americana,villaamericana,americana
Vilela,P,PPL,MINAS GERAIS,PASSOS,vilela,passos
Vila Velha,P,PPL,SAO PAULO,Iguape,vilavelha,iguape
