etiqueta,presenca_ambigua,n
"aiouea trinerviskuhlmann, m.; machado, j.s.n.1946",amb,2
"aiouea trinerviskuhlmann, m.s.n.na",amb,2
"annona dolabripetalaflores, t.b.17922013",amb,2
"annona dolabripetalahandro, o.12011967",amb,2
"annona dolabripetalaqueiroz, j.m.301331993",amb,2
"annona dolabripetalasanches, c.d.; bastos, e.b.; hoffmann, j.r.r.; gorenstein, m.r.; pereira, v.f.411994",amb,2
"annona emarginatabernacci, l.c.41142006",amb,2
"annona emarginatabettiol neto, j.e.s.n.2005",amb,2
"aspidosperma parvifoliumjung-mendaçolli, s.l.; cardoso, e.g.; silva, a.m.c.6581994",amb,2
"aspidosperma polyneurongarcia, l.c.1772009",amb,2
"aspidosperma polyneuronsims; melis, j.14232008",amb,2
"bernardia pulchellacordeiro, i.19451999",amb,2
"cupania furfuraceakuhlmann, m.27841951",amb,2
"dicksonia sellowianagonzatti, f.43312018",amb,2
"dipteryx alataguimarães, j.g.14741982",amb,2
"escallonia chlorophyllacordeiro, i.17581998",amb,2
"hippeastrum striatumdutilh, j.h.a.; peixoto, m.s.n.2008",amb,2
"hymenophyllum elegansgonzatti, f.43432018",amb,2
"hymenophyllum elegansgonzatti, f.43742018",amb,2
"inga lanceifoliasilva, e.d.s.n.2008",amb,2
"mikania chlorolepisforster, w.; batista, f.r.q.; micheletto, f.; liesenfeld, m.v.a.; san-martin, i.; peroni, n.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.2762000",amb,2
"mikania malacolepispastore, m.; simão bianchini, r.; silva, o.l.m.; bianchini, s.2282013",amb,2
"mollinedia clavigerasouza, v.c.105861996",amb,2
"myrceugenia franciscensissouza, v.c.; miyagi, p.h.; souza, j.p.; nakagomi, m.y.73611994",amb,3
"ocotea catharinensisjung-mendaçolli, s.l.8481997",amb,2
"ocotea catharinensisleitão filho, h.f.11941971",amb,2
"ocotea odoriferajung-mendaçolli, s.l.6721997",amb,2
"ocotea odoriferajung-mendaçolli, s.l.7771997",amb,2
"rhynchospora tenuissilva, c.r.m.s.n.na",amb,3
"sida acranthaleitão filho, h.f.19711971",amb,2
"stephanopodium estrellensecampos, m.c.r.; belinello, r.9452006",amb,2
"tachigali denudatacampos, m.c.r.; belinello, r.; assis, m.a.; guaraldo, a.5712006",amb,2
"terminalia kleiniicampos, m.c.r.; gomes, j.a.m.a.; benedetti, f.j.9832006",amb,2
"terminalia kleiniikuhlmann, m.27511951",amb,2
"tillandsia tenuifoliaflores, t.b.; rodrigues, r.r.18272013",amb,2
"trixis glazioviisimão bianchini, r.; bianchini, s.10801997",amb,2
viola subdimidiataaltamiros.n.1945,amb,2
"vriesea pabstiisilva, l.; lima, a.s.s.n.1940",amb,2
"weinmannia paulliniifoliagonzatti, f.; peralta, d.f.; britto, o.; peralta, d.f.; britto, o.43562018",amb,2
"weinmannia paulliniifoliagonzatti, f.43562018",amb,2
