mpo_county,mpo_check,mpo_check2,mpo_check3
Cubatão,cubatao,NA,cubatao
Salesópolis,salesopolis,NA,salesopolis
Mauá,maua,NA,maua
São Bernardo do Campo,saobernardodocampo,NA,saobernardodocampo
Sorocaba,sorocaba,NA,sorocaba
Conchas,conchas,NA,conchas
São José dos Campos,saojosedoscampos,NA,saojosedoscampos
Itararé,itarare,NA,itarare
São Paulo,saopaulo,NA,saopaulo
NA,NA,NA,NA
São Lorenço da Serra,saolorencodaserra,saolourencodaserra,saolourencodaserra
Itapecirica da Serra,itapeciricadaserra,itapecericadaserra,itapecericadaserra
Ibiúna,ibiuna,NA,ibiuna
Miracatú,miracatu,NA,miracatu
Piquete,piquete,NA,piquete
São José do Barreiro,saojosedobarreiro,NA,saojosedobarreiro
Santa Olivia,santaolivia,NA,santaolivia
Nova Odessa,novaodessa,NA,novaodessa
Delfim Moreira,delfimmoreira,NA,delfimmoreira
Itanhaém,itanhaem,NA,itanhaem
Biritiba Mirim,biritibamirim,NA,biritibamirim
Santo André,santoandre,NA,santoandre
Atibaia,atibaia,NA,atibaia
Jundiaí,jundiai,NA,jundiai
Cotia,cotia,NA,cotia
Botucatu,botucatu,NA,botucatu
Itirapina,itirapina,NA,itirapina
Mogi-Guaçu,mogiguacu,NA,mogiguacu
São Carlos,saocarlos,NA,saocarlos
Angatuba,angatuba,NA,angatuba
Guarulhos,guarulhos,NA,guarulhos
Mongaguá,mongagua,NA,mongagua
Sao Paulo,saopaulo,NA,saopaulo
Santos,santos,NA,santos
Franco da Rocha,francodarocha,NA,francodarocha
Biritiba-ussu,biritibaussu,NA,biritibaussu
Itatiaia,itatiaia,NA,itatiaia
Juquiá,juquia,NA,juquia
Campinas,campinas,NA,campinas
São Sebastião,saosebastiao,NA,saosebastiao
Embú das Artes,embudasartes,NA,embudasartes
Saltão,saltao,NA,saltao
Mogi das Cruzes,mogidascruzes,NA,mogidascruzes
Carapicuiba,carapicuiba,NA,carapicuiba
Ribeirão Grande da Serra,ribeiraograndedaserra,NA,ribeiraograndedaserra
Sete Barras,setebarras,NA,setebarras
Itapira,itapira,NA,itapira
Santa Bárbara d'Oeste,santabarbaradoeste,NA,santabarbaradoeste
Sabino,sabino,NA,sabino
Campos do Jordão,camposdojordao,NA,camposdojordao
Teodoro Sampaio,teodorosampaio,NA,teodorosampaio
José Bonifacio,josebonifacio,NA,josebonifacio
Américo de Campos,americodecampos,NA,americodecampos
Iguape,iguape,NA,iguape
Osasco,osasco,NA,osasco
Pedro de Toledo,pedrodetoledo,NA,pedrodetoledo
Cosmópolis,cosmopolis,NA,cosmopolis
Embu-Guaçu,embuguacu,NA,embuguacu
São José do Rio Preto,saojosedoriopreto,NA,saojosedoriopreto
Natividade da Serra,natividadedaserra,NA,natividadedaserra
São Roque,saoroque,NA,saoroque
Peruíbe,peruibe,NA,peruibe
Ibití,ibiti,NA,ibiti
Monte Alegre do Sul,montealegredosul,NA,montealegredosul
Ibiti,ibiti,NA,ibiti
Tanabi,tanabi,NA,tanabi
"São Paulo

",saopaulo,NA,saopaulo
Mairiporã,mairipora,NA,mairipora
São Sebastião Bertioga,saosebastiaobertioga,saosebastiao,saosebastiao
Embu das Artes,embudasartes,NA,embudasartes
São Vicente,saovicente,NA,saovicente
Ubatuba,ubatuba,NA,ubatuba
Nova Aliança,novaalianca,NA,novaalianca
José Bonifácio,josebonifacio,NA,josebonifacio
Sales,sales,NA,sales
Mirassol,mirassol,NA,mirassol
Cabreúva,cabreuva,NA,cabreuva
Bertioga,bertioga,NA,bertioga
"São Paulo
",saopaulo,NA,saopaulo
"São Lourenço da Serra
",saolourencodaserra,NA,saolourencodaserra
São Lourenço da Serra,saolourencodaserra,NA,saolourencodaserra
Juquitiba,juquitiba,NA,juquitiba
Miracatu,miracatu,NA,miracatu
Loreto,loreto,NA,loreto
Jacareí,jacarei,NA,jacarei
Santa Isabel,santaisabel,NA,santaisabel
Nazaré Paulista,nazarepaulista,NA,nazarepaulista
Iperó,ipero,NA,ipero
Cananeia,cananeia,NA,cananeia
"Tapiraí
",tapirai,NA,tapirai
Tapiraí,tapirai,NA,tapirai
Cananéia,cananeia,NA,cananeia
Cunha,cunha,NA,cunha
sp,sp,saopaulo,saopaulo
Paranapiacaba,paranapiacaba,NA,paranapiacaba
"Sete Barras
",setebarras,NA,setebarras
"Santo André
",santoandre,NA,santoandre
Caraguatatuba,caraguatatuba,NA,caraguatatuba
São Luiz do Paraitinga,saoluizdoparaitinga,NA,saoluizdoparaitinga
Peruibe,peruibe,NA,peruibe
Paraibuna,paraibuna,NA,paraibuna
Subaúma,subauma,NA,subauma
Itatinga,itatinga,NA,itatinga
"Guarulhos
",guarulhos,NA,guarulhos
São José do Barreiros,saojosedobarreiros,saojosedobarreiro,saojosedobarreiro
Suzano,suzano,NA,suzano
Joanópolis,joanopolis,NA,joanopolis
JUNDIAI,jundiai,NA,jundiai
SãoPaulo,saopaulo,NA,saopaulo
"Jundiaí
",jundiai,NA,jundiai
Pedra Bela,pedrabela,NA,pedrabela
Ribeirao Pires,ribeiraopires,NA,ribeiraopires
Igaratá,igarata,NA,igarata
"Ibiúna
",ibiuna,NA,ibiuna
Itopitingui,itopitingui,NA,itopitingui
