long_original,lat_original,verbatimLongitude,verbatimLatitude
-47.9,0,47º54'W,22º15 'a 22º16'S
-46.935778,0,46º56'08.8W,"23º13'49,61'S"
-45.568222,0,45º34'05.6W,"23º44'09,0'S"
-49.666667,0,49º40'W,24º82'S
-49.266667,0,-49.266667,NA
-46.9222,0,"-469,222","-24,230,861"
0,-24.341667,47º0'74''W,24º20'30''S
-46.9222,0,"-469,222","-24,230,861"
0,-24.815,NA,"-24,815"
0,-22.732778,44º37'85''W,22º43'58''S
-24.27,0,24°16'12W,NA
-47.924722,0,47°55'29W,"24°10'8,9S"
-47.924722,0,47°55'29W,"24°10'8,9S"
-47.789528,0,"47°47'22,3W",NA
-47.924722,0,47°55'29W,"24°10'8,9S"
-46.7334,0,"-467,334","-23,983,333"
-46.7333,0,"-467,333","-23,983,333"
-46.7753,0,"-467,753","-23,989,083"
0,-24.1433,"-46,760,944","-241,433"
0,-2.4815,"-47,742,222","-24,815"
-46.7,0,-46.7,"-23,983,333"
-46.7753,0,"-467,753","-23,989,083"
-46.7333,0,"-467,333","-23,983,333"
-46.416666,0,-46.416666,-2385000.0
-46.991667,0,46W59'30'',23S59'72''
0,-23.536667,46W85'36,23S32'12
0,-23.536667,46W85'36,23S32'12
0,-23.533056,46W84'14,23S31'59
