etiqueta_duplicaDO,duplicados
"aphelandra squarrosaloefgren, a.cgg59721894",6/34705
"aphelandra squarrosakuhlmann, m.40761957",5/34701
"justicia pygmaealima, a.s.; silva, l.s.n.1940",11/34713
"justicia pygmaeakuhlmann, m.37721956",23/34719/21/22/34707/34711
"justicia pygmaeashirasuna, r.t.24682009",13/34717
"justicia pygmaeashirasuna, r.t.; kanashiro, s.17622008",14/34720
"justicia pygmaeashirasuna, r.t.; kanashiro, s.; morse, f.19282008",15/34721
"justicia pygmaeashirasuna, r.t.; morse, f.19322008",16/34718
"justicia pygmaeashirasuna, r.t.; morse, f.; rodrigues, r.s.20552009",12/34716
"justicia pygmaeasouza, v.c.289942003",8/34723
"justicia pygmaeasouza, v.c.; lorenzi, h.289942003",7/34709
"justicia tijucensisedwall, g.cgg59161903",25/34725
"stenandrium dulceloefgren, a.3831909",45
"stenandrium dulcehoehne, f.c.; gehrt, a.s.n.1938",40/34740/42/43/34741/34742
stenandrium dulcelizanems.n.1909,44
"stenandrium dulceriedel, l.s.n.na",47/48
"stenandrium dulceroth, l.3401942",41/34743
"stenandrium dulcesaint-hilaire, a.f.c.p.14811816",46
"stenandrium dulcesaint-hilaire, a.f.c.p.s.n.1816",34739
"stenostephanus lobeliiformiseiten, g.63201965",37/34734
"stenostephanus lobeliiformispastore, j.a.; baitello, j.b.6061995",33/34735
"stenostephanus lobeliiformismartuscelli, p.1681985",36/34728
"stenostephanus lobeliiformispastore, j.a.6061995",34/35/34730/34737
"stenostephanus lobeliiformissalviani, r.11672000",30/34729
"echinodorus paniculatusbrade, a.c.71721913",53/34749
"echinodorus paniculatuscoutinho, c.501905",54/34751
"echinodorus paniculatusglaziou, a.f.m.14288na",56/34744
"echinodorus paniculatuspickel, b.51101940",52/34745
"echinodorus paniculatususteri, a.s.n.1905",55/34750
"alstroemeria foliosapickel, b.s.n.1944",66/34762
"alstroemeria foliosaarbocz, g.f.25342002",57/34754
"alstroemeria foliosaromão, g.o.; herrerias, c.; pereira neto, m.; zevallos, p.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.; gandolfi, s.; oliveira, a.a.; souza, j.p.; ivanauskas, n.m.; nave, a.g.; furlan, e.6922001",58/34763
"alstroemeria foliosalorenzi, h.29272001",59/34755
"alstroemeria foliosahoehne, f.c.s.n.na",34767
"alstroemeria foliosaguillaumon, j.r.111980",65/34764
"alstroemeria foliosaluederwaldt, h.s.n.na",34770
"alstroemeria foliosamartius, c.f.p.s.n.na",34766
"alstroemeria foliosachukr, n.s.5681997",61/34765
"alstroemeria foliosazikán, j.f.s.n.na",34768
"alstroemeria plantagineatombolato, a.f.c.706112005",34782
"ocotea puberulasilva, c.; santos, l.c.; vidal, m.; almeida-scabbia, r.j.152008",13092
"alstroemeria plantagineabernacci, l.c.28415na",74/34772
"alstroemeria plantagineagehrt, a.s.n.na",34786
"alstroemeria plantagineagoldenberg, r.1521995",70/34777
"alstroemeria plantagineahoehne, f.c.s.n.na",34783
"alstroemeria plantagineapansarin, e.r.97/851997",34784
"alstroemeria plantagineapansarin, e.r.; belinello, r.; singer, r.b.97/851997",69/34774
"alstroemeria plantagineastehmann, j.r.; semir, j.; borba, e.l.16321995",71/34776
"alstroemeria plantagineatamashiro, j.y.211977",73/34775
"alstroemeria plantagineataroda, n.93971979",72/34773
"alstroemeria variegatasalviani, e.r.19872001",75
"alternanthera aquaticacordeiro, i.17311983",209/34917
"alternanthera flavescenssakane, m.2601975",224/34931
alternanthera kurtziicarmems.n.1984,221/34925
"alternanthera kurtziidavis, p.h.; sendulsky, t.604111981",222/34923
"alternanthera kurtziigarcia, r.j.f.4931995",217/34924
"alternanthera kurtziigarcia, r.j.f.; stahlhauer, s.a.s.; brischi, a.m.4931994",220/34928
"alternanthera kurtziigodoy, s.a.p.6771995",218/34927
"alternanthera kurtziigodoy, s.a.p.; heineberg, m.; agostinho, v.6771995",219/34929
"alternanthera kurtziirodrigues, m.e.f.292005",216/34926
"alternanthera paronychioidesbartolomeu, j.g.spf152871954",212/34920
"alternanthera paronychioidesbartolomeu, j.g.s.n.1954",211/34919/213
"alternanthera paronychioidesbrade, a.c.67721913",214/34921
"alternanthera paronychioidesrodrigues, m.e.f.3302007",210
"alternanthera paronychioidesusteri, a.s.n.1905",215/34922
"froelichia proceraabreu, m.a.f.11972",172/34803
"froelichia proceraantar, g.m.5762014",89/34889
"froelichia proceraassis, m.a.8661996",104/34867/105/34836
"froelichia proceraassis, m.a.11541998",102/34876
"froelichia procerabarreto, k.d.; fernandes, g.d.; fernandes, r.d.33471994",114/34827/115/112/34822/34893
"froelichia procerablack, g.a.111481951",34821
"froelichia proceracesar, o.2811984",136/34879
"froelichia proceracovolan, h.261983",137/34847/138/34878
"froelichia proceragarcia, f.c.p.511987",119/34837/118/34869
"froelichia procerafantinati, m.r.432002",92/34890/94/34888
"froelichia proceraag filho, f.a.g.2121980",148/34823
"froelichia procerafurlan, a.2191985",133/34868
"froelichia proceraeiten, g.; campos, j.m.d.f.34071961",197/34882
"froelichia procerag.j.shepherd, j.s.a.; salgado, p.r.72821978",160/34884
"froelichia proceraantar, g.m.; zaterka, p.g.; fidelis, a.; durigan, g.5762014",88
"froelichia procerahandro, w.91963",194/34911/192/193/34887
