"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","identifiedBy"
"1","2020-12-11 11:44:24-03","UFMG","BHCB","64885","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Centroglossa","castellensis","Centroglossa castellensis","Brade","2019","Lombardi, JA","4494","2001","10","23","Southern America","Brasil","Minas Gerais","Belo Vale","Ca. 10km pela estrada que liga a BR-040 a Belo Vale","-43.936111","-20.443611","-43.936111","-20.443611","1320","1320","Plantas do Brasil; Epífita em ramos finos; inflorescências pêndula, ápice do esporão esverdeado, restante da flor branco; Encosta de mata circundando córrego","BHCB036655",NA
"2","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","20980",NA,"Plantae",NA,"Orchidaceae","Centroglossa","castellensis","Centroglossa castellensis","Brade",NA,"A. P. Fontana; et al","577","2003","05","04",NA,"Brasil","Espírito Santo","Fundão","Goiapaba-Açu","-40.472222","-19.914167","40W28'20","19S54'51",NA,NA,"Epífita, frutos verdes.","MBML020980","A. P. Fontana/30-03-2004"
