"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","class","individualCount","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","441359","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Pilea","hilariana","Pilea hilariana","Wedd.","L. B. Smith","L. B. Smith","14385","1965","01","06","South America","Brazil","Santa Catarina","Sao Joaquim","22 km southwest of Sao Joaqui","-50.02","-28.42","1000","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=645247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441359","NY00441359_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","441361","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Pilea","hilariana","Pilea hilariana","Wedd.","S. F. Smith","O. dos S. Ribas","740","1995","01","19","South America","Brazil","Paraná","Morretes","Serra Marumbi, picada ao Olimpo","-48.8342","-25.4769",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=645246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441361","NY00441361_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","441360","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Urticaceae","Pilea","hilariana","Pilea hilariana","Wedd.","M. Sobral","M. Sobral","5055","1986","03",NA,"South America","Brazil","Rio Grande do Sul","Cambará do Sul","Faxinal, Cambará","-50.143208","-29.047894",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=645248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441360","NY00441360_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:20:20-03","ESALQ","ESA","35817","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Urticaceae","Pilea","hilariana","Pilea hilariana","Wedd.","Gaglioti, A.L.","Souza, J.P. et al.","946.0","1996","12","15",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA035817","ESA035817","2010","07","13","38855","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:20:20-03","ESALQ","ESA","40761","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Urticaceae","Pilea","hilariana","Pilea hilariana","Wedd.","Smith, S.F.","Hatschbach, G. ; Ribas, O.S.","61728.0","1995","02","18",NA,"Brasil","Santa Catarina","Urubici",NA,"-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"ESA040761","ESA040761","1995","01","01","30102","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:39-03","MN","R","158818","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Pilea","hilariana","Pilea hilariana","Wedd.","Brack, P.","Reitz, R.; Klein, R.M.","14566","1962","12","24",NA,"Brasil","Santa Catarina",NA,NA,NA,NA,"1200","1200",NA,"Plantas de Santa Catarina",NA,NA,"1987","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:41:39-03","MN","R","158833","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Pilea","hilariana","Pilea hilariana","Wedd.","Smith, L.B.","Smith, L.B.; Klein, R.M.","14385","1965","01","06",NA,"Brasil","Santa Catarina","São Joaquim",NA,"-50.016667","-28.416667","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50°01'W","28°25'S",NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:41:39-03","MN","R","39406","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Pilea","hilariana","Pilea hilariana","Wedd.","Carrijo, T.T.","Schreiner",NA,NA,NA,NA,NA,"Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007","05","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:41:39-03","MN","R","49723","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Pilea","hilariana","Pilea hilariana","Wedd.","Brack, P.","Mello Filho, L.E.","798","1948","02","10",NA,"Brasil","Santa Catarina",NA,"Bituruna",NA,NA,NA,NA,NA,NA,NA,NA,"1987","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:41:39-03","MN","R","158829","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Pilea","hilariana","Pilea hilariana","Wedd.","Brack, P.","Smith, L.B.; Klein, R.M.","7847","1956","11","22",NA,"Brasil","Santa Catarina","Bom Retiro",NA,"-49.489200592041","-27.7971992492676","1300","1300",NA,NA,NA,NA,"1987","10",NA,"35974","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-31 13:41:39-03","MN","R","158832","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Pilea","hilariana","Pilea hilariana","Wedd.","Brack, P.","Smith, L.B.; Klein, R.M.","7895","1956","11","24",NA,"Brasil","Santa Catarina","Bom Retiro",NA,"-49.489200592041","-27.7971992492676","1000","1000",NA,NA,NA,NA,"1987","10",NA,"35974","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-31 13:41:39-03","MN","R","158830","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Pilea","hilariana","Pilea hilariana","Wedd.","Brack, P.","Smith, L.B.; Klein, R.M.","7855","1956","11","22",NA,"Brasil","Santa Catarina","Bom Retiro",NA,"-49.489200592041","-27.7971992492676","1300","1300",NA,NA,NA,NA,"1987","10",NA,"35974","auto",NA,NA,NA,NA,NA,NA,NA,NA
