"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","identifiedBy","class","order","individualCount","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","preparationType"
"1","2021-03-30 12:53:04-03","EAO","IAN","116479","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Axonopus","monticola","barbinodis","Axonopus monticola barbinodis","G.A.Black","isoparatipo","Chase, A","10381","1929","12","27","Southern America","Brasil","Minas Gerais","Diamantina","Serra de San Antonio. Dense colony, almost pure stand, culms erect from bent base; marshy ground by streamlet.","-43.6002998352051","-18.2493991851807","101169","1200","1300","ZULOAGA & MORRONE (2003:127) citaram: T-Protol.: Brazil: Minas Gerais: Ouro Preto (Villa Rica), 1100 m, 7 Apr 1925, steep open rocky slopes, Agnes Chase 9353 [HT: US]. T-Specim.: 1 of 1. Brazil: Minas Gerais: Ouro Preto (Villa Rica),","IAN116479","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2008-05-27 22:02:00-03","MO","MOBOT","1580571","PreservedSpecimen","Plantae",NA,"Poaceae","Axonopus","monticola",NA,"Axonopus monticola","G.A. Black",NA,"Agnes Chase","Chase 10371","1929","12","27","South America","Brazil","Minas Gerais",NA,"Diamantina, Serra De San Antonio,",NA,NA,NA,"1200.00000000","1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2008-05-27 22:02:00-03","MO","MOBOT","227045","PreservedSpecimen","Plantae",NA,"Poaceae","Axonopus","monticola",NA,"Axonopus monticola","G.A. Black",NA,"Agnes Chase","Chase 9859","1925","5","20","South America","Brazil","São Paulo",NA,"Serra Mantiqueira.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2014-04-07 21:22:00-03","MO","MOBOT","1580568","PreservedSpecimen","Plantae",NA,"Poaceae","Axonopus","monticola",NA,"Axonopus monticola","G.A. Black",NA,"D.B. Pickel","Pickel 5923","1948","2","12","South America","Brazil","São Paulo",NA,"campos do Jordão, on a high campo",NA,NA,NA,NA,NA,NA,NA,NA,"G.A. Black",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2008-05-27 22:02:00-03","MO","MOBOT","1580570","PreservedSpecimen","Plantae",NA,"Poaceae","Axonopus","monticola",NA,"Axonopus monticola","G.A. Black",NA,"Agnes Chase","Chase 9858","1925","5","20","South America","Brazil","São Paulo",NA,"Campos do Jordão Serra Mantiqueira",NA,NA,NA,"1600.00000000",NA,NA,NA,NA,"G.A. Black",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","1580569","PreservedSpecimen","Plantae",NA,"Poaceae","Axonopus","monticola","barbinodis","Axonopus monticola barbinodis","G.A. Black",NA,"Agnes Chase","Chase 9346","1925","4","7","South America","Brazil","Minas Gerais",NA,"Ouro Preto (Villa Rica), rocky cliff",NA,NA,NA,"1100.00000000",NA,NA,NA,NA,"G.A. Black",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","1257120","PreservedSpecimen","Plantae",NA,"Poaceae","Axonopus","monticola",NA,"Axonopus monticola","G.A. Black","Holotype","A. Chase","9859","1925","5","20","South America - Neotropics","Brazil","São Paulo",NA,"Campos do Jordao, Serra Mantiqueira.",NA,NA,NA,"1600","1600",NA,"US00130251",NA,NA,"Monocotyledonae","Cyperales","1","US00130251_01",NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","1257403","PreservedSpecimen","Plantae",NA,"Poaceae","Axonopus","monticola","barbinodis","Axonopus monticola barbinodis","G.A. Black","Holotype","A. Chase","9353","1925","4","7","South America - Neotropics","Brazil","Minas Gerais",NA,"Ouro Preto, Villa Rica.",NA,NA,NA,"1100","1100",NA,"US00130253",NA,NA,"Monocotyledonae","Cyperales","1","US00130253_01",NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","1500789","PreservedSpecimen","Plantae",NA,"Poaceae","Axonopus","monticola","barbinodis","Axonopus monticola barbinodis","G.A. Black","Paratype","A. Chase","10381","1929","12","29","South America - Neotropics","Brazil","Minas Gerais",NA,"Diamantina, Serra de San Antonio.",NA,NA,NA,"1200","1300",NA,"US00130252",NA,NA,"Monocotyledonae","Cyperales","1","US00130252_01",NA,NA,NA,NA,NA
"10","2020-09-02 16:36:15-03","Cenargen","CEN","5401","PreservedSpecimen","Plantae",NA,"Poaceae","Axonopus","monticola","var. monticola","Axonopus monticola var. monticola","G.A.Black",NA,"S. C. Pereira","893","1981","03","16",NA,"Brasil","MG","POCOS DE CALDAS","Escrube de Santa Rosália.","-46.564722","-21.838888",NA,NA,NA,"Doação Flora de Poços de Caldas.","CEN00005401",NA,"J. F. M. Valls",NA,NA,"1","CEN00005401","2000","05","-46.564722","-21.838888","Exsicatas"
