"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","759166","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Pariana","carvalhoi","Pariana carvalhoi","R.P.Oliveira & Longhi-Wagner","isotype","A. M. V. de Carvalho","4382","1994","02","10","South America","Brazil","Bahia","Una","Along road S. José-Una.","-39.27","-15.12","220","220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=896835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00759166","NY00759166_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:42:51-03","UFJF","CESJ","66769","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Parianella","carvalhoi","Parianella carvalhoi","F.M. Ferreira & R.P. Oliveira",NA,"F.M. Ferreira; A.L.C. Lima","2229","2012","10","26","América do Sul","Brasil","Bahia","Una","estrada entre Una e São José da Vitória.","-39.0752983093262","-15.2932996749878",NA,NA,NA,"Floresta Ombrófila. Erva no interior de mata. Folhas verdes em ambos os lados. Inflorescência verde com estames amarelados e paleáceos e estigmas alvos.","CESJ066769",NA,"F.M. Ferreira","2012","10","36070","auto",NA,NA,NA,NA
"3","2020-08-31 09:21:34-03","INPA","INPA","105163","S","Plantae","Monocotyledon","Poales","Poaceae","Parianella","carvalhoi","Parianella carvalhoi","(R.P.Oliveira & Longhi-Wagner) F.M.Ferreira & R.P.Oliveira","paratype","Calderón, CE","2403","1976","04","28","Southern America","Brasil","Bahia","Una","Faz. Dendaevea, 30 Km W of Una on old road Una - BR 101.","-39.0752983093262","-15.2932996749878","160","160",NA,NA,"INPA0105163",NA,"Oliveira, RP de","2017","05","36070","auto",NA,NA,NA,NA
"4","2019-10-07 09:22:15-03","UEFS","HUEFS","229826","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Pariana","carvalhoi","Pariana carvalhoi",NA,NA,"Mota, A.C.","298","2009","07","06",NA,"Brasil","Rio de Janeiro","São José","Estrada São José p/ Olivença, 14 km da Br 101 em direção a Olivença.",NA,NA,NA,NA,NA,NA,"HUEFS0229826",NA,NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA
"5","2019-10-07 09:22:17-03","UEFS","HUEFS","200549","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Parianella","carvalhoi","Parianella carvalhoi","(R.P. Oliveira & Longhi-Wagner) F.M. Ferreira & R.",NA,"Ferreira, F.M.","2229","2012","10","26",NA,"Brasil","Bahia","Una","Estrada entre Una e São José da Vitória.","-39.0752983093262","-15.2932996749878",NA,NA,NA,"Floresta Ombrófila","HUEFS0200549","HUEFS0200549",NA,NA,NA,"36070","auto","Lilianae",NA,NA,NA
"6","2019-10-07 09:22:17-03","UEFS","HUEFS","217340","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Parianella","carvalhoi","Parianella carvalhoi","(R.P. Oliveira & Longhi-Wagner) F.M. Ferreira & R.",NA,"Carvalho, M.L.S.","332","2015","07","05",NA,"Brasil","Bahia","São José da Vitória","Ramal de terra à esquerda. Mata à direita no sentido São José para Una.","-39.263333","-15.121667",NA,NA,NA,NA,"HUEFS0217340","HUEFS0217340",NA,NA,NA,NA,NA,"Lilianae","39W15'48''","15S7'18''",NA
"7","2019-10-07 09:22:17-03","UEFS","HUEFS","217407","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Parianella","carvalhoi","Parianella carvalhoi","(R.P. Oliveira & Longhi-Wagner) F.M. Ferreira & R.",NA,"Oliveira, R.P.","2234","2015","07","25",NA,"Brasil","Bahia","Una","Estrada para São José, Km 15 a partir da BR 101.","-39.263889","-15.131389",NA,NA,NA,"Mata higrófila.","HUEFS0217407","HUEFS0217407",NA,NA,NA,NA,NA,"Lilianae","39W15'50''","15S7'53''",NA
"8","2020-07-23 12:18:50-03","CEPLAC","CEPEC","39339","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Parianella","carvalhoi","Parianella carvalhoi",NA,NA,"T. S. dos Santos","4109",NA,NA,NA,NA,"Brasil","Bahia","UNA","Km 14 da Rod. São José/Una; ao N.","-38.266667","-15.133333",NA,NA,NA,NA,NA,NA,"M. L. S. Carvalho",NA,NA,NA,NA,NA,"38W16'","15S8'","06/07/2015"
