"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","class","locality","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","971094","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson","J. F. Morales Quirós","A. F. Regnell","III876","1861","11","27","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064547' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971094","NY00971094_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:18:14-03","NBC","NL-BOTANY","U.1091282","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson",NA,"Regnell AF",NA,"1861","11","27","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1091282 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1091282","NL-U1091282","Magnoliopsidae","Brasilia, prov. Minas Geraes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:18:14-03","NBC","NL-BOTANY","U.1091283","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson",NA,"Regnell AF",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1091283 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1091283","NL-U1091283","Magnoliopsidae","Prov. Minas Geraes 18547.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:18:14-03","NBC","NL-BOTANY","U.1091284","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson",NA,"Regnell AF",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1091284 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1091284","NL-U1091284","Magnoliopsidae","Prov. Minas Geraes 18547.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 10:59:57-03","ESALQ","ESA","121832","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa",NA,"Matozinhos, C.N.","Junqueira, D.I.",NA,"2007","11","01",NA,"Brasil","Goiás",NA,NA,"ESA121832",NA,NA,"Parque Estadual Serra de Caldas Novas.","Caldas Novas","-48.625","-17.74169921875","36612","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 10:59:57-03","ESALQ","ESA","115747","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa",NA,"Matozinhos, C.N.","Galati-Barbosa, A.C.","29.0","2008","10","14",NA,"Brasil","Minas Gerais",NA,NA,"ESA115747",NA,NA,NA,"Poços de Caldas","-46.5614013671875","-21.7877998352051","23696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-15 14:41:35-03","MN","R","12142","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Dipladenia","venulosa","Dipladenia venulosa","Müll. Arg.",NA,"Glaziou, A.F.M.","17134 a","1887","10","23",NA,"Brasil","Minas Gerais",NA,"Plantas do Brasil Central","R000012142","R000012142_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-15 14:41:35-03","MN","R","220035","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Dipladenia","venulosa","Dipladenia venulosa","Müll. Arg.",NA,"Regnell, A.F.","III - 876","1864",NA,NA,NA,"Brasil","Minas Gerais",NA,"Ex. Herb. Brasil. Regnellian. Musei bot. Stockholm.","R010013621",NA,NA,NA,"Caldas","-46.386100769043","-21.9235992431641","25710","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:30:41-03","UFJF","CESJ","49887","PreservedSpecimen","Plantae","Angiosperma",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson","C.N. Matozinhos","M.G. Rezende; R.C.L. Elias; F.R.G. Salimena; P.H. Nobre; S.A. Roman; F.S. Souza","81","2008","03","28","América do Sul","Brasil","Minas Gerais",NA,"Liana entre afloramentos. Frutos vináceos.","CESJ049887","CESJ049887",NA,"Pocinhos do Rio Verde, Pedra Branca.","Caldas","-46.386100769043","-21.9235992431641","25710","auto","2008","11",NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:30:41-03","UFJF","CESJ","50492","PreservedSpecimen","Plantae","Angiosperma",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson","C.N. Matozinhos","R.C.L. Elias; M.G. Rezende; L. Gimenes","42","2008","04","30","América do Sul","Brasil","Minas Gerais",NA,"Fruto venáceo.","CESJ050492","CESJ050492",NA,"Pocinhos do Rio Verde","Caldas","-46.386100769043","-21.9235992431641","25710","auto","2008","04","30",NA,NA,NA,NA,NA,NA
"11","2019-11-21 14:30:41-03","UFJF","CESJ","52112","PreservedSpecimen","Plantae","Angiosperma",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa","(Müll.Arg.) Woodson","C.N. Matozinhos","M.G. Rezende; F.S. Souza; T.M. Machado","169","2008","09","13","América do Sul","Brasil","Minas Gerais",NA,"Arbusto ca 1,5 m no campo de altitude. Flores brancas, frutos vináceos. Presença de látex","CESJ052112","CESJ052112 CESJ052112_1",NA,"Pocinhos do Rio Verde, Pedra Branca","Caldas","-46.386100769043","-21.9235992431641","25710","auto","2008","11",NA,NA,NA,NA,NA,NA,NA
"12","2019-08-20 10:03:40-03","UNICAMP","UEC","144318","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa",NA,"Kinoshita, LS","Torres, RB; et al.","1612","2005","11","13",NA,"Brazil","Minas Gerais",NA,"Trepadeira lenhosa, flores com cálice verde, corola branca, tubo interno amarelo (látex branco abundante).",NA,NA,NA,"Pedra Branca, Sobre aflorescimento de sienito, próximo à mata.","Caldas","-46.650278","-22.543333",NA,NA,"2006",NA,NA,"-46.650278","-22.543333","1800","1800",NA,NA
"13","2019-08-20 10:03:40-03","UNICAMP","UEC","110646","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa",NA,"Simões, AO","Simões, AO; Quast, GR; Quast, MP","2","1997","04",NA,NA,"Brazil","Minas Gerais",NA,"Arbusto, 50-80cm, látex branco, folhas senescentes com pontuações escuras, frutos marrom-avermelhados. Em área de encosta.",NA,NA,NA,"Cume do Pico dos Dias, Área do Laboratório Nacional de Astrofísica,1800m de altitude.","Brasópolis","-45.6074981689453","-22.4736003875732","20433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-08-20 10:03:40-03","UNICAMP","UEC","110647","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa",NA,"Simões, AO","Simões, AO; Quast, GR; Quast, MP","165","1998","04","19",NA,"Brazil","Minas Gerais",NA,"Subarbusto 40-90 cm, látex branco, flores brancas com fauce amarela. Em encosta de montanha.",NA,NA,NA,"Cume do Pico dos Dias, Área do Laboratório Nacional de Astrofísica,1800m de altitude.","Brasópolis","-45.6074981689453","-22.4736003875732","20433","auto",NA,NA,NA,NA,NA,"1800","1800",NA,NA
"15","2019-08-20 10:03:40-03","UNICAMP","UEC","110642","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa",NA,"Simões, AO","Simões, AO; Quast, GR; Quast, MP","671","1998","12","20",NA,"Brazil","Minas Gerais",NA,"Arbusto, 80cm, látex branco, flores brancas com fauce amarela. Em área de encosta.",NA,NA,NA,"Cume do Pico dos Dias, Área do Laboratório Nacional de Astrofísica,1800m de altitude.","Brasópolis","-45.6074981689453","-22.4736003875732","20433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-22 17:37:19-03","UNICAMP","UEC","171117","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa",NA,NA,"Dutilh, JHA","134","1999","02","26",NA,"Brazil","Minas Gerais",NA,NA,"UEC045160","UEC045160",NA,NA,"Campestre","-46.2463989257812","-21.7110996246338","23769","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-08-20 10:03:40-03","UNICAMP","UEC","110644","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa",NA,"Simões, AO","Simões, AO; Quast, GR; Quast, MP","164","1998","04","19",NA,"Brazil","Minas Gerais",NA,"Subarbusto, látex branco; folhas angulosas.",NA,NA,NA,"Serra de Pedralva, Cerca de 1800 m. de altura, em encosta de montanha.","Conceição das Pedras","-45.4547004699707","-22.1599998474121","14158","auto",NA,NA,NA,NA,NA,"1800","1800",NA,NA
"18","2019-08-20 10:03:40-03","UNICAMP","UEC","110643","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa",NA,"Simões, AO","Simões, AO; Quast, GR; Quast, MP","167","1998","04","19",NA,"Brazil","Minas Gerais",NA,"Subarbusto; látex branco; raízes tuberosas suculentas, bem desenvolvidas; frutos marrom-avermelhadas; sementes em dispersão.",NA,NA,NA,"Serra de Pedralva, Cerca de 1800 m. de altura, em encosta de montanha, sobre solo raso.","Conceição das Pedras","-45.4547004699707","-22.1599998474121","14158","auto",NA,NA,NA,NA,NA,"1800","1800",NA,NA
"19","2019-08-20 10:03:40-03","UNICAMP","UEC","117","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa",NA,"Simões, AO","Simões, AO; Quast, GR","1107","2000","12","05",NA,"Brazil","Minas Gerais",NA,"Arbusto, 1m, látex brnaco, folhas pilosas, flores brancas, fauce amarela. Em área pedregosa, alto do pico.",NA,NA,NA,"Pico dos Dias","Itajubá","-45.4528007507324","-22.4256000518799","19946","auto",NA,NA,NA,NA,NA,"1800","1800",NA,NA
"20","2019-08-20 10:03:40-03","UNICAMP","UEC","117908","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Mandevilla","venulosa","Mandevilla venulosa",NA,"Simões, AO","Simões, AO; Quast, GR","1106","2000","12","05",NA,"Brazil","Minas Gerais",NA,"Arbusto, 1m, látex branco, folhas glabras, flores brancas, fauce amarela. Em área pedregosa, alto do pico.",NA,NA,NA,"Pico dos Dias, cerca 1800m de altitude.","Itajubá","-45.4528007507324","-22.4256000518799","19946","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
