"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","887159","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","mendoncaei","Bathysa mendoncaei","K.Schum.","C. T. Rizzini","E. Pereira","446","1945","12","21","South America","Brazil","Rio de Janeiro","Serra dos Orgãos.","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085273' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887159","NY00887159_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","396538","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","mendoncaei","Bathysa mendoncaei","K.Schum.","P. G. Delprete","L. Riedel",NA,"1821",NA,NA,"South America","Brazil","Rio de Janeiro","Mandioca","-43.184668","-22.564777","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408199' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396538","NY00396538_01","Magé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1281786","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","mendoncaei","Bathysa mendoncaei","K.Schum.",NA,"R. R. Guedes","s.n.","1990","04","07","South America","Brazil","Rio de Janeiro","Reserva Ecológica Municipal de Macaé de Cima, Rio Macaé, Sítio Fazenda Velha","-42.5389","-22.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1742434' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281786","NY01281786_01","Nova Friburgo","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","396533","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","mendoncaei","Bathysa mendoncaei","K.Schum.",NA,"A. P. Duarte","915","1947","02","04","South America","Brazil","Rio de Janeiro","Distrito Federal, Gavea","-43.250118","-22.98261","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396533","NY00396533_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1019424","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","mendoncaei","Bathysa mendoncaei","K.Schum.",NA,"G. Neves","7","1994","08","30","South America","Brazil","Rio de Janeiro","Reserva Biológica de Poços das Antas. Encsota - rea da parcela 9C.","-42.3917","-22.6508","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282293' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019424","NY01019424_01","Silva Jardim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","949013","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","mendoncaei","Bathysa mendoncaei","K.Schum.","P. G. Delprete","L. D. Meireles","CESJ31080","2000","03","17","South America","Brazil","Minas Gerais","Descoberto. Reserva Biológica da Represa do Grama.","-42.9672","-21.4597","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949013","NY00949013_01","Descoberto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01240880","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","mendoncaei","Bathysa mendoncaei","K.Schum.","P. G. Delprete","A. M. Amorim","1675","1995","04","07","South America","Brazil","Bahia","Estrada Sao José-Una, km 9. Ramal a direita a partir de Sao José","-39.2940831","-15.1260082","sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=602667' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240880","NY01240880_01","Una",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","501876","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","mendoncaei","Bathysa mendoncaei","K.Schum.","P. G. Delprete","J. G. Jardim","2016","1999","02","20","South America","Brazil","Bahia","Rod. para o Distrito de Casttelo Novo, ca. 2,5 km da BA-262","-39.2086","-14.6444","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408196' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501876","NY00501876_01","Ilhéus","95","95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","396535","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","mendoncaei","Bathysa mendoncaei","K.Schum.","P. A. Matekaitis","T. C. Plowman","12941","1983","02","23","South America","Brazil","Rio de Janeiro","Parque Estadual do Desengano. Serra da Agulha. Fazenda Agulha do Imbé","-41.87","-21.93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408195' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396535","NY00396535_01","Santa Maria Madalena","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1262248","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Bathysa","mendoncaei","Bathysa mendoncaei","K.Schum.","J. G. Jardim","J. G. Jardim","4864","2005","12","18","South America","Brazil","Bahia","Rod. Arataca/Una entrada a direta no assentamento Santo Antônio 9,5 km, vicinal para a Fazenda Palmeira 8,9 km da entrada. Serra do Peito de Moça, RPPN Palmeira/IESB. Coletas efetuadas próximo ao córrego ca. 2 km da sede","-39.3394","-15.1742","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1505147' target='other'> <mi>dwc_moreinfo</mi></a>","NY01262248","NY01262248_01","Arataca","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
