"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2020-09-23 10:41:18-03","E","E","146715","PreservedSpecimen","Plantae","Malpighiaceae","Hiraea","cujabensis","Hiraea cujabensis","Dubs, Balthasar","1990","1995","12","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170921","<a href=http://data.rbge.org.uk/herb/E00146715 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00916130","PreservedSpecimen","Plantae","Malpighiaceae","Hiraea","cuiabensis","Hiraea cuiabensis","R. M. Harley","11038","1968","11","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916130","Magnoliophyta","Malpighiales","(Griseb.) Griseb.","Mato Grosso","Nova Xavantina","Xavantina","-52.3531","-14.6733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00916121","PreservedSpecimen","Plantae","Malpighiaceae","Hiraea","cuiabensis","Hiraea cuiabensis","W. R. Anderson","11413","1975","02","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916121","Magnoliophyta","Malpighiales","(Griseb.) Griseb.","Mato Grosso","Alto Garças","Vicinity of Riberão Claro, NW of Alto Araguaia","-53.3167","-17.1833","W. R. Anderson","800","800","NY00916121_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00916122","PreservedSpecimen","Plantae","Malpighiaceae","Hiraea","cuiabensis","Hiraea cuiabensis","G. G. Hatschbach","65520","1996","11","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916122","Magnoliophyta","Malpighiales","(Griseb.) Griseb.","Mato Grosso","Porto Esperidião","Rodovia entre Destacamento Militar de Santa Rita e Fortuna.","-58.4603","-15.8531","W. R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 21:38:00-03","NY","NYBG","00916128","PreservedSpecimen","Plantae","Malpighiaceae","Hiraea","cuiabensis","Hiraea cuiabensis","A. Macedo","2652",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916128","Magnoliophyta","Malpighiales",NA,"Minas Gerais","Ituiutaba","S. Vicente.","-49.465","-18.9692","R. E. Woodson Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00916129","PreservedSpecimen","Plantae","Malpighiaceae","Hiraea","cuiabensis","Hiraea cuiabensis","R. M. Harley","10989","1968","11","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916129","Magnoliophyta","Malpighiales","(Griseb.) Griseb.","Mato Grosso","Barra do Garças","Xavantina. Vale de Sonhas c. 93 km S. from Xavantina on Aragarças road.","-52.2567","-15.8903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 21:38:00-03","NY","NYBG","00916126","PreservedSpecimen","Plantae","Malpighiaceae","Hiraea","cuiabensis","Hiraea cuiabensis","Martii Herbar. Florae Brasil.","652","1839",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985992' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916126","Magnoliophyta","Malpighiales",NA,"Mato Grosso","Cuiabá",NA,"-56.0967","-15.5961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 21:38:00-03","NY","NYBG","00916124","PreservedSpecimen","Plantae","Malpighiaceae","Hiraea","cuiabensis","Hiraea cuiabensis","M. Macedo","1495","1980","02","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916124","Magnoliophyta","Malpighiales",NA,"Mato Grosso","Cuiabá","Cuiabá - Caceres highway, Cáceres, Cáceres.","-56.0967","-15.5961","R. Callejas Posada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 22:56:00-03","NY","NYBG","00980450","PreservedSpecimen","Plantae","Malpighiaceae","Hiraea","cuiabensis","Hiraea cuiabensis","T. B. Cavalcanti","1810","1995","10","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980450","Magnoliophyta","Malpighiales",NA,"Goiás","Campinaçu","Estrada Niquelandia-Campinaçu","-48.5","-14.05","B. M. T. Walter","420","420","NY00980450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00916123","PreservedSpecimen","Plantae","Malpighiaceae","Hiraea","cuiabensis","Hiraea cuiabensis","W. W. Thomas","4346","1985","10","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916123","Magnoliophyta","Malpighiales","(Griseb.) Griseb.","Mato Grosso","Santa Terezinha","Hills of Serra do Tapirapé, 21 km SW of Portal do Amazonia (junction MT413 to Santa Terezinha & BR158) along BR 158","-51.45","-10.42","W. R. Anderson",NA,NA,"NY00916123_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
