"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","identifiedBy","recordNumber","year","month","day","continentOcean","locality","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber","typeStatus","sex"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","1301","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.H.Wendl. ex Regel","2008","09","08","Carlos Alberto F. Jr.;","Brasil","Minas Gerais","Lagoa Santa","-43.8897018432617","-19.6271991729736","12338","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376455","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.Wendl. ex Regel",NA,NA,NA,"P. K. H. Dusén","Brazil","Paraná","Jaguariaíva","-49.713647","-24.340602",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195851' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"L. B. Smith","15196","1914","06","08","South America","Jaguariahyva","sheet","NY00376455","NY00376455_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","376502","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.Wendl. ex Regel",NA,NA,NA,"S. Venturi","Argentina","Jujuy",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195855' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"5229","1927","09","03","South America","Sierra de Calilegua","sheet","NY00376502","NY00376502_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","376501","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.Wendl. ex Regel",NA,NA,NA,"E. M. Zardini","Paraguay","Caaguazú",NA,"-56.18","-25.48",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195850' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"B. K. Holst","37055","1993","08","26","South America","Guayaquí. Between Coronel Oviedo and Caaguazú. Route 2, km 158-159","sheet","NY00376501","NY00376501_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","376452","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.Wendl. ex Regel",NA,NA,NA,"R. A. Wasum","Brazil","Rio Grande do Sul","Caxias do Sul","-51.1792","-29.1683",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195852' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"L. B. Smith","3083","1987","06","20","South America",NA,"sheet","NY00376452","NY00376452_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376456","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.Wendl. ex Regel",NA,NA,NA,"R. A. Wasum","Brazil","Rio Grande do Sul","Caxias do Sul","-51.1792","-29.1683",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195854' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"R. W. Read","1741","1986","06","28","South America","Conceiçao","sheet","NY00376456","NY00376456_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","376453","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.Wendl. ex Regel",NA,NA,NA,"J. C. Lindeman","Brazil","Paraná","Xambrê","-53.49","-23.7361",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195848' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"E. A. Mennega; K. U. Kramer","1487","1966","06","13","South America","Fazenda Estrela do Sul, SE of Xambrê","sheet","NY00376453","NY00376453_01","400","400",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","376454","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.Wendl. ex Regel",NA,NA,NA,"L. B. Smith","Brazil","Santa Catarina","Pôrto Uniao","-51.0781","-26.2383",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195853' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"L. B. Smith","10833","1957","02","05","South America","Pinheiral, 30 km south of Pôrto Uniao","sheet","NY00376454","NY00376454_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","645842","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.Wendl. ex Regel",NA,NA,NA,"A. C. Cervi","Brazil","Paraná","Ponta Grossa","-49.97","-25.42",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195849' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"A. C. Cervi","6489","1998","06","04","South America","Parque Estadual de Vila Velha","sheet","NY00645842","NY00645842_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","376473","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","nutans","Billbergia nutans schimperiana","(Wittm. ex Baker) Mez",NA,NA,NA,"J. M. Silva","Brazil","Paraná","Antônio Olinto","-50.1969","-25.9861",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709043' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"1670","1996","05","14","South America","Estrada rodovia do Xisto para Antônio Olinto, km 5","sheet","NY00376473","NY00376473_01",NA,NA,"schimperiana",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","376473","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","nutans","Billbergia nutans schimperiana","(Wittm. ex Baker) Mez",NA,NA,NA,"J. M. Silva","Brazil","Paraná","Antônio Olinto","-50.1969","-25.9861",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709043' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"1670","1996","05","14","South America","Estrada rodovia do Xisto para Antônio Olinto, km 5","sheet","NY00376473","NY00376473_01",NA,NA,"schimperiana",NA,NA,NA,NA,NA,NA,NA
"12","2020-11-24 17:10:34-03","UTFPR","DVPR","6407","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.H.Wendl. ex Regel.","2018","07","24","Silva, DR; Tcatch, BG; Pereira, JP; Piva, J; Machado, C; Moura, AP","Brasil","Paraná","Capitão Leonidas Marques","-53.3918","-25.3024",NA,"Erva epífita de 0,5 m. Pétalas verdes com a azuladas. Brácteas róseas no escapo da inflorescências.; Floresta Estacional Semidecidual em estágio médio de sucessão secundária. Associação entre Latossolo e Nitossolo Vermelhos.",NA,"Silva, DR","410","2018","07","24",NA,"Futuro reservatório da UHE Baixo Iguaçu, lado esquerdo do Rio Monteiro.",NA,"DVPR006407",NA,"244","244",NA,"-53.3918","-25.3024",NA,NA,NA,NA,NA
"13","2020-11-24 17:10:34-03","UTFPR","DVPR","6582","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.H.Wendl. ex Regel.",NA,NA,NA,"Buttura, E","Paraguai","Hernandarias",NA,NA,NA,NA,"Erva",NA,NA,"885","1987","10","06",NA,"Reserva Tatí Yupí",NA,"DVPR006582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-24 17:10:34-03","UTFPR","DVPR","3327","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.H.Wendl. ex Regel.","2015","05",NA,"Estevan, DA; et al.","Brasil","Paraná","Dois Vizinhos","-53.03029","-25.45083",NA,"Epífita, flores com pétalas verdes com borda azulada.",NA,"Estevan, DA","2155","2015","05","28",NA,"Parque Municipal Jirau Alto.",NA,"DVPR003327",NA,"475","475",NA,"-53.03029","-25.45083",NA,NA,NA,NA,NA
"15","2020-11-24 17:10:34-03","UTFPR","DVPR","5298","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.H.Wendl. ex Regel.","2017",NA,NA,"Estevan, DA; et al.","Brasil","Paraná","São Jorge d' Oeste","-53.0445","-25.3611",NA,"Epífita, com frutos verdes.; Floresta Estacional Semidecidual",NA,NA,"2277","2017","08","30",NA,"RPPN Salto Chopim",NA,"DVPR005298",NA,NA,NA,NA,"-53.0445","-25.3611",NA,NA,NA,NA,NA
"16","2020-11-24 17:10:34-03","UTFPR","DVPR","6065","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.H.Wendl. ex Regel.","2018","07","25","Silva, DR; Dama, VJ; Moura, AP","Brasil","Paraná","Capanema","-53.3925","-25.3045",NA,"Erva epífita. Frutos secos, imaturos verdes. Ponto 019.; Fragmento de Floresta Estacional Semidecidual em estágio avançado de sucessão secundária, solo argiloso. Associação entre Latossolo e Nitossolo Vermelhos.",NA,"Silva, DR","374","2018","07","11",NA,"Futuro reservatório da UHE Baixo Iguaçu, mata a esquerda do rio Iguaçu, ca. 400 - 500 m da balsa.",NA,"DVPR006065",NA,"237","237",NA,"-53.3925","-25.3045",NA,NA,NA,NA,NA
"17","2020-11-24 17:10:34-03","UTFPR","DVPR","6336","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.H.Wendl. ex Regel.","2018","07","24","Silva, DR; Tcatch, BG; Pereira, JP; Piva, J; Machado, C; Moura, AP","Brasil","Paraná","Capitão Leonidas Marques","-53.614200592041","-25.4792003631592","14258","Erva epífita de 0,5 m. Frutos secos, imaturos, verdes.; Floresta Estacional Semidecidual em estágio médio de sucessão secundária. Associação entre Latossolo e Nitossolo Vermelhos.","auto","Silva, DR","408","2018","07","24",NA,"Futuro reservatório da UHE Baixo Iguaçu, lado esquerdo do Rio Monteiro.",NA,"DVPR006336",NA,"246","246",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-24 17:10:34-03","UTFPR","DVPR","2591","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.H.Wendl. ex Regel.","2015",NA,NA,"Custódio, FAR; Storl, TA","Brasil","Paraná","Dois Vizinhos","-53.057201385498","-25.7336006164551","19637","Epífita em uma árvore de cedro, flor azulada com verde.","auto","Estevan, DA","s.n.","2015","06","27",NA,"Jirau Alto",NA,"DVPR002591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-24 17:10:34-03","UTFPR","DVPR","6308","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.H.Wendl. ex Regel.","2018","07","08","Silva, DR; Piva, J; Machado, C","Brasil","Paraná","Realeza","-53.5325012207031","-25.7688999176025","29211","Erva epífita 0,6 m. Situada a 1 m do solo. Folhas verde-concolores, crassas. Frutos secos, verdes, imaturos. Escapo apresentando bráctea rósea.; Fragmento de floresta primária sobre solo argiloso. Associação entre Latossolo e Nitossol","auto","Silva, DR","273","2018","05","08",NA,"Mata da Viúva, estrada a direita ca 850 m do trevo BR-163/PR- 182.",NA,"DVPR006308",NA,"414","414",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-08 17:44:51-03","EAO","IAN","36753","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Billbergia","bonplandiana","Billbergia bonplandiana","Gaudich.",NA,NA,NA,"Sellow, F","Chile",NA,NA,NA,NA,NA,NA,NA,NA,"4001",NA,NA,NA,"Southern America",NA,NA,"IAN036753","IAN036753_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-30 12:51:40-03","EAO","IAN","59164","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Billbergia","nutans","Billbergia nutans","H.Wendl. ex Regel",NA,NA,NA,"Rambo, B","Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"42023","1949","05","25","Southern America","Reuteraberg, próximo a Dois Irmãos.",NA,"IAN059164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-04 15:26:25-03","PUCPR","HUCP","20701","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Billbergia","nutans","Billbergia nutans","J.C. Wendl., H.H. ex Regel.",NA,NA,NA,"Gonçalves, DS","Brasil","Paraná","Palmas","-51.9906005859375","-26.4841995239258","46666",NA,"auto","Selusniaki, M","s.n.","2008","09","30",NA,"Refúgio de Vida Silvestre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-04 15:26:25-03","PUCPR","HUCP","20378","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Billbergia","nutans","Billbergia nutans","J.C. Wendl., H.H. ex Regel.",NA,NA,NA,"Kersten, RA","Brasil","Paraná","Araucária","-49.4103012084961","-25.5930995941162","21346",NA,"auto","Kersten, RA","1361","2009","07","08",NA,"Parque Estadual José Wachwicz",NA,"HUCP00004986","HUCP00004986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
