"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","previousCatalogNumber","individualCount","infraspecificEpithet","typeStatus","fieldNumber"
"1","2021-04-05 14:33:19-03","UNESC","CRI","6533","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","Rafael Martins","Izabela Naspolini Marques","1999","11","07","Brasil","Santa Catarina","Criciúma","Mina do Toca.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI001563","CRI001563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:03-03","UNESC","CRI","723","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1991","07","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI001546","CRI001546","1073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:19-03","UNESC","CRI","6230","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","Vanilde Citadini- Zanette","Vanilde Citadini Zanette","1996","10","13","Brasil","Santa Catarina","Santa Rosa do Sul",NA,"-49.700278","-29.136667","49º42'1''W","29º8'12''S","19","19","CRI001558","CRI001558","2517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:02-03","UNESC","CRI","15222","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","Aline Votri Guislon","Aline V. Guislon; Felipe Seron; Josue Nicolau & Amanda","2018","09","19","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves. Área L5 Bairro Dagostim","-49.35","-28.749444","49º21'0''W","28º44'58''S","170","170","CRI014637","CRI014637",NA,"2018","09","19","Flor lilás. Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:19-03","UNESC","CRI","5002","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","Jaqueline P. Vitoretti","Jaqueline P. Vitoretti","1996","10","13","Brasil","Santa Catarina","Criciúma","Mina Brasil.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI001551","CRI001551",NA,NA,NA,NA,"Habitat: mata pluvial Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:02-03","UNESC","CRI","11374","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"Catenacci, F.","2009","09","11","Brasil","Paraná","Antonina","Reserva do Cachoeira.","-48.695556","-25.314722","48º41'44''W","25º18'53''S","5","5","CRI001550","CRI001550","6",NA,NA,NA,"Floresta Ombrófila Densa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:19-03","UNESC","CRI","6019","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","Vanilde Citadini- Zanette","Alexandra Toneto","1996","10","18","Brasil","Santa Catarina","Turvo","Morro da Boa Vista.","-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","CRI001555","CRI001555",NA,NA,NA,NA,"Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:19-03","UNESC","CRI","4877","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.",NA,"Clair Maria Martinello; Z. P. Topanotti","1995","09","07","Brasil","Santa Catarina","Forquilhinha","Prop. de Clair M. Matinello - São Pedro.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","28","28","CRI001560","CRI001560",NA,NA,NA,NA,"Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:03-03","UNESC","CRI","7461","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","Vanilde Citadini- Zanette","Cristiane Krug","2005","11","09","Brasil","Santa Catarina","Porto União",NA,"-51.078611","-26.238611","51º4'43''W","26º14'19''S",NA,NA,"CRI001557","CRI001557",NA,"2006","09","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:19-03","UNESC","CRI","10226","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","puberula","Jacaranda puberula","Cham.","M. G. Caxambu","E.L. Siqueira; D.S. Gonçalves","2012","09","27","Brasil","Paraná","Guarapuava","estrada de terra próxima à Polícia Rodociária Federal.","-51.251944","-25.368611","51º15'7''W","25º22'7''S","1211","1211","CRI001547","CRI001547","600","2012","10","18","Habito: arvoreta heliófita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
