"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","typeStatus","individualCount","verbatimLongitude","verbatimLatitude","monthIdentified","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","571842","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","morii","Lippia morii","Moldenke","H. N. Moldenke","S. A. Mori","13500","1980","03","21","South America","Brazil","Bahia","Rio de Contas","Serra das Almas. A 5 km ao W de Rio de Contas","-41.8114","-13.5792","1000","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571842","NY00571842_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:48:03-03","UFJF","CESJ","30282","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","morii","Lippia morii","Moldenke","S.Atkins","H.M.Longhi; et al.","CFCR6874","1984","12","14","América do Sul","Brasil","Bahia","Rio de Contas","Pico das Almas","-41.8114013671875","-13.5789003372192",NA,NA,NA,"Arbusto cerca de 2,5m.alt. Flores alvas; planta com folhas aromáticas. Campo arenoso, com afloramentos.","CESJ030282",NA,"1989","49773","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2854264","PreservedSpecimen","Plantae",NA,"Lamiales","Verbenaceae","Lippia","morii","Lippia morii","Moldenke",NA,"S. A. Mori","12387","1979","7","21","South America - Neotropics","Brazil","Bahia","Rio de Contas","North of Rio Contas.","-41.8114013671875","-13.5789003372192","1000","1000",NA,NA,"US00118847","US00118847_01",NA,"49773","auto","Dicotyledonae","Isotype","1",NA,NA,NA,NA
"4","2019-11-13 11:32:48-03","USP","SPF","90059","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","morii","Lippia morii","Moldenke","Salimena-Pires, FRG","Stannard, BL","H50804","1992","01","25",NA,"Brasil","Bahia","Abaíra","Campo de Ouro Fino","-41.9","-13.25","1600","1700",NA,NA,"SPF00090059","SPF00090059","2009",NA,NA,NA,NA,NA,"-41.9","-13.25",NA,NA
"5","2021-03-15 18:30:20-03","USP","SPF","36674","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","morii","Lippia morii","Moldenke","Atkins, S","Longhi-Wagner, HM","CFCR6874","1984","12","14",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas","-41.8114013671875","-13.5789003372192","1000","1000",NA,"ARbusto ca. 2.5 m. Flores alvas; planta com folhas aromáticas.; Campo arenoso com afloramentos.","SPF00036674","SPF00036674","1993","49773","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-07 09:17:13-03","UEFS","HUEFS","112587","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Lippia","morii","Lippia morii","Moldenke","T.R.S.Silva","Silva, T.R.S.","232","2006","08","18",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas, subida para o pico.","-41.538889","-13.187778","1171","1171",NA,NA,"HUEFS0112587","HUEFS0112587","2007",NA,NA,"Asteranae",NA,NA,"41W32'20''","13S11'16''","06",NA
"7","2019-10-07 09:17:13-03","UEFS","HUEFS","38212","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Lippia","morii","Lippia morii","Moldenke","F.R.Salimena","Stannard, B.","H50804","1992","01","25",NA,"Brasil","Bahia","Abaíra","Campo de Ouro Fino (baixo).","-41.9","-13.25","1600","1700",NA,NA,"HUEFS0038212","HUEFS0038212","2009",NA,NA,"Asteranae",NA,NA,"41W54'","13S15'","07",NA
"8","2019-10-07 09:17:13-03","UEFS","HUEFS","19125","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Lippia","morii","Lippia morii","Moldenke","I.N.Santana","Carvalho, A.M.de","2968","1990","03","19",NA,"Brasil","Bahia","Palmeira",NA,NA,NA,NA,NA,NA,NA,"HUEFS0019125","HUEFS0019125 HUEFS0019125_e1","2018",NA,NA,"Asteranae",NA,NA,NA,NA,"12",NA
"9","2019-10-07 09:17:13-03","UEFS","HUEFS","24078","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Lippia","morii","Lippia morii","Moldenke","I.N.Santana","Conceição, A.A.","PCD2452","1996","03","16",NA,"Brasil","Bahia","Morro do Chapéu",NA,"-41.133333","-11.75","991","991",NA,NA,"HUEFS0024078","HUEFS0024078 HUEFS0024078_e1","2018",NA,NA,"Asteranae",NA,NA,"41W8'","11S45'","12",NA
"10","2019-10-07 09:17:13-03","UEFS","HUEFS","26323","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Lippia","morii","Lippia morii","Moldenke","I.N.Santana","Bautista, H.P.","PCD3933","1996","11","02",NA,"Brasil","Bahia","Piatã","Estrada Piatã-Inúbia.","-41.825556","-13.121111","1340","1340",NA,NA,"HUEFS0026323","HUEFS0026323 HUEFS0026323_e1","2018",NA,NA,"Asteranae",NA,NA,"41W49'32''","13S7'16''","12",NA
"11","2019-10-07 09:17:13-03","UEFS","HUEFS","71167","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Lippia","morii","Lippia morii","Moldenke","I.N.Santana","Junqueira, M.E.R.","202","2003","05","01",NA,"Brasil","Bahia","Morro do Chapéu","Entrada da Cachoeira do Ferro Doido","-40.991111","-11.617222","760","760",NA,NA,"HUEFS0071167","HUEFS0071167 HUEFS0071167_e1","2018",NA,NA,"Asteranae",NA,NA,"40W59'28''","11S37'2''","12",NA
"12","2019-10-07 09:17:13-03","UEFS","HUEFS","76135","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Lippia","morii","Lippia morii","Moldenke",NA,"Longhi-Wagner, H.M.","6874","1988","12","17",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas.","-41.9","-13.533333","1000","1000",NA,NA,"HUEFS0076135","HUEFS0076135",NA,NA,NA,"Asteranae",NA,NA,"41W54'","13S32'",NA,NA
"13","2019-10-07 09:17:13-03","UEFS","HUEFS","89384","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Lippia","morii","Lippia morii","Moldenke","F.R.Salimena","Harley, R.M.","54938","2004","02","23",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas. Trilha para o campo do Queiroz. Loc tip. Com Pamphilea pedicellato, Eriope luetzelburgii e Clusia melchiore. Na sombra das árvores.","-41.948333","-13.514444","1493","1493",NA,"Campo rupestre com afloramentos rochosos.","HUEFS0089384","HUEFS0089384","2005",NA,NA,"Asteranae",NA,NA,"41W56'54''","13S30'52''","05",NA
"14","2019-10-07 09:17:13-03","UEFS","HUEFS","90948","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Lippia","morii","Lippia morii","Moldenke","T.R.S.Silva","van den Berg, C.","1427","2004","11","22",NA,"Brasil","Bahia","Rio de Contas","Subida do Itoibira.","-41.888611","-13.379722","1507","1507",NA,"Campo rupestre.","HUEFS0090948","HUEFS0090948","2009",NA,NA,"Asteranae",NA,NA,"41W53'19''","13S22'47''","03",NA
"15","2019-10-07 09:17:13-03","UEFS","HUEFS","99547","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Lippia","morii","Lippia morii","Moldenke","I.N.Santana","Funch, R.","696","2005","03","06",NA,"Brasil","Bahia","Palmeiras","Bom Jardim.","-41.505","-12.498889",NA,NA,NA,"Campo rupestre e gerais. Terra nua, trecho com pedras aflorando, 50 m leste.","HUEFS0099547","HUEFS0099547 HUEFS0099547_e1","2018",NA,NA,"Asteranae",NA,NA,"41W30'18''","12S29'56''","12",NA
"16","2020-07-23 12:24:19-03","CEPLAC","CEPEC","17064","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","morii","Lippia morii",NA,"H. N. Moldenke","S. A. Mori","12387","1994","01","30",NA,"Brasil","Bahia","RIO DE CONTAS","4Km ao N da cidade.","-41.766667","-13.533333",NA,NA,NA,"<ll>dwc_commonname:</ll> Cambara-da-flor-branca",NA,NA,NA,NA,NA,NA,"Paratipo",NA,"41W46'","13S32'",NA,"30/12/1979"
