"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","recordNumber","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","sex"
"1","2021-04-05 14:25:14-03","UNESC","CRI","14722","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","brasiliensis","Sebastiania brasiliensis","Spreng.","Aline Votri Guislon","2019","05","13","Aline Votri Guislon; Iara Zanoni; Suelane Fenali & Felipe Seron","2019","03","08","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves - L13 Capão Bonito","-49.401111","-28.786944","49º24'4''W","28º47'13''S","30","30","Habito: Arbustivo","CRI014047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:14-03","UNESC","CRI","13280","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","brasiliensis","Sebastiania brasiliensis","Spreng.","Oliveira, A.A.","2016","02","29","Oliveira, A.A.","2016","02","29","Brasil","Santa Catarina","Caçador",NA,"-50.94","-26.73","50º56'24''W","26º43'48''S","900","900","SC_64_B_4_7_30 Habitat: Floresta Habito: Árvore","CRI011776","3071","CRI011776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:29-03","UNESC","CRI","11689","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","brasiliensis","Sebastiania brasiliensis","Spreng.",NA,NA,NA,NA,"Anderson Zilli Kruger","2002","11","15","Brasil","Santa Catarina","Praia Grande","Rio do Boi, PIC III.","-49.952778","-29.198611","49º57'10''W","29º11'55''S",NA,NA,NA,"CRI008655",NA,"CRI008655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:29-03","UNESC","CRI","8006","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","brasiliensis","Sebastiania brasiliensis","Spreng.","Vanilde Citadini- Zanette","2007","08","23","Beatriz Wessler; Bruna Alberton","2007","08","22","Brasil","Santa Catarina","Criciúma","SANTEC Resíduos.","-49.373333","-28.678056","49º22'24''W","28º40'41''S","58","58",NA,"CRI003689",NA,"CRI003689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:14-03","UNESC","CRI","8744","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","brasiliensis","Sebastiania brasiliensis","Spreng.","M. Verdi","2009","01","21","M. Verdi; R.P. Hasckel & G. Klemz","2009","01","21","Brasil","Santa Catarina","Anita Garibaldi","Arrozal.","-51.162778","-27.633333","51º9'46''W","27º38'0''S","762","762","Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista","CRI002364","1372","CRI002364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:14-03","UNESC","CRI","14289","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","brasiliensis","Sebastiania brasiliensis","Spreng.","Schwirkowski, P.","2017","09","16","Schwirkowski, P.","2017","09","16","Brasil","Santa Catarina","São Bento do Sul","Serra Alta. Serra Alta. Em capão de FOM, mata secundária.","-49.3825","-26.276389","49º22'57''W","26º16'35''S","900","900","Frutos imaturos Habitat: Heliófita Habito: Árvore","CRI013520","2412","CRI013520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:39:17-03","E","E","164061","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","brasiliensis","Sebastiania brasiliensis",NA,NA,NA,NA,NA,"Pott, A.;","1988","11","21","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00164061 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00164061","4483",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:171590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:39:17-03","E","E","161348","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","brasiliensis","Sebastiania brasiliensis",NA,NA,NA,NA,NA,"J.H.Kirkbride","1980","10","08","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00161348 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161348","3634",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:169030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:39:17-03","E","E","164062","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","brasiliensis","Sebastiania brasiliensis",NA,NA,NA,NA,NA,"Pott, A.;","1989","01","13","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00164062 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00164062","5221",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:171589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:39:17-03","E","E","287597","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","brasiliensis","Sebastiania brasiliensis",NA,NA,NA,NA,NA,"Silva, J.M.; Cordeiro, J.; Cruz, J.M.","1997","11","11","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00287597 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00287597","2245",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:299732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:39:17-03","E","E","161342","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","brasiliensis","Sebastiania brasiliensis",NA,NA,NA,NA,NA,"J.H.Kirkbride","1981","10","23","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00161342 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161342","4505",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:169038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:39:17-03","E","E","161380","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","brasiliensis","Sebastiania brasiliensis",NA,NA,NA,NA,NA,"J.H.Kirkbride","1982","11","04","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00161380 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161380","4952",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:169047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1065097","PreservedSpecimen","Plantae","Euphorbiaceae","Pleradenophora","membranifolia","Pleradenophora membranifolia","(Müll.Arg.) Esser & A.L.Melo","S. M. Athiê-Souza",NA,NA,NA,"G. T. Prance","1964","10","09","Brazil","Mato Grosso","Água Boa","50 km. north of Chavantina, Rio Vau. Serra do Roncador.","-52.1583","-14.0503",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1218833' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065097","59323","NY01065097_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1065095","PreservedSpecimen","Plantae","Euphorbiaceae","Pleradenophora","membranifolia","Pleradenophora membranifolia","(Müll.Arg.) Esser & A.L.Melo","S. M. Athiê-Souza",NA,NA,NA,"G. T. Prance","1964","10","09","Brazil","Mato Grosso","Água Boa","50 km. north of Chavantina, Rio Vau. Serra do Roncador.","-52.1583","-14.0503",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1218829' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065095","59310","NY01065095_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","03754492","PreservedSpecimen","Plantae","Euphorbiaceae","Pleradenophora","membranifolia","Pleradenophora membranifolia","(Müll.Arg.) Esser & A.L.Melo","H.-J. Esser",NA,NA,NA,"N. C. Bigio","2013","05","09","Brazil","Rondônia","Nova Mamoré","Corredeira do Ribeirão","-65.1651","-10.1346",NA,NA,"107",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2717710' target='other'> <mi>dwc_moreinfo</mi></a>","NY03754492","901","NY03754492_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1065094","PreservedSpecimen","Plantae","Euphorbiaceae","Pleradenophora","membranifolia","Pleradenophora membranifolia","(Müll.Arg.) Esser & A.L.Melo","S. M. Athiê-Souza",NA,NA,NA,"N. A. Rosa","1977","05","25","Brazil","Mato Grosso",NA,"Rio Juruena, margem esquerda da Cachoeira as Furnas, ponto (SC.21-VB).",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1218828' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065094","2016","NY01065094_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
