"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:40:48-03","E","E","201689","PreservedSpecimen","Plantae","Leguminosae","Pterogyne","nitens","Pterogyne nitens","Sakuragui,C.M., Harley,R.M., Sano,P.T., Roque,N. & Souza,V.C.","5446","1994","03","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:210707","<a href=http://data.rbge.org.uk/herb/E00201689 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00201689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","582422","PreservedSpecimen","Plantae","Fabaceae","Pterogyne","nitens","Pterogyne nitens","E. B. dos Santos","258","1991","05","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582422","Magnoliophyta","Fabales","Tul.","R. C. Barneby","Bahia","Rio de Contas","Estrada de Rio de Contas para Livramento de Brumado, Km 6","-41.8114","-13.5792","NY00582422_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","582421","PreservedSpecimen","Plantae","Fabaceae","Pterogyne","nitens","Pterogyne nitens","L. P. de Queiroz","3411","1993","07","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127408' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582421","Magnoliophyta","Fabales","Tul.","L. P. de Queiroz","Bahia","Souto Soares","Ca. 8 km W de Souto Soares na estrada para Agua de Rega","-41.7181","-12.0894","NY00582421_01","780","780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","582424","PreservedSpecimen","Plantae","Fabaceae","Pterogyne","nitens","Pterogyne nitens","R. M. Harley","16498","1974","02","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582424","Magnoliophyta","Fabales","Tul.","V. E. Rudd","Bahia","Senhor do Bonfim","Serra da Jacobina, 8 km N of Senhor de Bonfim on the BA 130 to Juazeiro, on side road from Carrapichel towards de Serra","-40.25","-10.38","NY00582424_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00980334","PreservedSpecimen","Plantae","Fabaceae","Pterogyne","nitens","Pterogyne nitens","F. Guilherme","5","1993","07","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980334","Magnoliophyta","Fabales","Tul.",NA,"Mato Grosso do Sul","Corumbá","Campus Universidade Federal de Mato Grosso do Sul","-57.6531","-19.0094","NY00980334_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","582425","PreservedSpecimen","Plantae","Fabaceae","Pterogyne","nitens","Pterogyne nitens","S. A. Mori","14433","1981","06","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127414' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582425","Magnoliophyta","Fabales","Tul.","G. P. Lewis","Bahia","Iraquara","Along road from Iraquara to BR 242, 12 km S of Iraquara","-41.6192","-12.2486","NY00582425_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","582420","PreservedSpecimen","Plantae","Fabaceae","Pterogyne","nitens","Pterogyne nitens","L. P. de Queiroz","3453","1993","07","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582420","Magnoliophyta","Fabales","Tul.","L. P. de Queiroz","Bahia","Morro do Chapéu","Ca. 12 km SE de Morro do Chapéu na BA 052 (estrada do feijao)","-41.0569","-11.6022","NY00582420_01","960","960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00980332","PreservedSpecimen","Plantae","Fabaceae","Pterogyne","nitens","Pterogyne nitens","G. Gardner","1939","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091765' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980332","Magnoliophyta","Fabales","Tul.",NA,"Piauí",NA,"Prov. Piauhy",NA,NA,"NY00980332_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 02:10:00-03","NY","NYBG","582427","PreservedSpecimen","Plantae","Fabaceae","Pterogyne","nitens","Pterogyne nitens","S. G. Tressens","4427","1993","05","20","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582427","Magnoliophyta","Fabales",NA,"S. G. Tressens","Corrientes","San Cosme","Costa Toledo. Bosque marginal rio Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00980283","PreservedSpecimen","Plantae","Fabaceae","Pterogyne","nitens","Pterogyne nitens","V. C. Souza","5446","1994","03","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091779' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980283","Magnoliophyta","Fabales","Tul.","G. P. Lewis","Bahia",NA,"Caetité. Ca. 10 km da cidade em direção a Brumado",NA,NA,"NY00980283_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
