"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","typeStatus","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","class","relatedCatalogItem","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","fieldNumber"
"1","2021-04-05 14:25:49-03","UNESC","CRI","2058","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","L. B. Smith","R. M. Klein; M. M. Klein","1974","01","21","Brasil","Santa Catarina","Campos Novos","Palmares.","-51.225278","-27.402222","51º13'31''W","27º24'8''S","CRI006228","CRI006228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1239362","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","E. Ruiz-Sánchez","R. M. Klein","1963","10","28","Brazil","Santa Catarina","Campos Novos","Palmares","-51.225","-27.4017",NA,NA,"NY01239362","NY01239362_01","Magnoliophyta","Poales","paratype","4108","South America","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459710' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","345817","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.",NA,"R. Reitz","1963","12","27","Brazil","Santa Catarina","Campos Novos","Palmares","-51.2247","-27.4019",NA,NA,"NY00345817","NY00345817_01","Magnoliophyta","Poales","isotype","16355","South America","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646881' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1039836","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","E. Ruiz-Sánchez","J. R. Swallen","1946","01","22","Brazil","Santa Catarina",NA,"Rio Caçador",NA,NA,NA,NA,"NY01039836","NY01039836_01","Magnoliophyta","Poales",NA,"8270","South America",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1497983' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","884646","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.",NA,"L. G. Clark","1992","02","17","Brazil","São Paulo",NA,"Km 528 of BR-116, just across the highway from Posto Alto da Serra Paraiso, between Rio Barreiro and Rio Caapora. In secondary forest of the W side of the highway just before the gas station (heading toward Curitiba).","-48.35","-24.97",NA,NA,"NY00884646","NY00884646_01","Magnoliophyta","Poales",NA,"1027","South America","620","620","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963189' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1039837","PreservedSpecimen","Plantae","Poaceae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","E. Ruiz-Sánchez","P. K. H. Dusén","1916","01","21","Brazil","Paraná","Três Barras do Paraná","Locis rivae","-53.1808","-25.4189",NA,NA,"NY01039837","NY01039837_01","Magnoliophyta","Poales",NA,"17506","South America","760",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1497987' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:16:03-03","NBC","NL-BOTANY","L.1213427","PreservedSpecimen","Plantae","Gramineae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.",NA,"Klein RM","1964","02","26","Brazil",NA,NA,"Palmares, Campos Novos.",NA,NA,NA,NA,"NL-L1213427","NL-L1213427",NA,"Poales",NA,NA,"Southern America",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1213427 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:16:03-03","NBC","NL-BOTANY","U.1494052","PreservedSpecimen","Plantae","Gramineae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.","Judziewicz EJ","Rauscher I","1990","06","12","Brazil","Paraná",NA,NA,NA,NA,NA,NA,"NL-U1494052","NL-U1494052",NA,"Poales",NA,NA,"Southern America",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1494052 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","U 0020277",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:16:03-03","NBC","NL-BOTANY","L.1213425","PreservedSpecimen","Plantae","Gramineae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.",NA,"Klein RM","1968","07","13","Brazil",NA,NA,"4 km ao sul de Caçador, Caçador.",NA,NA,NA,NA,"NL-L1213425","NL-L1213425",NA,"Poales",NA,NA,"Southern America",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1213425 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:16:03-03","NBC","NL-BOTANY","L.1213426","PreservedSpecimen","Plantae","Gramineae","Apoclada","simplex","Apoclada simplex","McClure & L.B.Sm.",NA,"Klein RM","1963","10","28","Brazil",NA,NA,"palmares, Campos Novos.",NA,NA,NA,NA,"NL-L1213426","NL-L1213426",NA,"Poales",NA,NA,"Southern America",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1213426 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
