"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","880134","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","L. Riedel","s.n.","1824","06","South America","Brazil","Minas Gerais","In fruticetis pr. Barbacena","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2529435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880134","NY00880134_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1181849","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","L. Emygdio de Mello Filho","3337","1972","07","South America","Brazil","Minas Gerais","Gandarela.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387606' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181849","NY01181849_01","C. T. Oliveira","14","1025","1025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","880137","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","A. Macedo","2724","1950","12","South America","Brazil","Minas Gerais","Saramenha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2529518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880137","NY00880137_01",NA,"23",NA,NA,"Ouro Preto","-43.5081","-20.2878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","880135","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","L. Riedel","s.n.","1824","06","South America","Brazil","Minas Gerais","In fruticetis pr. Barbacena","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2529489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880135","NY00880135_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","797340","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","L. Riedel","1084","1824","06","South America","Brazil",NA,"Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797340","NY00797340_01","C. H. Schultz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","797342","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","J. C. Solomon","17246","1987","06","South America","Bolivia","La Paz","Siete Cielos, Río Manupare","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797342",NA,"H. E. Robinson","10","180","180","Abel Iturralde","-67.62","-12.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","880140","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","J. A. Ratter","R.3137","1976","06","South America","Brazil","Distrito Federal","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km. SSW of Brasília TV tower.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2529524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880140","NY00880140_01",NA,"09",NA,NA,"Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1183977","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","M. M. Saavedra","303","2006","05","South America","Brazil","Minas Gerais","Parque Estadual do Ibitipoca.Entre a Lombada e o Cruzeiro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459481' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183977","NY01183977_01","R. A. X. Borges","18",NA,NA,"Lima Duarte","-43.8836","-21.6842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","880136","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","A. F. Regnell","II:150",NA,NA,"South America","Brazil","Minas Gerais","Prov. Minas Geraes, Caldas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2529503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880136","NY00880136_01",NA,NA,NA,NA,"Caldas","-46.3858","-21.9236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","797341","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","C. E. B. Proença","183","1982","06","South America","Brazil","Distrito Federal","Cabeça do Vale do Capao da Onça","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797341","NY00797341_01","W. C. Holmes","23","970","1000","Brasília","-47.63","-15.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","880133","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","J. B. E. Pohl","2764",NA,NA,"South America","Brazil","Goiás","Chapada do Serra do Marcos. Corgo Andasra","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2529430' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880133","NY00880133_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","797339","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","A. F. M. Glaziou",NA,"1875","05","South America","Brazil","Rio de Janeiro","S. Antonio; Petropolis","sheet","[collector number illegible] donné par Mme Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797339","NY00797339_01",NA,"08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1183970","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","M. M. Saavedra","227","2005","05","South America","Brazil","Minas Gerais","Parque Estadual do Ibitipoca, trilha na Ponte de Pedras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459451' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183970","NY01183970_01","R. A. X. Borges","26",NA,NA,"Lima Duarte","-43.7931","-21.8425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","880139","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","G. J. Shepherd","3861","1976","12","South America","Brazil","Minas Gerais","Estrada Diamantina a Corinto até 10 km.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2529521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880139","NY00880139_01",NA,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","880138","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","J. E. B. Warming","s.n.","1863","09","South America","Brazil",NA,"Ad Lagoa Santa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2529519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880138","NY00880138_01",NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","880141","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","J. A. Ratter","R3099","1976","06","South America","Brazil","Distrito Federal","In the area of the Córrego Cabeca de Veado c. 9.5 km SSE of Brasília TV Tower.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2529526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880141","NY00880141_01",NA,"03",NA,NA,"Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","880132","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","A. Macedo","2724","1950","12","South America","Brazil","Minas Gerais","Saramenha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2529429' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880132","NY00880132_01",NA,"23",NA,NA,"Ouro Preto","-43.5081","-20.2878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-13 09:19:03-03","UFRJ","RFA","27848","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","A. Quinet","19/94","2001","05",NA,"Brasil","Rio de Janeiro","Lumiar. Sitio Arco Íris.",NA,"Trepadeira, folha discolor, flor em capítulos brancos, comum no local.","RFA37358",NA,"R. L. Esteves","18","550","550","Nova Friburgo","-42.405556","-22.355278","2001","08","28","42º24'20''W","22º21'19''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-19 15:43:22-03","UNEB","HUNEB","11686","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Mikania","microdonta","Mikania microdonta","DC","Almeida, G.S.S.","357","2006","04",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi: Trilha do Morro do Cachorro.",NA,NA,"HUNEB0011686",NA,NA,"17",NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,"Dicotyledoneae","44599","auto",NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:34:58-03","EAO","IAN","105523","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","Magalhães, MG","5149","1943","06","Southern America","Brasil","Minas Gerais","Margem de mata secundária, Airuoca.",NA,"Cipó, trepadeira, flor alva.","IAN105523",NA,"Barroso, GM","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-30 12:34:58-03","EAO","IAN","13634","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","Badini, J","s.n.","1941","09","Southern America","Brasil","Minas Gerais","Pico do Itacolomi.",NA,"Trepadeira (cipó), flor alva.","IAN013634","IAN013634 IAN013634_e","Barreto, M",NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:34:58-03","EAO","IAN","14020","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","microdonta","Mikania microdonta tomentosa","DC.","Magalhães, MG","1615","1942","05","Southern America","Brasil","Minas Gerais","Capoeirinha, Capivari.",NA,"Trepadeira; flores alvas, muito frequente.","IAN014020","IAN014020 IAN014020_e","Barreto, M","03",NA,NA,"Serro","-43.3793983459473","-18.604700088501",NA,NA,NA,NA,NA,NA,"37754","auto","tomentosa",NA,NA,NA,NA,NA
"23","2021-03-30 12:34:58-03","EAO","IAN","104409","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","microdonta","Mikania microdonta tomentosa","DC.","Magalhães, MG","1615","1942","05","Southern America","Brasil","Minas Gerais","Capoeirinha, Capivari.",NA,"Trepadeira; flores alvas, muito frequente.","IAN104409",NA,"Barreto, M","03",NA,NA,"Serro","-43.3793983459473","-18.604700088501",NA,NA,NA,NA,NA,NA,"37754","auto","tomentosa",NA,NA,NA,NA,NA
"24","2019-10-09 11:10:51-03","UFBA","ALCB","128978","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","Baez, C; Lima, T; Rosa, P; Maurenza, D; Martins, J","983","2016","08","Southern America","Brasil","Rio de Janeiro","Pedra Dubois. Trilha para a Pedra Dubois. Logo antes do pieiro afloramento rochoso.",NA,"Terrícola, semi-heliófita. Pecíolos verdes. Folhas discolores pilosas. Brácteas involucrais verdes. Frutos de papus alvos. Altura: 1 m.","ALCB046517","ALCB046517",NA,"30","1074","1074","Santa Maria Madalena","-41.9875","-21.943889",NA,NA,NA,"-41.9875","-21.943889",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-02-08 08:50:31-03","NBC","NL-BOTANY","U.1135553","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","microdonta","Mikania microdonta","DC.","Solomon JC",NA,"1987","06","Southern America","Bolivia",NA,"Bolivia. Dpto. La Paz: Prov. Iturralde. Siete Cielos, Río Manupare.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1135553 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1135553","NL-U1135553",NA,"10",NA,NA,NA,"-67.616667","-12.45",NA,NA,NA,"-67.616667","-12.45","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-31 13:36:08-03","MN","R","38244","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","Glaziou, A.F.M.; Netto, L.S.M.; Schwacke, C.A.W.; Rangel, E.S. & Fortunato, R.H.",NA,"1879","06",NA,"Brasil","Minas Gerais",NA,NA,NA,"R000038244","R000038244_001","Barroso, G.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-31 13:36:08-03","MN","R","85876","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","Glaziou, A.F.M.","8147","1876","05",NA,"Brasil","Rio de Janeiro",NA,NA,"Plantas do Brasil Central","R000085876","R000085876_001",NA,"08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-20 21:15:56-03","UFV","VIC","9350","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","Ferreira, A.A.A.","s.n.","1985","05",NA,"Brasil","Minas Gerais","Três Moinhos",NA,"Trepadeira de flor branca.","VIC009350","VIC009350","Esteves, R.L.","12",NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","2004","07","21",NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"29","2020-12-20 21:15:56-03","UFV","VIC","28775","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","Almeida, G.S.S.; Custódio, J.","357","2006","04",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Trilha do morro do cachorro",NA,"Liana/; bracteas involucrais esparso-tomentosas; flores alvas com lobos vináceos; cipsela glabra; papilho alvo. Coletada em capão da encosta seca/campo rupestre.","VIC028775",NA,NA,"17",NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"30","2020-12-20 21:15:56-03","UFV","VIC","28774","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","Almeida, G.S.S.; Custódio, J.","443","2006","06",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Trilha da lagoa seca",NA,"Liana; bracteas involucrais esparso-tomentosas; flores alvas com lobos vináceos; cipsela glabra; papilho alvo. Coletada em capão de encosta seca/ campo rupestre.","VIC028774",NA,NA,"26",NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"31","2020-12-20 21:15:56-03","UFV","VIC","28776","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","Almeida, G.S.S.; et al.","448","2006","06",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Trilha do morro do cachorro",NA,"Subarbusto 0,5m, caule vináceo; flores cremes; papilho om cerdas cremes. Coletada em campos rupestre/campo rupestre.","VIC028776",NA,NA,"28",NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"32","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0022842","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","G. Hatschbach; M. Hatschbach, O. S. Ribas, J. Carneiro","74990","2003","6",NA,"Brazil","Espirito Santo","Rod. BR-262, Rio Cavalo (Mun. Marechal Floriano).",NA,"Volúvel, flor creme.",NA,NA,"W. C. Holmes","8",NA,NA,NA,"-40.676856","-20.413505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-01 16:24:46-03","UNICAMP","UEC","120098","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","A.DC.","Sampaio, AB","32","1996","07",NA,"Brazil","Distrito Federal","Fazenda Sucupira (EMBRAPA-CENARGEN), borda da mata do açudinho, porção central",NA,"Liana, flor branca","UEC162979","UEC162979",NA,"04","1080","1080","Brasília","-48.033333","-15.924167",NA,NA,NA,"-48.033333","-15.924167",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-01 16:24:46-03","UNICAMP","UEC","60148","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","A.DC.","Vieira, AOS; Yamamoto, K","26194","1992","04",NA,"Brazil","Rio de Janeiro","Área das Fontes de Água Petrópolis., Mata úmida",NA,"Volúvel, beira da mata. Ramos avermelhados-claro. Capítulos brancos.","UEC162985","UEC162985",NA,"30",NA,NA,"Petrópolis","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,"36524","auto",NA,NA,NA,NA,NA,NA
"35","2021-03-01 16:24:46-03","UNICAMP","UEC","91708","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","A.DC.","Sá, FN","]","1997","05",NA,"Brazil","São Paulo","Serra do Japí",NA,"Trepadeira om flores com pétalas brancas e bráctea verde clara, folha verde sendo mais clara na supefície abaxial.","UEC162978","UEC162978",NA,"19",NA,NA,"Jundiaí","-46.8800010681152","-23.1800003051758",NA,NA,NA,NA,NA,NA,"17840","auto",NA,NA,NA,NA,NA,NA
"36","2019-11-05 16:45:14-03","UFOP","OUPR","11049","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais",NA,NA,"Terreno pedregoso. Trepadeira. Flores pálidas",NA,NA,"Schwacke, C.A.W.",NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"37","2019-11-05 16:45:14-03","UFOP","OUPR","14662","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Cachoeira do Campo",NA,"Campo. Trepadeira. Flores pálidas",NA,NA,"Badini, J.",NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","1941",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"38","2019-11-05 16:45:14-03","UFOP","OUPR","14659","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Camarinhas",NA,"Campo. Trepadeira. Flores pálidas",NA,NA,"Badini, J.",NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","1941",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"39","2019-11-05 16:45:14-03","UFOP","OUPR","3608","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Campo Grande",NA,"Campo. Erva. Flores pálidas",NA,NA,"Zurlo, M.A.",NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","1969",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"40","2019-11-05 16:45:14-03","UFOP","OUPR","5650","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Chapada",NA,"Campo",NA,NA,"Lisboa, M.A.",NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","1974","10","31",NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"41","2019-11-05 16:45:14-03","UFOP","OUPR","14663","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Pedra do Amolar",NA,"Campo. Trepadeira. Flores pálidas",NA,NA,"Badini, J.",NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","1941",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"42","2019-11-05 16:45:14-03","UFOP","OUPR","14661","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Serra de Ouro Preto",NA,"Campo. Trepadeira. Flores pálidas",NA,NA,"Badini, J.",NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","1941",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"43","2019-11-05 16:45:14-03","UFOP","OUPR","5970","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Serra do Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","1974","10","31",NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"44","2019-11-05 16:45:14-03","UFOP","OUPR","14660","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","microdonta","Mikania microdonta","DC.","s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Taquaral",NA,"Campo. Trepadeira. Flores pálidas",NA,NA,"Badini, J.",NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","1941",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
