"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","class","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01212714","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","aquatica","Alternanthera aquatica","Chodat","T. M. Pederson","J. Jangoux","1590","1981","07","South America","Brazil","Pará","Rio Amazonas, entre Alenquer e rio Curuá.","-54.83","-1.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1465551' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212714","NY01212714_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00837929","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","aquatica","Alternanthera aquatica","Chodat","A. Pott","A. C. Cervi","3299","1991","08","South America","Brazil","Mato Grosso do Sul","Ponte do Saran, estrada da Manga.","-57.17","-19.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837929","NY00837929_01","22","Corumbá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:22-03","PUCPR","HUCP","10618","S","Plantae","Monocotiledonea",NA,"Amaranthaceae","Alternanthera","aquatica","Alternanthera aquatica","(D.Parodi) Chodat.","Pott, VJ; Pott, A","Cervi, AC","3299","1991","08",NA,"Brasil","Mato Grosso do Sul","Ponte do Saron",NA,NA,NA,NA,"HUCP00006177","HUCP00006177","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-26 18:06:51-03","CPAN-UFMS","COR","2102","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","aquatica","Alternanthera aquatica","(D.Parodi) Chodat","D.T. Azevedo & I.H. Ishii","C.R.Mendes,N.R.Bueno,I.H.Ishii,Damasceno Junior, G.A.",NA,"1990","11",NA,"Brasil","Mato Grosso do Sul","Baía do Jacadigo. Aquático; ; plano.","-57.6533012390137","-19.0091991424561",NA,"Material de monografia de graduação; Com Flor: branca",NA,NA,"01","Corumbá","295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-26 18:06:51-03","CPAN-UFMS","COR","7767","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","aquatica","Alternanthera aquatica","(D.Parodi) Chodat","M.S.Lima","Machado,A.S.; Ramos,E.; Silva, M.F.","40","2001","05",NA,"Brasil","Mato Grosso do Sul","Distrito de Albuquerque, Baia do Tamengo. aquático; ;.","-57.6533012390137","-19.0091991424561",NA,"Com Flor: branca; Importância Econômicaforrageira",NA,NA,"04","Corumbá","295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-26 18:06:51-03","CPAN-UFMS","COR","793","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","aquatica","Alternanthera aquatica","(D.Parodi) Chodat",NA,"Rego, A.","624","1986","07",NA,"Brasil","Mato Grosso do Sul","Lagoa do Jacadigo. Planície.","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,"26","Corumbá","295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-26 18:06:51-03","CPAN-UFMS","COR","3546","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","aquatica","Alternanthera aquatica","(D.Parodi) Chodat",NA,"Sanches, A.L.;Bortolotto, I.M.;Damasceno Jr., G.A.","12","1994","05",NA,"Brasil","Mato Grosso do Sul","Fazenda do Rabicho - Rio Paraguai. Beira de rio inundada; argiloso; planície.","-57.6016998291016","-19.0046997070312",NA,"Material de monografia ( P. Vitória-Régia ); Com Flor: alva Habito: Erva aquática flutuante fixa",NA,NA,"31","Ladário","23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-26 18:06:51-03","CPAN-UFMS","COR","3579","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","aquatica","Alternanthera aquatica","(D.Parodi) Chodat",NA,"Sanches, A.L.;Bortolotto, I.M.;Damasceno Jr., G.A.","45","1994","08",NA,"Brasil","Mato Grosso do Sul","Fazenda do Rabicho - Rio Paraguai. Beira de rio inundada; argiloso; planície.","-57.6016998291016","-19.0046997070312",NA,"Material de monografia ( P. Vitória-Régia ); Com Flor: alva; Importância Econômica: forrageira",NA,NA,"12","Ladário","23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-26 18:06:51-03","CPAN-UFMS","COR","709","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","aquatica","Alternanthera aquatica","(D.Parodi) Chodat","M.S.Lima","Rego, A.","530","1986","07",NA,"Brasil","Mato Grosso do Sul","Polder. Planície.","-57.6016998291016","-19.0046997070312",NA,"Erva flutuante livre",NA,NA,"22","Ladário","23141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-02 16:28:33-03","CPAN-UFMS","COR","4467","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","aquatica","Alternanthera aquatica","(D.Parodi) Chodat","M.S.Lima","Damasceno Jr., G.A.; Ishii, I.H.; Silva, C.J.; Hamilton, S.","360","1992","04",NA,"Brasil","Mato Grosso do Sul","Próximo ao Polder. Baceiro, descendo o Rio Paraguai (Banco de macrófitas flutuantes); ;.","-57.6016998291016","-19.0046997070312",NA,"Habito: Erva aquática",NA,NA,"01","Ladário","23141","auto","2002","02","27",NA,NA,NA,NA,NA,NA,NA,NA
