"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","monthIdentified","continentOcean","coordinatePrecision","geoFlag","dayIdentified","imagecode","class","typeStatus","fieldNumber","preparationType","order"
"1","2020-11-24 17:10:54-03","UTFPR","DVPR","3001","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","Salla, VP","2015","Salla, VP","02","2015","09","05","Brasil","Paraná","Dois Vizinhos","Viveiro da UTFPR","-53.0536","-25.41448","-53.0536","-25.41448","523","523","Árvore 1,5m, vegetativa. Cultivada em vaso.","DVPR003001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-08 21:32:50-03","UFBA","ALCB","125315","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","Stadnik, A","2015","Mattos, J","s/n","1964","01","15","Brasil","São Paulo","São Paulo","Cultivada na estação experimental de criação, Água Funda.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"ca. 3m alt. Flores brancas com cálice branco-esverdeado. Frutos maduros verde-claros costado.","ALCB060571","09","Southern America","53584","auto",NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:03:20-03","JBP","HPL","7014","S","Plantae",NA,"Myrtaceae","Myrciaria","aureana","Myrciaria aureana",NA,"R. Tsuji, H. Lorenzi et al.","2007","R. Tsuji, H. Lorenzi et al.","1595","2007","01","30","Brasil","MG","Viçosa","Coletado na coleção de jabuticaba - UFV, Seção de Fruticultura.","-42.8819","-20.7539",NA,NA,NA,NA,NA,NA,"01",NA,"13937","auto","30",NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:03:24-03","JBP","HPL","11453","S","Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","V.C. Souza","2012","M. Lacerda","1002","2007","11","01","Brasil","SP","Campinas","Coletado no Instituto Agronômico de Campinas (IAC), Fazenda Santa Eliza; 7° fileira a partir da estradinha.","-47.06","-22.9",NA,NA,NA,NA,NA,NA,"06",NA,"23900","auto","04",NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:03:24-03","JBP","HPL","13064","S","Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","V.C. Souza","2012","H. Lorenzi","6133","2006","09","11","Brasil","SP","Limeira","Coletado em cultivo no viveiro de mudas Dierberger. Material anterior e erroneamente tombado como HPL-6626.","-47.4","-22.56",NA,NA,NA,NA,NA,NA,"06",NA,"20999","auto","04",NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:03:24-03","JBP","HPL","6482","S","Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","V.C. Souza","2012","H. Lorenzi","6182","2006","10","04","Brasil","SP","Piracicaba","Coletado e cultivado na Escola Superior de Agronomia Luiz de Queiroz (ESALQ).","-47.64","-22.72",NA,NA,NA,NA,NA,NA,"06",NA,"44778","auto","04",NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:03:24-03","JBP","HPL","7015","S","Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","V.C. Souza","2012","R. Tsuji, H. Lorenzi et al.","1601","2007","01","30","Brasil","MG","Viçosa","Coletado e cultivado na coleção de jabuticaba - UFV, Seção de Fruticultura.","-42.8819","-20.7539",NA,NA,NA,NA,NA,NA,"06",NA,"13937","auto","04",NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:03:24-03","JBP","HPL","8351","S","Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","V.C. Souza","2012","R. Tsuji","1604","2007","01","29","Brasil","MG","Viçosa","Coletado na Coleção de Jabuticabeiras da Universidade Federal de Viçosa; Seção de Fruticultura, Departamento de Fitopatologia.","-42.8819","-20.7539",NA,NA,NA,NA,NA,NA,"06",NA,"13937","auto","04",NA,NA,NA,NA,NA,NA
"9","2015-07-02 14:03:24-03","JBP","HPL","9570","S","Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","V.C. Souza","2012","R. Tsuji","2335","2007","11","26","Brasil","MG","Santana da Várzea","Coletado e cultivado na propriedade de José Aurélio Vilela (código C16 no mapa do pomar).",NA,NA,NA,NA,NA,NA,NA,NA,"06",NA,NA,NA,"04",NA,NA,NA,NA,NA,NA
"10","2015-07-02 14:03:24-03","JBP","HPL","10497","S","Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","V.C. Souza","2012","R. Tsuji","2167","2007","09","17","Brasil",NA,"Piracicaba","Coletado na Escola Superior de Agricultura Luiz de Queiroz (ESALQ); departamento de Horticultura.","-47.64","-22.72",NA,NA,NA,NA,NA,NA,"06",NA,"44778","auto","04",NA,NA,NA,NA,NA,NA
"11","2015-07-02 14:03:24-03","JBP","HPL","11456","S","Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","V.C. Souza","2012","M. Lacerda","1005","2007","11","01","Brasil","SP","Campinas","Coletado no Instituto Agronômico de Campinas (IAC), Fazenda Santa Eliza.","-47.06","-22.9",NA,NA,NA,NA,NA,NA,"06",NA,"23900","auto","04",NA,NA,NA,NA,NA,NA
"12","2015-07-02 14:03:24-03","JBP","HPL","6479","S","Plantae",NA,"Myrtaceae","Plinia","phitrantha","Plinia phitrantha","(Kiaersk.) Sobral","V.C. Souza","2012","H. Lorenzi","6179","2006","10","04","Brasil","SP","Campinas","Coletado e cultivado na Fazenda Santa Elisa (floricultura).","-47.06","-22.9",NA,NA,NA,NA,NA,NA,"06",NA,"23900","auto","04",NA,NA,NA,NA,NA,NA
