"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem"
"1","2020-09-23 10:40:33-03","E","E","293814","PreservedSpecimen","Plantae","Leguminosae","Chamaecrista","anamariae","Chamaecrista anamariae","Stannard, B.; Ganev, W.; Queiroz, R.F.","1992","03","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:308646","<a href=http://data.rbge.org.uk/herb/E00293814 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","777450","PreservedSpecimen","Plantae","Fabaceae","Chamaecrista","anamariae","Chamaecrista anamariae","W. Ganev","1992","11","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=241581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777450","Magnoliophyta","Fabales","Conc., L.P.Queiroz & G.P.Lewis","A. O. de Souza","1491","Bahia","Abaíra","Caminho Bicota - serrinha","-41.85","-13.33","1470","1470","NY00777450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02681501","PreservedSpecimen","Plantae","Fabaceae","Chamaecrista","anamariae","Chamaecrista anamariae","B. L. Stannard","1992","03","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2957418' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681501","Magnoliophyta","Fabales","Conc., L.P.Queiroz & G.P.Lewis",NA,"H51708","Bahia","Abaíra","Caminho de Boa Vista até o Bicota.","-41.6636009216309","-13.2496995925903","1200","1400","NY02681501_01","26531","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","777451","PreservedSpecimen","Plantae","Fabaceae","Chamaecrista","anamariae","Chamaecrista anamariae","R. M. Harley","1992","03","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777451","Magnoliophyta","Fabales","Conc., L.P.Queiroz & G.P.Lewis","G. P. Lewis","51708","Bahia","Abaíra","Caminho de Boa Vista até o Bicota","-41.85","-13.32","1200","1400","NY00777451_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 11:53:45-03","UFPE","UFP","59817","PreservedSpecimen","Plantae","Fabaceae-Caes.","Chamaecrista","anamariae","Chamaecrista anamariae","Conceição, AS","1999","05","02",NA,"Brasil",NA,NA,"Subarbusto aprox. 40cm altura. Caule cerdoso. Estípulas verdes. Folhas pilosas, discolores, cartáceas. Flores terminais amarelas; pedicelo alaranjado; sépalas amarela-vináceas, estames amarelos. Frutos jovens verdes e maduros marrons.;","UFP059817",NA,"Fabales",NA,"Conceição, AS","287","Bahia","Abaíra",NA,"-41.6636009216309","-13.2496995925903",NA,NA,"UFP059817_01","26531","auto","2002","06","12","isotype",NA,NA,NA,NA
"6","2021-03-15 18:27:39-03","USP","SPF","112214","PreservedSpecimen","Plantae","Leguminosae","Chamaecrista","anamariae","Chamaecrista anamariae","Ganev, W","1993","10","25",NA,"Brasil",NA,NA,"Arbusto de ca. 70 cm. Bem ramificada. Folhas cartáceas, verde. Pedúnculo e pedicelo verde-claro. Flores com sépalas verde com manchas vináceo. Pétalas amarelas, estames amarelos, pistilo verde. Início de floração.; Campo rupestre com","SPF00112214",NA,NA,"Conc., L.P.Queiroz & G.P.Lewis","Conceição, AS","2413","Bahia","Abaíra","Guarda Mor, Caminho Guarda-Mor - Serrinha - Catolés.","-41.85","-13.316667","1300","1300",NA,NA,NA,"2003","04","07","paratype","-41.85","-13.316667",NA,NA
"7","2021-03-15 18:27:39-03","USP","SPF","82748","PreservedSpecimen","Plantae","Leguminosae","Chamaecrista","anamariae","Chamaecrista anamariae","Ganev, W","1993","09","02",NA,"Brasil",NA,NA,"Arbusto de até 70 cm. Folhas verde, pedicelo e cálice verde com ápice vináceo, pétalas amarelas, estames amarelo-pálido, estilete esverdeado.; Campo rupestre com vegetação de encosta com solo arenoso com rochas.","SPF00082748",NA,NA,"Conc., L.P.Queiroz & G.P.Lewis","Conceição, AS","2194","Bahia","Rio de Contas","Caminho Boa Vista - Mutuca Corisco, próximo ao Bicota.","-42.35","-13.833333","1325","1325",NA,NA,NA,"2008","06","17","paratype","-42.35","-13.833333",NA,NA
"8","2021-03-15 18:27:39-03","USP","SPF","87787","PreservedSpecimen","Plantae","Leguminosae","Chamaecrista","anamariae","Chamaecrista anamariae","Ganev, W","1992","11","18",NA,"Brasil",NA,NA,"Subarbusto de até 70 cm. Folhas verdes, pedicelo verde-claro, cálice verde com manchas vináceo para o ápice, flores amarelas com estilete claro.; Campo rupestre com solo arenoso com muitas rochas.","SPF00087787",NA,NA,"Conc., L.P.Queiroz & G.P.Lewis","Conceição, AS","1491","Bahia","Abaíra","Caminho Bicota - serrinha.","-41.85","-13.333333","1470","1470",NA,NA,NA,"2003","04","07","paratype","-41.85","-13.333333",NA,NA
"9","2021-03-15 18:27:39-03","USP","SPF","91065","PreservedSpecimen","Plantae","Leguminosae","Chamaecrista","anamariae","Chamaecrista anamariae","Stannard, BL","1992","03","02",NA,"Brasil",NA,NA,"Arbusto 50 cm alt. Flores amarelas com tons vermelhos.; Carrasco.","SPF00091065",NA,NA,"Conc., L.P.Queiroz & G.P.Lewis","Conceição, AS","H51708","Bahia","Abaíra","Caminho de Boa Vista até Bicota.","-41.85","-13.316667","1200","1400",NA,NA,NA,"2003","04","07","paratype","-41.85","-13.316667",NA,NA
"10","2019-11-13 11:21:49-03","USP","SPF","146749","PreservedSpecimen","Plantae","Leguminosae","Chamaecrista","anamariae","Chamaecrista anamariae","França, F","1995","07","09",NA,"Brasil",NA,NA,NA,"SPF00146749",NA,NA,"Conc., L.P.Queiroz & G.P.Lewis","Conceição, AS","1282","Bahia","Abaíra","Caminho Boa Vista para Bicota.","-41.6636009216309","-13.2496995925903","1200","1600",NA,"26531","auto","2003","04","07","paratype",NA,NA,NA,NA
