"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","phylum","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2016-09-27 19:26:00-03","NY","NYBG","01300254","PreservedSpecimen","Plantae","Fabales","Fabaceae","Albizia","glabripetala","Albizia glabripetala","R. C. Barneby; J. W. Grimes","N. Cuello A.","781","1989","02","05","South America","Venezuela","Bolívar","Cedeño","Mun. Foráneo La Urbana, a 80 km. al S de Calcara por la via hacia El Guaniamo. Hoja NB-19-8.","-67","6.766666667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1641684' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300254","NY01300254_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01300247","PreservedSpecimen","Plantae","Fabales","Fabaceae","Albizia","glabripetala","Albizia glabripetala","R. C. Barneby; J. W. Grimes","R. H. Schomburgk","525","1842",NA,NA,"South America","Guyana",NA,NA,"Roraima, Brit. Guiana",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1641578' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300247","NY01300247_01","Magnoliophyta","(H.S.Irwin) G.P.Lewis & P.E.Owen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01300250","PreservedSpecimen","Plantae","Fabales","Fabaceae","Albizia","glabripetala","Albizia glabripetala","R. C. Barneby; J. W. Grimes","Forest Department of British Guiana","WB5642","1948","09",NA,"South America","Guyana",NA,NA,"Sand Creek, Rupununi River","-59.55","3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1641589' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300250","NY01300250_01 NY01300250_02","Magnoliophyta","(H.S.Irwin) G.P.Lewis & P.E.Owen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01300248","PreservedSpecimen","Plantae","Fabales","Fabaceae","Albizia","glabripetala","Albizia glabripetala","R. C. Barneby; J. W. Grimes","J. J. Wurdack","41263","1956","01","17","South America","Venezuela","Bolívar",NA,"Río Suapare: along river between Raudal Budare and Raudal Puerta Brava (70-80 km. from mouth)",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1641580' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300248","NY01300248_01 NY01300248_02","Magnoliophyta","(H.S.Irwin) G.P.Lewis & P.E.Owen","110","120",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01098738","PreservedSpecimen","Plantae","Fabales","Fabaceae","Albizia","glabripetala","Albizia glabripetala","R. C. Barneby; J. W. Grimes","J. A. Ratter","R.6263","1988","02","10","South America","Brazil","Roraima",NA,"SEMA Ecological Reserve, Ilha de Maracá. On Trilha de Preguiça, 2-3 km N of the Casa de Maracá.","-61.52","3.35","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288907' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098738","NY01098738_01","Magnoliophyta","(H.S.Irwin) G.P.Lewis & P.E.Owen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01300251","PreservedSpecimen","Plantae","Fabales","Fabaceae","Albizia","glabripetala","Albizia glabripetala","R. C. Barneby; J. W. Grimes","M. J. Jansen-Jacobs","2643","1992","09","26","South America","Guyana",NA,NA,"Rupununi. Kusad Mountains","-59.83","2.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1641672' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300251","NY01300251_01","Magnoliophyta","(H.S.Irwin) G.P.Lewis & P.E.Owen","150","250",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01300249","PreservedSpecimen","Plantae","Fabales","Fabaceae","Albizia","glabripetala","Albizia glabripetala","R. C. Barneby; J. W. Grimes","Forest Department of British Guiana","5397","1946","11","03","South America","Guyana",NA,NA,"Orealla, Corantyne River",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1641583' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300249","NY01300249_01","Magnoliophyta","(H.S.Irwin) G.P.Lewis & P.E.Owen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01300252","PreservedSpecimen","Plantae","Fabales","Fabaceae","Albizia","glabripetala","Albizia glabripetala","O. Poncy","M. J. Jansen-Jacobs","5549","1997","09","17","South America","Guyana",NA,NA,"S Rupunni Savanna, Takatu River, Miliawau River","-59.58","2.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1641679' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300252","NY01300252_01","Magnoliophyta","(H.S.Irwin) G.P.Lewis & P.E.Owen","160","160",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01098739","PreservedSpecimen","Plantae","Fabales","Fabaceae","Albizia","glabripetala","Albizia glabripetala","R. C. Barneby; J. W. Grimes","W. Milliken","M.88","1987","04","24","South America","Brazil","Roraima",NA,"Roraima, SEMA Ecological Reserve, Ilha de Maracá","-61.433333","3.366667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288908' target='other'> <mi>dwc_moreinfo</mi></a>","NY01098739","NY01098739_01","Magnoliophyta","(H.S.Irwin) G.P.Lewis & P.E.Owen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 19:26:00-03","NY","NYBG","01300253","PreservedSpecimen","Plantae","Fabales","Fabaceae","Albizia","glabripetala","Albizia glabripetala","R. C. Barneby; J. W. Grimes","J. Rosales","643","1989","08","05","South America","Venezuela","Bolívar","Caroní","Puerto Ordaz, Parque La Llovizna, isla Zapateral.","-62.67","8.3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1641680' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300253","NY01300253_01","Magnoliophyta",NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
