"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","year","month","day","phylum","order","infraspecificEpithet","scientificNameAuthorship","typeStatus","locality","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relationshipType","relatedCatalogItem","individualCount","fieldNumber"
"1","2020-09-23 10:43:57-03","E","E","70803","PreservedSpecimen","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Gillies, John","Temperate South America","AR","Prov. de Buenos Aires ?","herbarium specimen of unspecif","BGBASE:82758","Sparre remarks that this specimen is not from Mendoza as stated on the herbarium sheet. In Sparre & Andersson, A Taxonimic revision of Tropaeolacae, Opera Botanica 108 it is suggested that this collection was made in Buenos Aires and n","E00070803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:57-03","E","E","70786","PreservedSpecimen","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Tweedie, John","Temperate South America","AR","Prov. de Buenos Aires","herbarium specimen of unspecif","BGBASE:82741","<a href=http://data.rbge.org.uk/herb/E00070786 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00070786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:57-03","E","E","70785","PreservedSpecimen","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Morong, Thomas","Temperate South America","AR","Prov. de Buenos Aires","herbarium specimen of unspecif","BGBASE:82740","<a href=http://data.rbge.org.uk/herb/E00070785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00070785","14","1905","03","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:57-03","E","E","70787","PreservedSpecimen","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Gillies, John","Temperate South America","AR","Prov. de Buenos Aires","herbarium specimen of unspecif","BGBASE:82742","<a href=http://data.rbge.org.uk/herb/E00070787 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00070787",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","388319","PreservedSpecimen","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum megapetalum","C. E. O. Kuntze","South America","Bolivia",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126445' target='other'> <mi>dwc_moreinfo</mi></a>","NY00388319","s.n.","1895","05","09","Magnoliophyta","Brassicales","megapetalum","Buchenau","type","Sierra de Santa Cruz","2800","2800","NY00388319_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:21:02-03","UFRJ","RFA","19141","PreservedSpecimen","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","G.G. Hatschbach",NA,"Brasil","Paraná",NA,NA,"Trepadeira, flor esverdeada com máculas purpúreas","RFA50255","32885","1973","10","19",NA,NA,NA,"Lam.",NA,"Serra do Angico",NA,NA,NA,"G.G. Hatschbach","Pitanga","-51.7613983154297","-24.7572002410889","37178","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-24 17:11:07-03","UTFPR","DVPR","3633","PreservedSpecimen","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Siqueira, EL; et al.",NA,"Brasil","Paraná",NA,NA,"trepadeira com gavinhas, semi ciófila. Flores rosas, maculadas de castanho no interior das pétalas.; Relevo: ondulado. Vegetação: Floresta Estacional Semidecidual Submontana.","DVPR003633","1106","2014","08","27","Magnoliophyta",NA,NA,"Lam.",NA,"Estação Ecológica Municioal de Fênix.","382","382",NA,"Barboza, E","Fênix","-52.042609","-23.57588",NA,NA,"2014","-52.042609","-23.57588",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:25:56-03","PUCPR","HUCP","21899","S","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Acra, LA",NA,"Brasil","Paraná",NA,NA,NA,"HUCP00019794","244",NA,NA,NA,"Eudicotiledonea",NA,NA,"Lam.",NA,"Parque Barigui",NA,NA,"HUCP00019794","Acra, LA","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:25:56-03","PUCPR","HUCP","18750","S","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Selusniaki, M; Moledo, R",NA,"Brasil","Paraná",NA,NA,NA,"HUCP00019838","1701","2007","09",NA,"Eudicotiledonea",NA,NA,"Lam.",NA,"Parque Municipal do Passaúna",NA,NA,"HUCP00019838","Selusniaki, M","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:25:56-03","PUCPR","HUCP","180","S","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Cesar, B",NA,"Brasil","Paraná",NA,NA,NA,"HUCP00019786","006",NA,NA,NA,"Eudicotiledonea",NA,NA,"Lam.",NA,"Guabirotuba",NA,NA,"HUCP00019786","Schwarz","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto","1982",NA,NA,"10","12",NA,NA,NA,NA,NA
"11","2019-12-04 15:25:56-03","PUCPR","HUCP","21898","S","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Acra, LA",NA,"Brasil","Paraná",NA,NA,NA,"HUCP00019846","251","2011","09","21","Eudicotiledonea",NA,NA,"Lam.",NA,"Parque Barigui",NA,NA,"HUCP00019846","Acra, LA","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-04 15:25:56-03","PUCPR","HUCP","21018","S","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Bolson, M",NA,"Brasil","Paraná",NA,NA,NA,"HUCP00019733","288","2009","08","15","Eudicotiledonea",NA,NA,"Lam.",NA,"Parque Estadual Cabeça do Cachorro",NA,NA,"HUCP00019733","Bolson, M","São Pedro do Iguaçu","-53.8553009033203","-24.9356002807617","24343","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 08:53:54-03","NBC","NL-BOTANY","AMD.110543","PreservedSpecimen","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Herter WG","Southern America","Uruguay",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.110543 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD110543",NA,"1907","09","01",NA,"Brassicales",NA,"Lam.",NA,"Paysandu.",NA,NA,"NL-AMD110543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"14","2020-02-08 08:53:54-03","NBC","NL-BOTANY","L.2013227","PreservedSpecimen","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Pedersen TM","Southern America","Argentina",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2013227 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2013227",NA,"1972","10","07",NA,"Brassicales",NA,"Lam.",NA,"Carambola. Dep. Concepcion, Prov. Corrientez.",NA,NA,"NL-L2013227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"15","2020-02-08 08:53:54-03","NBC","NL-BOTANY","L.2013228","PreservedSpecimen","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Böcher TW; Hjerting JPK; Rahn K","Southern America","Argentina",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2013228 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2013228",NA,"1955","11","03",NA,"Brassicales",NA,"Lam.",NA,"Provinvia Mendoza.",NA,NA,"NL-L2013228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"16","2020-02-08 08:53:54-03","NBC","NL-BOTANY","L.2013229","PreservedSpecimen","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Vervoorst F","Southern America","Argentina",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2013229 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2013229",NA,"1957","11","01",NA,"Brassicales",NA,"Lam.",NA,"Buenus Aires.",NA,NA,"NL-L2013229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"17","2020-02-08 08:53:54-03","NBC","NL-BOTANY","L.2013230","PreservedSpecimen","Plantae","Tropaeolaceae","Tropaeolum","pentaphyllum","Tropaeolum pentaphyllum","Lorentz PG","Southern America","Uruguay",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2013230 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2013230",NA,"1877","07","01",NA,"Brassicales",NA,"Lam.",NA,"Concepcion del Uraguay.",NA,NA,"NL-L2013230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
