"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","continentOcean","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-08-27 13:27:56-03","IAP","PACA-AGP","84870","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Asterales","Compositae","Senecio","riograndensis","Senecio riograndensis","Matzenbacher","N. I. Matzenbacher","1994","Paratipo","N. I. Matzenbacher","2035","1994","10","30","Brasil","RS","Guaíba","Fazenda São Maximiano, BR 116 Km 307","-51.3250007629395","-30.113899230957","28343","PARATYPUS. Habitat: em campo de coxilha","PACA084870","PACA084870","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-07 11:41:33-03","UFMS","CGMS","43797","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.","N.I. Matzenbacher","2009",NA,"F.J.M. Caporal; N.I. Matzenbacher","760","2009","10","17","Brasil","Rio Grande do Sul","Guaíba","Morro São Maximiano.","-51.3250007629395","-30.113899230957","28343",NA,"CGMS1073770",NA,"auto","10","17",NA,NA,NA,NA,NA,NA,NA
"3","2021-01-29 12:45:36-03","UNICAMP","UEC","120308","S","Plantae","Magnoliopsida",NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzemb.","Matzenbacher, NI",NA,NA,"Trigo, JR","JRT980050","1998","10","17","Brazil","Rio Grande do Sul","Guaíba","Sítio Maximiniano, Km 308, BR116.","-51.397778","-30.19",NA,NA,"UEC130436","UEC130436",NA,NA,NA,"-51.397778","-30.19",NA,NA,NA,NA,NA
"4","2019-01-17 11:24:41-02","PUCRS","MPUC","12271","S","Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenbacher",NA,"1996","PARATYPUS",NA,NA,"1994","09","24","Brasil","RS","Guaíba","BR 116 km 307, Fazenda São Maximiano","-51.3280556","-30.1011667",NA,"Coletada em campo de coxilha",NA,NA,NA,"01","01","-51.3280556000","-30.1011667000","2029","South America","1",NA,NA
"5","2020-07-27 12:03:38-03","UFSM","SMDB","15700","S","Plantae",NA,NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenbacher","Christ, A L","2015",NA,"Christ, A L","179","2015","10","23","Brasil","Rio Grande do Sul","Santa Maria","Campo de Instrução de Santa Maria - CISM, Campo seco entremeado por vegetação arbustiva, no alto de uma coxilha","-53.8069000244141","-29.6842002868652","37819","Subarbusto com aproximadamente 1m de altura. Flores amarelas","SMDB015700",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-17 15:10:01-03","UFSM","SMDB","15700","S","Plantae",NA,NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenbacher","Christ, A L","2015",NA,"Christ, A L","179","2015","10","23","Brasil","Rio Grande do Sul","Santa Maria","Campo de Instrução de Santa Maria - CISM, Campo seco entremeado por vegetação arbustiva, no alto de uma coxilha","-53.8069000244141","-29.6842002868652","37819","Subarbusto com aproximadamente 1m de altura. Flores amarelas","SMDB015700",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:17:15-03","MBM","MBM","212655","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.",NA,NA,"ISOTYPE","Matzenbacher, N.I.","2031","1994","10","15","Brazil","Rio Grande do Sul","Guaíba","Fazenda São Maximiano, BR 116, km 307","-51.3250007629395","-30.113899230957","28343","Em campo de coxilha; Em campo de coxilha.","MBM212655","MBM212655","auto",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"8","2019-11-07 11:43:57-03","FUVATES","HVAT","1557","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.","E. Freitas","2004",NA,"E. Freitas","s.n.","2004","09","18","Brasil","Rio Grande do Sul","São Francisco de Assis","Fazenda Joaquim Paz.","-55.131111","-29.550278",NA,"Subarbusto.; Eécie campestre.","HVAT00001557",NA,NA,"10","26","-55º7'52''W","-29º33'1''S",NA,NA,NA,NA,NA
"9","2021-02-23 13:21:57-03","MN","R-TIPOS","157030","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.",NA,NA,"Paratypus","Vidal, J.","IV - 273","1953",NA,NA,"Brasil","Rio Grande do Sul",NA,"Baia de Tramandaí",NA,NA,NA,NA,"R000157030","R000157030_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-23 13:21:57-03","MN","R-TIPOS","157030b","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Senecio","riograndensis","Senecio riograndensis","Matzenb.",NA,NA,"Isoparatypus","Vidal, J.","IV - 273","1953",NA,NA,"Brasil","Rio Grande do Sul",NA,"Baia de Tramandaí",NA,NA,NA,NA,"R000157030b","R000157030b_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
