"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","971605","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Calostigma","regnellii","Calostigma regnellii","Malme","G. O. A. Malme","P. K. H. Dusén","479","1902","06","07","South America","Brazil","Serra do Itatiaya.","-44.637876","-22.374281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090352' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971605","NY00971605_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1039409","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","regnellii","Oxypetalum regnellii","(Malme) Malme","M. A. Farinaccio","M. A. Farinaccio","607","2004","01","21","South America","Brazil","Estrada para as Agulhas Negras km 2.","-44.5633","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1486194' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039409","NY01039409_01","Rio de Janeiro","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:28:57-03","UFRJ","RFA","5442","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","regnellii","Oxypetalum regnellii","(Malme) Malme","P. Occhioni","P. Occhioni","1428","1958","04","09",NA,"Brasil","Parque nacional da Serra dos Órgãos. Abrigo II, km 7","-42.9655990600586","-22.4122009277344",NA,"Volúvel","RFA36167",NA,"Rio de Janeiro","Teresópolis","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:18:51-03","UFRJ","RFA","Foto 16996","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","regnellii","Oxypetalum regnellii","(Malme) Malme",NA,"A.C. Brade","14552","1935","05","28",NA,"Brasil","Cam. Rio d#?#Oro","-44.5633010864258","-22.4960994720459",NA,"Trepadeira; flores amareladas","RFA-Foto36329",NA,"Rio de Janeiro","Itatiaia","19648","auto","2000","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-09-10 21:42:11-03","UNEMAT","TANG","6481","S","Plantae",NA,NA,"Apocynaceae","Oxypetalum","regnellii","Oxypetalum regnellii","(Malme) Malme","Ferneda Rocha, LC","Sardelli, LF; Silva, TRC; Silva, JA; Oliveira, RA","260","2014","12","18",NA,"Brasil","Resgate de flora da UHE Colíder., Floresta do Planalto dos Parecís, região de ecótono entre a Floresta Amazônica de Cerrado. Lote B de supressão.","-55.470542","-10.890114",NA,NA,"TANG000006481",NA,"Mato Grosso","Colíder",NA,NA,"358","358","2015","08","04","-55.470542","-10.890114",NA,NA,NA,NA,NA
"6","2021-03-30 12:34:25-03","EAO","IAN","108040","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asclepiadaceae","Oxypetalum","regnellii","Oxypetalum regnellii","(Malme) Malme","Fontelle, H","Magalhães, MG","s.n.","1954","03",NA,"Southern America","Brasil","Serra pedra Branca, Caldas (sul de Minas).",NA,NA,NA,"Cipó; flor amarelada em afloramento rochoso.","IAN108040",NA,"Minas Gerais",NA,NA,NA,NA,NA,"1988","02",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:19:40-03","NBC","NL-BOTANY","U.1078641","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Calostigma","regnelii","Calostigma regnelii","Malme",NA,"Lindeman JC; Haas JH de",NA,"1967","04","16","Southern America","Brazil","Brasiliae Australis. Est. Rio de Janeiro. Parque Nacional do Itatiaia, scrub along road from park seat to planalto.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1078641 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1078641","NL-U1078641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"8","2020-02-08 09:19:40-03","NBC","NL-BOTANY","U.1078642","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Calostigma","regnelii","Calostigma regnelii","Malme",NA,"Camerik AM",NA,"1975","07","15","Southern America","Brazil","Brasil, Est. R.J.: Serra dos Orgaos ± 2000 m. Tropische regenwoud zone/ tropical rain forest.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1078642 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1078642","NL-U1078642",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2020-02-08 09:20:04-03","NBC","NL-BOTANY","U.1092281","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Oxypetalum","regnellii","Oxypetalum regnellii","(Malme) Malme",NA,"Lindeman JC; Haas JH de",NA,"1967","02","01","Southern America","Brazil",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1092281 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1092281","NL-U1092281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2020-11-04 10:59:58-03","ESALQ","ESA","95538","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Oxypetalum","regnellii","Oxypetalum regnellii",NA,"Rapini, A.","Paula-Souza, J.; Zuloaga, F.O.; Morrone, O.; Tsuji, R.; Silveira, M.F.","5860.0","2006","07","13",NA,"Brasil","Parque Nacional da Serra dos Órgãos. Trilha para a Pedra do Sino","-43","-22.45",NA,"Volúvel, pétalas amareladas, ginostégio vináceo","ESA095538","ESA095538","Rio de Janeiro","Teresópolis",NA,NA,"1170","1170","2008",NA,NA,"-43","-22.45",NA,NA,NA,NA,NA
