"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","fieldNumber","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01032639","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","asperula","Dioscorea asperula","Pedralli","R. S. Couto","H. S. Irwin","11809","1966","01","19","South America","Brazil","Goiás","Goiás","Serra Dourada, Summit of Serra Dourada, 20 km S.E. of Goiás Velho","-50.00122","-16.0611","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201795' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032639","NY01032639_01",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01032647","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","asperula","Dioscorea asperula","Pedralli","R. S. Couto","H. S. Irwin","12652","1966","02","12","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","-47.65562","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201834' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032647","NY01032647_01",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01032648","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","asperula","Dioscorea asperula","Pedralli","R. S. Couto","H. S. Irwin","12652","1966","02","12","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","-47.65562","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201836' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032648","NY01032648_01",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01032549","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","asperula","Dioscorea asperula","Pedralli","R. S. Couto","W. R. Anderson","11141","1974","03","16","South America","Brazil","São Paulo","Sorocaba","Ca. 5 km SW of city of Sorocaba","-47.3167","-23.5152",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1200857' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032549","NY01032549_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01032616","PreservedSpecimen","Plantae","Magnoliophyta","Dioscoreales","Dioscoreaceae","Dioscorea","asperula","Dioscorea asperula","Pedralli","R. S. Couto","G. G. Hatschbach","36024","1975","01","10","South America","Brazil","Mato Grosso","Rondonópolis","BR 163, 1 km ao Sul de Rondonopolis.","-54.6356","-16.4708",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201443' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032616","NY01032616_01",NA,NA,NA,NA,NA,NA,NA
"6","2017-07-19 13:40:02-03","MNHN","RECOLNAT_MNHN_P","P01751879","PreservedSpecimen",NA,NA,NA,"Dioscoreaceae","Dioscorea","asperula","Dioscorea asperula","Pedralli","Couto","Philcox, D.|Ferreira, A.",NA,"1968","1","11",NA,"Brasil","Mato Grosso",NA,"Xavantina: c. 1,5km S of Xavantina on roas to airfield. Mato Grosso, Centro-oeste, Brasil, América do Sul","-52.23333","-14.63333",NA,NA,"hb","Royal Society/Royal Geographical Society Expedition 1967-1969 . . Central Brazilian Plateau <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01751879' target='other'> <mi>dwc_moreinfo</mi></a>","P01751879","P01751879_01","3973",NA,NA,NA,NA,NA,NA
"7","2017-07-19 13:25:21-03","MNHN","RECOLNAT_MNHN_P","P01751877","PreservedSpecimen",NA,NA,NA,"Dioscoreaceae","Dioscorea","asperula","Dioscorea asperula","Pedralli","Couto","Warming, E.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Lagoa Santa","Brésil. Lagoa Santa. Lagoa Santa, Minas Gerais, Sudeste, Brasil, América do Sul","-43.8897018432617","-19.6271991729736",NA,NA,"hb",". s.d. Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01751877' target='other'> <mi>dwc_moreinfo</mi></a>","P01751877","P01751877_01",NA,"12338","auto",NA,NA,NA,NA
"8","2020-12-11 11:43:56-03","UFMG","BHCB","14633","PreservedSpecimen","Plantae","Monocotyledon",NA,"Dioscoreaceae","Dioscorea","asperula","Dioscorea asperula","Pedralli",NA,"Pedralli, G","s.n.","1988","05","03","Southern America","Brasil","Minas Gerais","Nova Ponte","Area 1. Ponte de Ferro","-47.6747016906738","-19.1525001525879",NA,NA,NA,"Liana.","BHCB013366",NA,NA,"47316","auto","1988","08","30","Paratypus"
"9","2020-12-11 11:43:56-03","UFMG","BHCB","14632","PreservedSpecimen","Plantae","Monocotyledon",NA,"Dioscoreaceae","Dioscorea","asperula","Dioscorea asperula","Pedralli",NA,"Pedralli, G; Stehmann, JR","s.n.","1988","03","04","Southern America","Brasil","Minas Gerais","Nova Ponte","Rio Araguari.","-47.6747016906738","-19.1525001525879",NA,NA,NA,"Liana. Flores masculinas agrupadas em racemos. 6 estames.; Na mata da beira do rio","BHCB000106","BHCB000106",NA,"47316","auto","1988","08","30","Holotypus"
"10","2021-02-08 12:51:47-03","UFRGS","ICN","134200","S","Plantae","Monocotyledon",NA,"Dioscoreaceae","Dioscorea","asperula","Dioscorea asperula","Pedralli","Pedralli","Pedralli, G","1436","1988","05","03","América do Sul","Brasil","MG","Nova Ponte",NA,"-47.6747016906738","-19.1525001525879",NA,NA,NA,"Liana; Ponte de ferro","ICN00000188","ICN00000188 ICN00000188_1",NA,"47316","auto",NA,NA,NA,"Paratypus"
