"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","dayIdentified","individualCount","typeStatus","fieldNumber","sex"
"1","2020-09-23 10:43:11-03","E","E","205580","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","trachylophus","Pilocarpus trachylophus","Stannard, B.; Ganev, W.; Queiroz, R.F.","51881","1992","03","12","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:218607","<a href=http://data.rbge.org.uk/herb/E00205580 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:11-03","E","E","205583","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","trachylophus","Pilocarpus trachylophus","Stannard, B.; Ganev, W.; Queiroz, R.F.",NA,"1992","02","25","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:218672","<a href=http://data.rbge.org.uk/herb/E00205583 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:11-03","E","E","205582","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","trachylophus","Pilocarpus trachylophus","Stannard, B.; Silva, T.",NA,"1992","03","19","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:218671","<a href=http://data.rbge.org.uk/herb/E00205582 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:11-03","E","E","205584","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","trachylophus","Pilocarpus trachylophus","Stannard, B.; Ganev, W.; Queiroz, R.F.",NA,"1992","03","13","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:218673","<a href=http://data.rbge.org.uk/herb/E00205584 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","632079","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","trachylophus","Pilocarpus trachylophus","R. M. Harley","H51598","1992","02","25","South America","Brazil","Bahia","sheet",NA,"Harley in not on the label, but we can assume he is the collector <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632079","Magnoliophyta","Sapindales","Holmes","J. R. Pirani","Abaíra","Mendonça de Daniel Abreu","-41.82","-13.27","940","940","NY00632079_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","632078","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","trachylophus","Pilocarpus trachylophus","R. M. Harley","H51998","1992","03","19","South America","Brazil","Bahia","sheet",NA,"Harley is no on the label, but we can assume he is the collector <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595626' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632078","Magnoliophyta","Sapindales","Holmes","J. R. Pirani","Abaíra","Estrada Catolés-Ribeirao de Baixo-Inúbia, 9-12 km de Catolés","-41.66","-13.25","980","980","NY00632078_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","612624","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","trachylophus","Pilocarpus trachylophus","R. M. Harley","H-51555","1992","02","20","South America","Brazil","Bahia","sheet",NA,"Mat. em álcool. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612624","Magnoliophyta","Sapindales","Holmes","J. R. Pirani","Abaíra","Estrada Catolés-Barra.","-41.66","-13.25","1000","1000","NY00612624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","382280","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","trachylophus","Pilocarpus trachylophus","G. G. Hatschbach","65875","1997","01","17","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382280","Magnoliophyta","Sapindales","Holmes","J. R. Pirani","Caetité","Lagoa do Pato.","-42.47","-14.06",NA,NA,"NY00382280_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1009386","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","trachylophus","Pilocarpus trachylophus","P. Dias","323","2007","02","09","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1746085' target='other'> <mi>dwc_moreinfo</mi></a>","NY01009386","Magnoliophyta","Sapindales","Holmes","P. Dias",NA,"Maniaçu. Estrada Caetité-Paramirim, a 32.7 km de Caetité e 5.3 km do cruzamento para Maniaçu, margem esquerda da estrada, beira da estrada.","-42.37942","-13.79631","967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1551170","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","trachylophus","Pilocarpus trachylophus","L. P. de Queiroz","5795","2000","02","09","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1912493' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551170","Magnoliophyta","Sapindales","Holmes","P. Dias","Bom Jesus da Lapa","Morrão. Ca. 12.5 km NE a partir da estrada Bom Jesus da Lapa - Ibotirama, entrando a ca. 14 km N da Bom Jesus da Lapa.","-43.2261","-13.1383",NA,NA,"NY01551170_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
