"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","infraspecificEpithet","typeStatus","class","dayIdentified","relatedCatalogItem","individualCount","fieldNumber"
"13","2021-03-15 16:37:00-03","NY","NYBG","00864775","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","E. P. Heringer","452","1977","04","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864775","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","T. de S. Filgueiras","Distrito Federal","Brasília","Recor","-47.9294","-15.7797",NA,NA,"NY00864775_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00864763","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","W. R. Anderson","9421","1973","04","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864763","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","G. Davidse","Goiás","Caiapônia","Serra do Caiapó, ca. 30 km (straight line) S of Caiapônia","-51.8167","-17.2167","950","1200","NY00864763_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1173381","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","E. H. G. Ule","7919",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400980' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173381","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé",NA,"Roraima",NA,NA,NA,NA,NA,NA,"NY01173381_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00864769","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","W. J. Burchell","7858","1828","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864769","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé",NA,"Goiás",NA,"As Lajes to Rio Moquém (The only Rio Moquém is a Ribeirao back south at AGS: S 14°03', W48°08', near the town of Moquém (Muquém) of the same latitude and W48°10' longitude. This would mean that he further retraced his steps. There is some question as to whether he did this, whether similar place names further northeast are lost, or whether he got his numbers mixed up and made these stops on the original trek northeast)",NA,NA,NA,NA,"NY00864769_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00864787","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","W. R. Anderson","8286","1973","04","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864787","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","G. Davidse","Goiás","Cristalina","Rio Cristal, 44 km by road SE of Cristalina.","-47.33","-16.88","980","980","NY00864787_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00864768","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","G. Schaller","80","1978","03","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957850' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864768","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","G. Davidse","Mato Grosso",NA,"Pantanal, Rio Paraguai. Fazenda Acurizal",NA,NA,NA,NA,"NY00864768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00864772","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","P. Clausen","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864772","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé",NA,"Minas Gerais",NA,"Minas Geraes",NA,NA,NA,NA,"NY00864772_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00864761","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","H. S. Irwin","17314","1966","06","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864761","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","G. Davidse","Mato Grosso",NA,"Lower slopes of Serra Azul, ca. 75 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.23","-15.28","525","525","NY00864761_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00864803","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","M. A. Chase","12014","1930","04","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957906' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864803","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé",NA,"Mato Grosso",NA,"Between Rondonopolis and Santa Rita do Araguaya",NA,NA,NA,NA,"NY00864803_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-10-28 17:13:00-02","NY","NYBG","00864771","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","A. F. M. Glaziou","22550","1896",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864771","Magnoliophyta","Poales",NA,NA,"Goiás",NA,"Brazil: Chiefly Province of Goyaz",NA,NA,NA,NA,"NY00864771_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1173383","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","P. von Luetzelburg","21002","1927","09",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400932' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173383","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé",NA,NA,NA,"Rio Cotim. Contâ.",NA,NA,NA,NA,"NY01173383_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00864792","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","G. Davidse","12179","1976","04","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957843' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864792","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","G. Davidse","Goiás","Anápolis","18 km SW of Abadiânia along Highway BR-060","-48.9528","-16.3269","940","940","NY00864792_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00864829","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","G. M. Magalhaes","190..","1963","05","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864829","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","T. R. Soderstrom","Minas Gerais",NA,"Ituitaba, Serra dos Patos",NA,NA,NA,NA,"NY00864829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00864827","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","M. Heleno","372-32","1986","04","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864827","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","T. de S. Filgueiras","Goiás","Edéia","Fazenda Paraiso- Local Dª Zinha. Prop. Paulo Peixoto","-49.9314","-17.3383",NA,NA,"NY00864827_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","764190","PreservedSpecimen","Plantae","Poaceae","Paspalum","stellatum","Paspalum stellatum","P. K. H. Dusén","8011","1909","04","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=145358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00764190","Magnoliophyta","Poales","Humb. & Bonpl. ex Flüggé","E. L. Ekman","Paraná",NA,"Capao Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
