"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","typeStatus","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02098681","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","cuspidata","Nectandra cuspidata","Nees & Mart.","H. H. van der Werff","A. M. Amorim","5620","2006","02","09","South America","Brazil","Minas Gerais","Santa Maria do Salto","Divisa entre Bahia e Minas Gerais. Fazenda Duas Barras. Reserva do Alto Cariri. Trilha da Divisa Bahia-Minas Gerais.","-40.0544","-16.4064","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1109374' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098681","NY02098681_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02852774","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","cuspidata","Nectandra cuspidata","Nees & Mart.","H. H. van der Werff","D. da Silva Costa","151","2013","12","07","South America","Brazil","Acre","Mâncio Lima","Estrada do Generoso, Ramal do 20, Chácara Eriton Maia","-72.934467","-7.602561",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2711752' target='other'> <mi>dwc_moreinfo</mi></a>","NY02852774","NY02852774_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02423586","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","cuspidata","Nectandra cuspidata","Nees & Mart.",NA,"M. L. Brotto","697","2011","05","29","South America","Brazil","Paraná","Diamante do Norte","Estação Ecológica do Caiuá","-52.8636","-22.6094","270",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669174' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423586","NY02423586_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","887007","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","cuspidata","Nectandra cuspidata","Nees & Mart.","J. G. Rohwer","J. S. Blanchet","3258","1841",NA,NA,"South America","Brazil","Bahia",NA,"Igreja Velha",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887007","NY00887007_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","459991","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","cuspidata","Nectandra cuspidata","Nees & Mart.","J. G. Rohwer","R. de Lemos Fróes","19993","1942","10",NA,"South America","Brazil","Bahia",NA,"Entre Brejao e Mucugê",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171694' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459991","NY00459991_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01172175","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","cuspidata","Nectandra cuspidata","Nees & Mart.",NA,"K. Kubitzki","79-93","1979","09","03","South America","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1375786' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172175","NY01172175_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01172133","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","cuspidata","Nectandra cuspidata","Nees & Mart.","J. G. Rohwer","N. T. da Silva","57828","1963","10","17","South America","Brazil","Pará",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1375750' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172133","NY01172133_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01172094","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","cuspidata","Nectandra cuspidata","Nees & Mart.","J. G. Rohwer","G. T. Prance","10055","1969","02","18","South America","Brazil","Roraima",NA,"Serra dor Surucucus. South of Mission station. Forest on terra firme, on slopes.","-63.6","2.783333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1375721' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172094","NY01172094_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","865032","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","cuspidata","Nectandra cuspidata","Nees & Mart.","J. G. Rohwer","G. T. Prance","12127","1971","04","19","South America","Brazil","Acre","Mâncio Lima","Slopes of Serra da Moa","-73.73","-7.5",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865032","NY00865032_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01172124","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","cuspidata","Nectandra cuspidata","Nees & Mart.","J. G. Rohwer","E. P. Killip","30505",NA,NA,NA,"South America","Brazil","Pará",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1375756' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172124","NY01172124_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01172121","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","cuspidata","Nectandra cuspidata","Nees & Mart.","H. H. van der Werff","A. Vicentini","941","1995","04","24","South America","Brazil","Amazonas",NA,"Estrada de acesso, próximo a entrada para sítio do Vicente. Margem da estrada.","-59.966667","-2.883333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1303852' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172121","NY01172121_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
