"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","preparationType","class","order","individualCount","sex"
"1","2021-03-30 12:34:58-03","EAO","IAN","60440","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Vauthier","270","Southern America","Brasil","IAN060440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:58-03","EAO","IAN","104607","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Magalhães, MG","3007","Southern America","Brasil","IAN104607","1942","07","25","Minas Gerais","Belo Horizonte","Campo com cascalho, serra do Curral.","-43.937801361084","-19.9207992553711","17082","Arbusto de 1m de altura, flores alvas, muito frequente.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:34:58-03","EAO","IAN","14038","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Magalhães, MG","3007","Southern America","Brasil","IAN014038","1942","07","25","Minas Gerais","Belo Horizonte","Campo com cascalho, serra do Curral.","-43.937801361084","-19.9207992553711","17082","Arbusto de 1m de altura, flores alvas, muito frequente.","auto","IAN014038 IAN014038_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:51-03","UFBA","ALCB","106025","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Roque, N; Quaresma, AS; Franco, IM; Gonçalves, DJP","3088","Southern America","Brasil",NA,"2011","06","26","Minas Gerais","Diamantina","caminho para Sopa, a partir da estrada de Dimantina - Conselheiro Mata","-43.711944","-18.268889",NA,"ca. 50cm alt., folhas concolores. Brácteas involucrais verdes com ápice castanho, corola e estilete alvos, estames castanhos.",NA,NA,"Quaresma, AS","2012","12","03","-43.711944","-18.268889","1431","1431",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:10:51-03","UFBA","ALCB","106046","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Roque, N; Quaresma, AS; Franco, IM; Gonçalves, DJP","3112","Southern America","Brasil",NA,"2011","06","26","Minas Gerais","Gouveia","estrada Barão de Guaicuí","-43.721944","-18.371667",NA,"ca. 1,5m alt. Brácteas involucrais verdes, corola alva, anteras castanhas.",NA,NA,"Quaresma, AS","2012","12","03","-43.721944","-18.371667","1432","1432",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:10:51-03","UFBA","ALCB","106681","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Franco, IM; Araújo, MI; Marques, D; Silva, KR","1040","Southern America","Brasil",NA,"2012","06","27","Minas Gerais","Diamantina","Parque Estadual do Biribiri. Alto da Jacúba, próximo a Casa dos Ventos","-43.608889","-18.142222",NA,"ca. 1,0 m. Invólucro verde. Flores e estiletes alvos. Anteras marrons com estrias nigrescentes.; Área alterada.",NA,NA,"Quaresma, AS","2013","04",NA,"-43.608889","-18.142222","1382","1382",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:01:57-03","ESALQ","ESA","32996","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Souza, V.C.; Capellari Jr., L.; Souza, J.P.; Scalon, V.R.","11571.0",NA,"Brasil","ESA032996","1996","07","03","Minas Gerais","Santana do Riacho","Serra do Cipó. Cerca de 1-2 km acima do Córrego Chapéu de Sol. Campo rupestre.","-43.7144012451172","-19.1688995361328","26557","Arbusto, ca. 50 cm alt.; flores creme.","auto","ESA032996","Oliveira, C.T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:01:57-03","ESALQ","ESA","33646","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Souza, V.C.; Capellari Jr., L.; Souza, J.P.; Scalon, V.R.","11571.0",NA,"Brasil","ESA033646","1996","07","03","Minas Gerais","Santana do Riacho","Serra do Cipó. Cerca de 1-2 km acima do Córrego Chapéu de Sol. Campo rupestre.","-43.7144012451172","-19.1688995361328","26557","Arbusto, ca. 50 cm alt.; flores creme.","auto","ESA033646","Oliveira, C.T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:01:57-03","ESALQ","ESA","73420","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","25169.0",NA,"Brasil","ESA073420","2001","07","05","Minas Gerais","Santana do Riacho","Serra do Cipó. Atalho entre a Pensão Chapéu de Sol e o início da Estrada da Usina. Campo rupestre.","-43.7144012451172","-19.1688995361328","26557","Subarbusto subescandente; flores creme.","auto","ESA073420","Oliveira, C.T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:36:08-03","MN","R","85949","PreservedSpecimen","Plantae",NA,"Asteraceae","Mikania","neurocaula","Mikania neurocaula","DC.","Glaziou, A.F.M.","15130",NA,"Brasil","R000085949","1884","06","25","Minas Gerais",NA,NA,NA,NA,NA,"Plantas do Brasil Central",NA,"R000085949_001","Barroso, G.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:24:46-03","UNICAMP","UEC","120610","S","Plantae","Magnoliopsida","Asteraceae","Mikania","neurocaula","Mikania neurocaula","A.DC.","Semir, J; Belinello, R; Mansanares, ME","01/65",NA,"Brazil","UEC163087","2001","06","19","Minas Gerais",NA,"Estrada Curvelo - Diamantina (BR 259), beira da estrada",NA,NA,NA,"arbusto 90 cm, flores creme",NA,"UEC163087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-10 17:50:39-03","UNICAMP","UEC","138235","S","Plantae","Magnoliopsida","Asteraceae","Mikania","neurocaula","Mikania neurocaula","A.DC.","Costa, IR; Verola, CF","533",NA,"Brazil","UEC121948","2004","10","01","Minas Gerais","Cardeal Mota","Estrada para o Juquinha, Beira de Estrada",NA,NA,NA,"Arbusto, 1,5m. Campo graminoso à direita da estrada",NA,"UEC121948","Oliveira, CT","2015","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:24:46-03","UNICAMP","UEC","111780","S","Plantae","Magnoliopsida","Asteraceae","Mikania","neurocaula","Mikania neurocaula","A.DC.","Nakajima, JN; Romero, R","1741",NA,"Brazil","UEC125781","1996","05","23","Minas Gerais","Delfinópolis","Entrada para a fazenda do Antônio Lopes, Serra Preta.","-46.8539009094238","-20.343900680542","41380","Herbáceo, ca. 0,4m. Brácteas esverdeadas. Corola e papilho creme. Anteras marrom. Estigmas creme.; Campo rupestre .","auto","UEC125781","Nakajima, JN","1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:24:46-03","UNICAMP","UEC","111793","S","Plantae","Magnoliopsida","Asteraceae","Mikania","neurocaula","Mikania neurocaula","A.DC.","Nakajima, JN; Romero, R","360",NA,"Brazil","UEC125782","1994","06","25","Minas Gerais","Sacramento","Próximo a guarita de Sacramento, PARNA Serra da Canastra.","-47.439998626709","-19.8652992248535","69737","Arbusto, ca. 1m. Brácteas esverdeadas. Papilho, corola e estilete creme. Flor com odor de mel.; Campo rupestre.","auto","UEC125782","Nakajima, JN","1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
