"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","individualCount","relatedCatalogItem","typeStatus","sex","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","512416","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","auriculata","Acianthera auriculata","(Lindl.) Pridgeon & M.W.Chase","F. C. Hoehne","23162","1928","10","24","South America","Brazil","Santa Catarina","Corupá","Hansa","-49.2431","-26.4256","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512416","NY00512416_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","512404","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","auriculata","Acianthera auriculata","(Lindl.) Pridgeon & M.W.Chase","R. P. Belém","3423","1967","02","20","South America","Brazil","Bahia","Ilhéus","Ilheus, Centro de Pesquisa do Cacau - CEPEC","-39.2273659","-14.771874","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=151928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512404","NY00512404_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","512417","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","auriculata","Acianthera auriculata","(Lindl.) Pridgeon & M.W.Chase","G. G. Hatschbach","1713","1950","01","08","South America","Brazil","Paraná","Sao José dos Pinhais","Garuva","-49.2064","-25.5347","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512417","NY00512417_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:46:43-03","NBC","NL-BOTANY","U.1461490","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Pleurothallis","compressiflora","Pleurothallis compressiflora","Barb.Rodr.","Lindeman JC; Haas JH de",NA,"1966","01","04","Southern America","Brazil",NA,NA,"Flora Brasiliae australis. Hab. Est. Parana in rain forest on atlantic slope of Pico de Marumbi near Usina Eletrica, in Serra do Mar.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1461490 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1461490","NL-U1461490","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:40:42-03","MN","R","235243","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","auriculata","Acianthera auriculata","(Lindl.) Pridgeon & M.W. Chase","Couto, D.R.","3266","2016","02","01",NA,"Brasil","Espirito Santo","Mimoso do Sul","Pedra dos Pontões","-41.3664016723633","-21.0641994476318",NA,NA,"R010057258",NA,NA,"29430","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:13-03","MN","R","43913","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","compressiflora","Pleurothallis compressiflora","Barb. Rodr.",NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoehne, F.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:41:13-03","MN","R","43915","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","compressiflora","Pleurothallis compressiflora","Barb. Rodr.","Diogo, J.C.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoehne, F.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:41:13-03","MN","R","24829","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","compressiflora","Pleurothallis compressiflora","Barb. Rodr.","Brade, A.C.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,"38539","auto","Pabst, G.F.J.","1959","11","15","1100","1100",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:41:13-03","MN","R","36289","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","compressiflora","Pleurothallis compressiflora","Barb. Rodr.",NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,"Gabinete de Botânica da Escola Politécnica",NA,NA,NA,"38539","auto","Pabst, G.F.J.","1959","11","22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:41:13-03","MN","R","43914","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","compressiflora","Pleurothallis compressiflora","Barb. Rodr.","Hetschko",NA,NA,NA,NA,NA,"Brasil","Santa Catarina","Blumenau",NA,"-49.0661010742188","-26.9193992614746",NA,NA,NA,NA,NA,"34291","auto","Hoehne, F.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
