"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","continentOcean","country","occurrenceRemarks","barcode","phylum","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode"
"1","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0104033","PreservedSpecimen","Plantae","Magnoliopsidae","Caryophyllales","Cactaceae","Frailea","phaeodisca","Frailea phaeodisca","(Speg.) Backeb. & F.M.Knuth","Horst L","Southern America","Brazil","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200104033 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0104033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-07 09:18:39-03","UEFS","HUEFS","104847","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","phaeodisca","Frailea phaeodisca","(Speg.) Speg.","Machado, M.",NA,"Brasil",NA,"HUEFS0104847","Angiospermae","520","2005","11","06","Rio Grande do Sul","Caçapava do Sul","cerca de 15 km na estrada para Minas do Camaquã, contados a partir do entroncamento com a BR-153. Afloramento de arenito ao sul da estrada.","-53.497778","-30.861944","53W29'52''","30S51'43''","269","269","HUEFS0104847"
"3","2019-10-07 09:18:39-03","UEFS","HUEFS","105034","PreservedSpecimen","Plantae","Caryophyllanae","Caryophyllales","Cactaceae","Frailea","phaeodisca","Frailea phaeodisca","(Speg.) Speg.","Machado, M.",NA,"Brasil",NA,"HUEFS0105034","Angiospermae","708","2005","12","06","Rio Grande do Sul","Santana do Livramento","BR-293 de Santana do Livramento em direção a Quaraí, ca. 52.5 km da entrada oeste de Santana do Livramento (57.2 km da entrada leste de Santana do Livramento), afloramentos de granito ao sul da estrada.","-55.9825","-30.602778","55W58'57''","30S36'10''","205","205","HUEFS0105034"
