"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","typeStatus","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","02282388","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","hatschbachii","Heteropterys hatschbachii","W.R.Anderson","W. R. Anderson","W. R. Anderson","11257","1975","02","08","South America","Brazil","Mato Grosso do Sul","Rio Verde de Mato Grosso","Salto das Sete Quedas on the Rio Verde, ca. 15 km SW of Rio Verde","-54.9674","-19.02192","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2262052' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:38:36-03","UFJF","CESJ","38355","PreservedSpecimen","Plantae","Angiosperma",NA,"Malpighiaceae","Heteropterys","hatschbachii","Heteropterys hatschbachii","W.R. Anderson","W.R. Anderson","G. Hatschbach","37651","1975","11","16","América do Sul","Brasil","Mato Grosso","Chapa dos Guimarães","Rio Cachoeirinha",NA,NA,NA,"Arbusto 2m, flor amarela. Cerrado de solo rochoso.&nf;PARATYPUS","CESJ038355","Paratypus","CESJ038355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-07 11:45:40-03","UFMS","CGMS","49533","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","hatschbachii","Heteropterys hatschbachii","W.R.Anderson","A. Francener","A. Francener; C.F. Hall; V. Leobina; G.O. Silva","1184","2012","10","24",NA,"Brasil","Mato Grosso do Sul","Rio Verde de Mato Grosso","Sete Quedas, no balneário.","-54.9016667","-18.9369444",NA,"Fruto imaturo verde e maduro pardo. Folhas subcoriáceas discolores. Habitat: Heliófila sob rochas. Habito: Arbusto. 1,5m de altura.","CGMS1079465",NA,NA,"2012","10","24","-54,9016667","-18,9369444","350","350",NA,NA,NA,NA
"4","2021-04-07 11:45:40-03","UFMS","CGMS","58288","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","hatschbachii","Heteropterys hatschbachii","W.R.Anderson","W.R. Anderson","G. Hatschbach","37549","1975","11","14",NA,"Brasil","Mato Grosso","Chapada dos Guimarães","Portão do Inferno.","-55.749698638916","-15.460599899292",NA,"Flor amarela. Habitat: Dos paredões rochosos. Habito: Arbusto. 1,50 m de altura.","CGMS001021","PARATYPUS",NA,NA,NA,NA,NA,NA,NA,NA,"107042","auto",NA,NA
"5","2020-12-21 16:32:47-03","MBM","MBM","35575","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","hatschbachii","Heteropterys hatschbachii","W.R.Anderson","Anderson, W.R.","Anderson, W.R.; Hatschbach, G.; Barneby, R.C.; Gates, B.E.; Hatschbach, G.; Barneby, R.C.; Gates, B.E.","11257","1975","02","08","Southern America","Brazil","Mato Grosso do Sul","Rio Verde do Mato Grosso","Salto das Sete Quedas, On the Rio Verde, ca 15 km SW of Rio Verde",NA,NA,NA,"Shurubby vegetation on sandstone rocks, with sandy soil. Large, very woody shrub (or bushy tree) 3-4 m tall; petals bright yellow; Large, very woody shrub (or bushy tree) 3-4m tall; petals bright yellow.; Shrubby vegetation on sandst","MBM035575","HOLOTYPE","MBM035575","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:32:47-03","MBM","MBM","272737","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","hatschbachii","Heteropterys hatschbachii","W.R.Anderson",NA,"Hatschbach, G.","37651","1975","11","16","Southern America","Brazil","Mato Grosso","Chapada dos Guimarães","Rio Cachoeirinha","-55.749698638916","-15.460599899292",NA,"Arbusto 2m, flor amarela. Cerrado de solo rochoso; Arbusto 2m, flor amarela.; Cerrado de solo rochoso.","MBM272737","PARATYPE","MBM272737",NA,NA,NA,NA,NA,NA,NA,"107042","auto",NA,NA
"7","2020-12-21 16:32:47-03","MBM","MBM","38550","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","hatschbachii","Heteropterys hatschbachii","W.R.Anderson",NA,"Hatschbach, G.","37549","1975","11","14","Southern America","Brazil","Mato Grosso","Chapada dos Guimarães","Portal do Inferno","-55.749698638916","-15.460599899292",NA,"Arbusto, 1,50m, flor amarela. Paredões rochosos; Arbusto 1,50m, flor amarela.; Paredões rochosos.","MBM038550","PARATYPE","MBM038550",NA,NA,NA,NA,NA,NA,NA,"107042","auto",NA,NA
"8","2020-12-11 11:37:38-03","UFMG","BHCB","71125","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Heteropterys","hatschbachii","Heteropterys hatschbachii","W.R.Anderson",NA,"Hatschbach, G","37549","1975","11","14","Southern America","Brasil","Mato Grosso","Chapada dos Guimarães","Portão do Inferno","-55.749698638916","-15.460599899292",NA,"Arbusto, 1,5m, flor amarela.; Dos paredões rochosos.","BHCB000203","Isotypus","BHCB000203",NA,NA,NA,NA,NA,NA,NA,"107042","auto",NA,NA
"9","2020-12-11 11:37:38-03","UFMG","BHCB","70654","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Heteropterys","hatschbachii","Heteropterys hatschbachii","W.R.Anderson",NA,"Hatschbach, G","37651","1975","11","16","Southern America","Brasil","Mato Grosso","Chapada dos Guimarães","Rio Cachoeirinha","-55.749698638916","-15.460599899292",NA,"Arbusto 2m, flor amarela.; Cerrado de solo rochoso","BHCB000202","Paratypus","BHCB000202 BHCB000202_01",NA,NA,NA,NA,NA,NA,NA,"107042","auto",NA,NA
"10","2015-05-27 08:13:00-03","MO","MOBOT","100818364","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","hatschbachii","Heteropterys hatschbachii","W.R. Anderson","W.R. Anderson","William R. Anderson","Anderson 11257","1975","2","8","South America","Brazil","Mato Grosso",NA,"Mun. Rio Verde: Salto das Sete Quedas on the Rio Verde, ca. 15 km SW of Rio Verde.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
