"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:37-03","UNESC","CRI","1510","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","R. R. Negrelle","R. Negrelle","1992","03","11","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI003685","CRI003685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:37-03","UNESC","CRI","7083","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez",NA,"C. Poli; F. Silva Filho","2001","12","11","Brasil","Santa Catarina","Ipuaçu",NA,"-52.453611","-26.634722","52º27'13''W","26º38'5''S",NA,NA,NA,"CRI003694","CRI003694","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:37-03","UNESC","CRI","6103","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Vanilde Citadini- Zanette","Vanilde Citadini Zanette","1996","03","21","Brasil","Santa Catarina","Imbituba","Lot. Rosa Norte.","-48.670556","-28.240556","48º40'14''W","28º14'26''S","38","38",NA,"CRI003738","CRI003738","2459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:37-03","UNESC","CRI","8931","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Ronaldo dos Santos Junior","Ronaldo dos Santos Junior","2011","07","15","Brasil","Rio Grande do Sul","Terra de Areia","Interior da Mata , Norte da Lagos dos Quadros.","-50.071111","-29.585833","50º4'16''W","29º35'9''S","14","14","Floresta Paludosa","CRI003639","CRI003639",NA,"2011","07","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:37-03","UNESC","CRI","1252","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Vanilde Citadini- Zanette","V. Citadini-Zanette; et al.","1992","07","31","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Floresta Ombrófila Densa Habitat: beira da trilha Habito: árvore","CRI003687","CRI003687","1496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:37-03","UNESC","CRI","8452","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Vanilde Citadini-Zanette","Régis Cardoso da Silva","2009",NA,NA,"Brasil","Rio Grande do Sul","Torres",NA,"-49.793056","-29.356667","49º47'35''W","29º21'24''S",NA,NA,NA,"CRI003691","CRI003691",NA,"2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:37-03","UNESC","CRI","4767","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Daniel B. Falkenberg","Robson dos Santos","1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24",NA,"CRI003737","CRI003737","211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:37-03","UNESC","CRI","15311","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Aline Votri Guislon","Aline V. Guislon; Bruna Ghislandi","2020","08","20","Brasil","Santa Catarina","Içara","Beira da BR 101.","-49.251111","-28.739444","49º15'4''W","28º44'22''S","18","18","Folhas cartáceas. Fruto carnoso indeiscente, verdes e imaturos. Habito: Arbóreo","CRI014728",NA,NA,"2020","08","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:25-03","UNESC","CRI","14807","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Schwirkowski, P.","Schwirkowski, P.","2019","01","10","Brasil","Santa Catarina","Campo Alegre","Centro. Cascata paraíso.","-49.258333","-26.200556","49º15'30''W","26º12'2''S","950","950","Heliófita. Cálice castanho, corola rosada Habito: Arbóreo","CRI014132","CRI014132",NA,"2019","01","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:25-03","UNESC","CRI","7940","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Vanilde Citadini- Zanette","Beatriz Wessler; Bruna Alberton","2007","09","06","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","46","46",NA,"CRI003732","CRI003732",NA,"2007","09","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:25-03","UNESC","CRI","9646","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","A. A. de Oliveira","A. Korte; A. Kniess","2010","02","05","Brasil","Santa Catarina","Santa Terezinha","Nova Esperança.","-49.950556","-26.730278","49º57'2''W","26º43'49''S","535","535","Ecótono Floresta Ombrófila Densa e Floresta Ombrófila Mista Habitat: interior do fragmento Habito: arbórea","CRI003700","CRI003700","1765","2010","03","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:37-03","UNESC","CRI","1518","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","R. R. Negrelle","R. R. B. Negrelle; et al.","1992","08","27","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: árvore","CRI003735","CRI003735","365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:25-03","UNESC","CRI","5162","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Vanilde Citadini- Zanette","V. Citadini-Zanette; T. Ike & T. Komatsubara","1996","11","07","Brasil","Santa Catarina","Capivari de Baixo","Estiva dos Pregos.","-48.958056","-28.445278","48º57'29''W","28º26'43''S","300","300",NA,"CRI003739","CRI003739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:25-03","UNESC","CRI","9650","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","A. Stival-Santos","A. Stival-Santos; E. Legal & S. Silveira","2010","03","13","Brasil","Santa Catarina","Florianópolis","Entorno da Estação Ecológica de Carijós, próximo ao acesso a Praia da Daniela.","-48.493056","-27.463056","48º29'35''W","27º27'47''S","4","4","Restinga Habitat: beira da praia Habito: arvoreta","CRI003698","CRI003698","1904","2010","04","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:25:25-03","UNESC","CRI","9715","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","M. Verdi","M. Verdi; B.Grosh & G. Klemz","2008","12","15","Brasil",NA,"Brasil","Fazenda Gateados.","-50.849722","-28.035","50º50'59''W","28º2'6''S","845","845","Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista","CRI003729","CRI003729","1279","2008","12","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:33:37-03","UNESC","CRI","8611","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Marcos Sobral","Clair Maria Martinello","2001","04","20","Brasil","Santa Catarina","Criciúma",NA,"-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,NA,"CRI003702","CRI003702",NA,"2001","04","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:33:37-03","UNESC","CRI","4742","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Vanilde Citadini- Zanette","Vanilde Citadini Zanette; Jucelia C. Caetano","1996","03","02","Brasil","Santa Catarina","Governador Celso Ramos","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24",NA,"CRI003736","CRI003736","2040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:33:37-03","UNESC","CRI","1517","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","R. Negrelle","R. R. B. Negrelle","1992","10","12","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9",NA,"CRI003734","CRI003734","474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:33:37-03","UNESC","CRI","3732","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Marcos Sobral","V. Boff","1995","06","27","Brasil","Santa Catarina","Imbituba","Lot. Henrique Lage.","-48.670556","-28.240556","48º40'14''W","28º14'26''S","38","38","Habitat: dunas fixas Habito: árvore","CRI003693","CRI003693","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:33:37-03","UNESC","CRI","1271","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Marcos Sobral","Jairo José Zocche","1992","07","14","Brasil","Santa Catarina","Forquilhinha","Parque Ecológico.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","28","28",NA,"CRI003690","CRI003690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:25:25-03","UNESC","CRI","9444","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","A. Stival-Santos","A. Stival-Santos; H. F. Uller & Simone Silveira","2008","12","12","Brasil","Santa Catarina","Anita Garibaldi","Pinheirinho.","-51.028611","-27.7175","51º1'43''W","27º43'3''S","820","820","Floresta Ombrófila Mista Habitat: interior da mata","CRI003697","CRI003697","260","2008","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 14:25:25-03","UNESC","CRI","11368","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Brotto, M. L.","Brotto M. L.","2009","05","12","Brasil","Paraná","Pontal do Paraná",NA,"-48.475833","-25.696944","48º28'33''W","25º41'49''S",NA,NA,"Restinga Habito: arbusto","CRI003637","CRI003637","312","2009","05","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-04-05 14:33:37-03","UNESC","CRI","3277","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","M. Sobral","R. Negrelle","1992","07","30","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.6175","-26.071111","48º37'3''W","26º4'16''S",NA,NA,"Habito: Arbóreo","CRI010195",NA,NA,"1992","07","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-04-05 14:33:37-03","UNESC","CRI","10466","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez",NA,"Valdemar Boff","1999","04","14","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Restinga","CRI003692","CRI003692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-04-05 14:25:25-03","UNESC","CRI","6179","PreservedSpecimen","Plantae","Lauraceae","Ocotea","pulchella","Ocotea pulchella","(Nees & Mart.) Mez","Vanilde Citadini- Zanette","Valdemar Boff; Vanilde Citadini Zanette","1996","05","08","Brasil","Santa Catarina","Araranguá",NA,"-49.486111","-28.935278","49º29'10''W","28º56'7''S","13","13",NA,"CRI003688","CRI003688","505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
