"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","585585","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","globosa","Lymania globosa","Leme","H. E. Luther","F. S. Juchum","12","2000","01","07","South America","Brazil","Bahia","Itacaré","Rod. Itacaré/Ilhéus, ca. 8 km de Itacaré, viscinal a direita","-38.9967","-14.2778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585585","NY00585585_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376829","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","globosa","Lymania globosa","Leme","E. M. C. Leme","W. W. Thomas","10714","1994","09","28","South America","Brazil","Bahia","Ilhéus","2.0 km. NNE of Banco da Vitoria on road leading to W edge of Mata da Esperança.","-39.0911","-14.7772","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376829","NY00376829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00750013","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","globosa","Lymania globosa","Leme","E. M. C. Leme","A. M. Amorim","906","1992","12","14","South America","Brazil","Bahia","Itacaré","Estrada Itacaré-taboquinhas, ca. de 6 km de Itacaré. Loteamento da marambaia","-39.026455","-14.310972","fluid-preserved","Sheet not found in Herbarium <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","538467","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Lymania","globosa","Lymania globosa","Leme","E. M. C. Leme","W. W. Thomas","10714","1994","09","28","South America","Brazil","Bahia","Ilhéus","2.0 km. NNE of Banco da Vitoria on road leading to W edge of Mata da Esperança.","-39.0911","-14.7772","fluid-preserved","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463225' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:40-03","UFRJ","RFA","32401","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","globosa","Lymania globosa","Leme","L. O. F. de Sousa","E. M. C. Leme; et al.","2989",NA,NA,NA,NA,"Brasil","Bahia","Bahia","Floresceu em cultivo em 22/07/2004. Material do Marie Selby Garden número 1996-0659A. Road Itacaré to Serra Grande",NA,NA,NA,NA,"RFA52201",NA,"2004","08","06","100","100",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:27:36-03","UFBA","ALCB","78910","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Lymania","globosa","Lymania globosa","Leme","Sousa, LOF de","Valadão, RM; Guedes, ML","719","2007","07","14","Southern America","Brasil","Bahia","Ituberá/Grapiúna","Litoral Sul, Fragmento do Pacangê",NA,NA,NA,"epífita. Folhas rosuladas, semicrassas, com a margem levemente cerrilhadas. Frutos imaturos verdes.; Arbórea.","ALCB011545","ALCB011545","2008","10","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:19:25-03","MBM","MBM","187138","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","globosa","Lymania globosa","Leme","Leme, E.M.C.","Thomas, W.W.; et al.; et al.","10714","1994","09","28","Southern America","Brazil","Bahia","Ilhéus","Ca. 2km NNE do Banco de Vitória","-39.0494003295898","-14.7889003753662",NA,NA,"MBM187138","MBM187138",NA,NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA
"8","2019-08-15 09:04:27-03","UESC","UESC","11837","S","Plantae","Angiospermae","Florideophycidae","Bromeliaceae","Lymania","globosa","Lymania globosa","Leme",NA,"Fontoura, T.","471","2005","10","15",NA,"Brasil","Bahia","Ibicaraí",NA,"-39.5875015258789","-14.8649997711182",NA,"Mata Higrófila de Transição p/ Semicaducifólia.; Erva hemi-epífita com estolões no solo e sobre os troncos das árvores.","UESC0011837",NA,"2009","08",NA,"800","800","12897","auto","Monocotyledoneae",NA,NA,NA,NA,NA
"9","2021-03-04 11:04:09-03","UFRB","HURB","25960","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","globosa","Lymania globosa","Leme","E.H.Souza","Souza, E.H.; Cavalcante, B.P.","258","2019","11","01",NA,"Brasil","Bahia","Ilhéus","Mata da Esperança; 2km ao NNE do Banco da Vitória, Rod. Ao W da Mata","-39.09125","-14.777194",NA,"planta epífita, folhas verdes lustrosas, inflorescência verde com flores brancas.","HURB000025960","HURB000025960",NA,NA,NA,NA,NA,NA,NA,NA,"39º05'28,5W","14º46'37,9S",NA,NA,NA
"10","2021-03-04 11:04:41-03","UFRB","HURB","25392","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","globosa","Lymania globosa","Leme",NA,"Aona, L.Y.S.; Costa, G.; Souza, E.H.; Vitório, C.D.P & Fonseca, W.O.","5338","2019","03","20",NA,"Brasil","Bahia","Ilhéus",NA,"-39.0494003295898","-14.7889003753662",NA,"PM 68; PM 69","HURB000025392","HURB000025392",NA,NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA
