"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","infraspecificEpithet","individualCount","class"
"1","2016-10-19 09:55:00-02","NY","NYBG","405377","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","alpestris","Myrcia alpestris","syntype","E. Hassler","4962","1900","10","South America","Paraguay","Iter ad Yerbales, montium Sierra de Maracayu; In altoplanitie et decliviis Sierra de Maracayu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405377","NY00405377_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-19 09:55:00-02","NY","NYBG","405378","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","alpestris","Myrcia alpestris","syntype","E. Hassler","4962","1900","10","South America","Paraguay","Iter ad Yerbales, montium Sierra de Maracayu; In altoplanitie et decliviis Sierra de Maracayu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405378","NY00405378_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-19 09:55:00-02","NY","NYBG","405376","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","alpestris","Myrcia alpestris","syntype","E. Hassler","5628","1900","12","South America","Paraguay","Iter ad Yerbales, montium Sierra de Maracayu; In regione vicine Igatimi","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405376","NY00405376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-19 09:42:00-02","NY","NYBG","710036","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","anomala","Myrcia anomala",NA,"D. C. Daly","6323","1989","11","South America","Bolivia","Serranía de Santiago, near Santiago de Chiquitos. 1-3 km SW of Santiago, trail to Cachuela","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=888132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00710036",NA,"B. K. Holst","22","Santa Cruz","Chiquitos","-59.63","-18.35","700","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00906972","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","anomala","Myrcia anomala",NA,"J. A. Ratter","R5971","1987","11","South America","Brazil","Santa Cruz, Serra de Urucum, nr Corumbá. On the top of Santa Cruz close to the EMBRATEL relay station","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906972","NY00906972_01",NA,"17","Mato Grosso do Sul",NA,"-57.55","-19.13",NA,NA,"Cambess.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1522657","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","anomala","Myrcia anomala",NA,"P. K. H. Dusén","9071","1910","01","South America","Brazil","Capão Grande, in cmapo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776438' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522657","NY01522657_01",NA,"23","Paraná",NA,NA,NA,NA,NA,"Cambess.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-10-21 21:17:00-02","NY","NYBG","405419","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","cotonosa","Myrcia cotonosa","syntype","E. Hassler","6718","1900","12","South America","Paraguay","Cordillera centralis; in regione cursus superioris fluminis Y- acá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405419","NY00405419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-21 21:17:00-02","NY","NYBG","405416","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","cotonosa","Myrcia cotonosa","syntype","E. Hassler","3742",NA,NA,"South America","Paraguay","In campo Cordillera de Altos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441529' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405416","NY00405416_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-21 21:17:00-02","NY","NYBG","405417","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","cotonosa","Myrcia cotonosa","syntype","E. Hassler","7011","1900","01","South America","Paraguay","Cordillera centralis; in regione cursus superioris fluminis Y- acá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405417","NY00405417_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-10-21 21:17:00-02","NY","NYBG","405415","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","cotonosa","Myrcia cotonosa","syntype","E. Hassler","6819","1900","12","South America","Paraguay","Cordillera Centralis; in regione cursus superioris fluminis Y-acá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405415","NY00405415_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
