"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","stateProvince","county","coordinatePrecision","imagecode","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","dayIdentified","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","227570","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","durifructum","Chrysophyllum durifructum","(W.A.Rodrigues) T.D.Penn.","T. D. Pennington","S. A. Mori","24828","1998","07","04","South America","French Guiana","Saül and vicinity. Sentier Botanique, 1500-2500 m from entrance to trail at Eaux Claires, on the right branch of the trail.","-53.2","3.62","200","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00227570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-20 13:41:41-03","INPA","INPA-CARPOTECA","27957","Carpo","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Achrouteria","durifructa","Achrouteria durifructa","W.A.Rodrigues","Rodrigues, WA","Rodrigues, WA","8783","1970","03","19","Southern America","Brasil","BR174, Km 27, Estrada Manaus-Caracaraí, km 27, picada ao lado direito","-60.0250015258789","-3.10193991661072",NA,NA,NA,NA,"INPA0027957","Amazonas","Manaus","138090","INPA0027957 INPA0027957_1 INPA0027957_1e INPA0027957_1e1 INPA0027957_2 INPA0027957_2e INPA0027957_3 INPA0027957_3e INPA0027957_4 INPA0027957_4e INPA0027957_5 INPA0027957_5e INPA0027957_6 INPA0027957_e","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:44:45-03","MBM","MBM","108701","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","durifructum","Chrysophyllum durifructum","(W.A.Rodrigues) T.D.Penn.","Völtz, R.R.","Freitas, C.A.A.","111","1983","02","14","Southern America","Brazil","Estrada Porto Velho-Cuiabá, BR-364, no Km 283 linha 28 a 3 km a dentro",NA,NA,NA,NA,NA,"Árvore de 10m de altura x 50cm de diâmetro; frutos maduros amarelos; semente com endosperma.; Mata de terra firme, solo argiloso.","MBM108701","Rondônia",NA,NA,"MBM108701",NA,"2018","08",NA,NA,NA,NA,NA,NA
"4","2021-01-10 20:43:04-03","INPA","INPA","27957","Carpo","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Achrouteria","durifructa","Achrouteria durifructa","W.A.Rodrigues","Rodrigues, WA","Rodrigues, WA","8783","1970","03","19","Southern America","Brasil","BR174, Km 27, Estrada Manaus-Caracaraí, km 27, picada ao lado direito","-59.966667","-2.883333",NA,NA,NA,NA,"INPA0027957","Amazonas","Manaus",NA,"INPA0027957 INPA0027957_1 INPA0027957_1e INPA0027957_1e1 INPA0027957_2 INPA0027957_2e INPA0027957_3 INPA0027957_3e INPA0027957_4 INPA0027957_4e INPA0027957_5 INPA0027957_5e INPA0027957_6 INPA0027957_e",NA,NA,NA,"-59.966667","-2.883333",NA,NA,NA,NA
"5","2020-08-31 08:54:21-03","INPA","INPA","27957","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Achrouteria","durifructa","Achrouteria durifructa","W.A.Rodrigues","Rodrigues, WA","Rodrigues, WA","8783","1970","03","19","Southern America","Brasil","BR174, Km 27, Estrada Manaus-Caracaraí, km 27, picada ao lado direito","-59.966667","-2.883333",NA,NA,NA,NA,"INPA0027957","Amazonas","Manaus",NA,"INPA0027957 INPA0027957_1 INPA0027957_1e INPA0027957_1e1 INPA0027957_2 INPA0027957_2e INPA0027957_3 INPA0027957_3e INPA0027957_4 INPA0027957_4e INPA0027957_5 INPA0027957_5e INPA0027957_6 INPA0027957_e",NA,NA,NA,"-59.966667","-2.883333","holotype",NA,NA,NA
"6","2021-01-10 20:43:04-03","INPA","INPA","111118","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Chrysophyllum","durifructum","Chrysophyllum durifructum","(W.A.Rodrigues) T.D.Penn.",NA,"Freitas, CAA de","111","1983","02","14","Southern America","Brasil","BR 364 Km 283, Estrada Porto Velho-Cuiabá, BR-364, km 283, linha 28, a 3 km pra dentro.","-62.45","-10.55",NA,NA,NA,NA,"INPA0111118","Rondônia","Porto Velho",NA,"INPA0111118 INPA0111118_e INPA0111118_e1",NA,NA,NA,"-62.45","-10.55",NA,NA,NA,NA
"7","2020-08-31 08:54:23-03","INPA","INPA","276671","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Chrysophyllum","durifructum","Chrysophyllum durifructum","(W.A.Rodrigues) T.D.Penn.","Vasconcelos, CC","Vasconcelos, CC","154","2017","02","24","Southern America","Brasil","Campus I do INPA, Campus sede, próximo ao prédio da Botânica árvore s/n","-60.654681","-3.164994","68","68",NA,NA,"INPA0276671","Amazonas","Manaus",NA,NA,NA,"2017","02","-60.654681","-3.164994",NA,"24",NA,NA
"8","2020-08-31 08:54:23-03","INPA","INPA","276672","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Chrysophyllum","durifructum","Chrysophyllum durifructum","(W.A.Rodrigues) T.D.Penn.","Vasconcelos, CC","Vasconcelos, CC","153","2017","02","24","Southern America","Brasil","Campus I do INPA, Campus sede, próximo ao prédio da Botânica árvore s/n","-60.653458","-3.164172","104","104",NA,NA,"INPA0276672","Amazonas","Manaus",NA,NA,NA,"2017","02","-60.653458","-3.164172",NA,"24",NA,NA
"9","2020-09-12 05:00:02-03","US","US","3646707","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Chrysophyllum","durifructum","Chrysophyllum durifructum",NA,"Sabatier, D.","D. Sabatier & J. Molino","5706","1910","3","17","South America - Neotropics","French Guiana","Mont Itoupé - Sommet Tabulaire, Point-quardrat Itoupé 6","-53.08","3.02","800",NA,NA,NA,"US01122541",NA,NA,NA,"US01122541_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"10","2009-11-26 13:56:10-02","INPA","INPAW","4104","S","Plantae",NA,NA,"Sapotaceae","Achrouteria","durifructa","Achrouteria durifructa","W.A. Rodrigues","W.A. Rodrigues","Rodrigues, W.A.","8783","1970","03","19",NA,"Brasil",NA,"-60.025","-3.10194",NA,NA,NA,NA,NA,"Amazonas","Manaus","138090",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2009-11-26 13:56:10-02","INPA","INPAW","8295","S","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","durifructum","Chrysophyllum durifructum","(W.A. Rodrigues) T.D. Penn.",NA,"Freitas, C.A.A.","111","1983","02","14",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"Rond&#244;nia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
