"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","fieldNumber","preparationType","barcode","imagecode","continentOcean","minimumElevationInMeters","phylum","class","typeStatus","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2020-03-12 10:29:17-03","UFOP","OUPR","34145","PreservedSpecimen","Plantae","Lauraceae","Persea","pedunculosa","Persea pedunculosa","Meisn.","Pedrosa, L.G.","2019","05","12","Pedrosa, L.G.","1621","2019","05","12","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi","-43.5080986022949","-20.2875003814697","44599","Arbusto, 2m. Flores creme. Frutos verdes imaturos. Capoeira.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-06 09:56:02-03","UFOP","OUPR","30830","PreservedSpecimen","Plantae","Lauraceae","Persea","pedunculosa","Persea pedunculosa","Meisn.","Pedrosa, L.G.","2018","11","20","Pedrosa, L.G.","5","2018","02","03","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi","-43.5080986022949","-20.2875003814697","44599","Transição entre mata e cerrado.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-04-28 14:27:02-03","MNHN","RECOLNAT_MNHN_P","P00752501","PreservedSpecimen",NA,"Lauraceae","Persea","pedunculosa","Persea pedunculosa","Meisn.","Kopp",NA,NA,NA,"Claussen, P.",NA,"1841",NA,NA,"Brésil",NA,NA,"Minas Geraës",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00752501' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"50","hb","P00752501","P00752501_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-03 19:06:42-03","MNHN","RECOLNAT_MNHN_P","P01752116","PreservedSpecimen",NA,"Lauraceae","Persea","pedunculosa","Persea pedunculosa","Meisn.",NA,NA,NA,NA,"Glaziou, A.",NA,"1884","2","9","Brésil",NA,NA,"(Minas) Itacolumy",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01752116' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"15369","hb","P01752116","P01752116_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-03 19:06:42-03","MNHN","RECOLNAT_MNHN_P","P01752117","PreservedSpecimen",NA,"Lauraceae","Persea","pedunculosa","Persea pedunculosa","Meisn.",NA,NA,NA,NA,"Claussen, P.",NA,"1841",NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01752117' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1782","hb","P01752117","P01752117_01",NA,NA,NA,NA,NA,NA,NA,NA
"6","2014-01-06 13:04:00-02","MO","MOBOT","1901165","PreservedSpecimen","Plantae","Lauraceae","Persea","pedunculosa","Persea pedunculosa","Meisn.","H. van der Werff (MO)",NA,NA,NA,"M.F. de Vasconcelos","Vasconcelos s.n.","1998","1","8","Brazil","Minas Gerais",NA,"Campo rupestre. Hábitus: Arbustivo. Serra do Curral, Belo Horizonte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"7","2020-03-29 04:36:00-03","MO","MOBOT","1901166","PreservedSpecimen","Plantae","Lauraceae","Persea","pedunculosa","Persea pedunculosa","Meisn.","H. van der Werff (MO)",NA,NA,NA,"Maria M. Arbo|Nanuza Luiza de Menezes|Aurelio Schinini|M.T.V.A. Campos","Arbo 5147","1991","2","15","Brazil","Minas Gerais",NA,"20-24 km SE de Diamantina, camino a Milho Verde. Mata.","-43.53333","-18.36666",NA,NA,NA,NA,NA,NA,NA,"South America","1000.00000000",NA,NA,NA,NA,NA,NA
"8","2011-07-25 13:22:00-03","MO","MOBOT","1901167","PreservedSpecimen","Plantae","Lauraceae","Persea","pedunculosa","Persea pedunculosa","Meisn.",NA,NA,NA,NA,"Léonidas Damazio","Damazio s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,"Itacolomi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"9","2011-02-28 15:25:00-03","MO","MOBOT","1901168","PreservedSpecimen","Plantae","Lauraceae","Persea","pedunculosa","Persea pedunculosa","Meisn.",NA,NA,NA,NA,"Peter W. Lund","Lund 1939","1835","1",NA,"Brazil",NA,NA,"Monte Itacolumi, prope Ouro-preto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"10","2011-02-28 15:25:00-03","MO","MOBOT","1901169","PreservedSpecimen","Plantae","Lauraceae","Persea","pedunculosa","Persea pedunculosa","Meisn.","H. van der Werff (MO)",NA,NA,NA,"Peter W. Lund","Lund 360","1835",NA,NA,"Brazil",NA,NA,"In serra de Itacolumi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
