"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","individualCount","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber"
"1","2021-04-05 14:34:00-03","UNESC","CRI","6370","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","ruprechtianum","Piptochaetium ruprechtianum","Desv.","J. C. Sacco","José de Costa Sacco; L. R. Parodi","1954","11","17","Brasil","Rio Grande do Sul","Pelotas","-52.3375","-31.765278","52º20'15''W","31º45'55''S","CRI007059","CRI007059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","772772","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","ruprechtianum","Piptochaetium ruprechtianum","Desv.","L. B. Smith","L. B. Smith","1971","12","20","Brazil","Santa Catarina","Lajes","-50.3258","-27.8161",NA,NA,"NY00772772","NY00772772_01","Magnoliophyta","Poales","15933","South America","Marinhos road, 22 km south of Lajes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733740' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 03:29:00-03","NY","NYBG","772773","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","ruprechtianum","Piptochaetium ruprechtianum",NA,NA,"Á. L. Cabrera","1940","11","22","Argentina","Buenos Aires",NA,NA,NA,NA,NA,"NY00772773",NA,"Magnoliophyta","Poales","6871","South America","Partido de Tandil: Tandil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733741' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:54:14-03","EAO","IAN","116714","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","ruprechtianum","Piptochaetium ruprechtianum","Desv.",NA,"Rambo, B","1949","10","24","Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,"IAN116714",NA,"Monocotiledônea",NA,"44131","Southern America","Barreto Viana, próximo a São Leopoldo. In alte graminosis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:19:51-03","NBC","NL-BOTANY","L.1319107","PreservedSpecimen","Plantae","Gramineae","Piptochaetium","ruprechtianum","Piptochaetium ruprechtianum","É.Desv.",NA,"Parodi LR","1930","12","02","Argentina",NA,NA,NA,NA,NA,NA,"NL-L1319107","NL-L1319107",NA,"Poales",NA,"Southern America","Médanos Sur de la Provincia de entre Rios.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1319107 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:19:51-03","NBC","NL-BOTANY","L.1319108","PreservedSpecimen","Plantae","Gramineae","Piptochaetium","ruprechtianum","Piptochaetium ruprechtianum","É.Desv.",NA,"Lorentz PG","1877","10","01","Uruguay",NA,NA,NA,NA,NA,NA,"NL-L1319108","NL-L1319108",NA,"Poales",NA,"Southern America","Entreriana, Concepcion del Uruguay.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1319108 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:19:51-03","NBC","NL-BOTANY","L.1319109","PreservedSpecimen","Plantae","Gramineae","Piptochaetium","ruprechtianum","Piptochaetium ruprechtianum","É.Desv.",NA,"Parodi LR","1921","11","03","Argentina",NA,NA,NA,NA,NA,NA,"NL-L1319109","NL-L1319109",NA,"Poales",NA,"Southern America","Concordia (Entre Rios).",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1319109 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:19:51-03","NBC","NL-BOTANY","U.1514926","PreservedSpecimen","Plantae","Gramineae","Piptochaetium","ruprechtianum","Piptochaetium ruprechtianum","É.Desv.",NA,"Rosengurtt B","1938","11","19","Uruguay",NA,NA,NA,NA,NA,NA,"NL-U1514926","NL-U1514926",NA,"Poales",NA,"Southern America","Maldonado. Co. Pan de Azucar.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1514926 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:18:52-03","ESALQ","ESA","49760","PreservedSpecimen","Plantae","Poaceae","Piptochaetium","ruprechtianum","Piptochaetium ruprechtianum","Desv.","Sallés, J.M.","Sacco, J.C.","1954","11","17","Brasil","Rio Grande do Sul","Pelotas","-52.3424987792969","-31.771900177002",NA,NA,"ESA049760","ESA049760","Magnoliophyta",NA,"239.0",NA,NA,NA,NA,NA,"51462","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:26:08-03","IAP","PACA-AGP","43574","PreservedSpecimen","Plantae","Gramineae","Piptochaetium","ruprechtianum","Piptochaetium ruprechtianum","Desv.","J.R. Swallen","Rambo, B.","1949","09","23","Brasil","RS","São Leopoldo p. Portão",NA,NA,NA,NA,"PACA043574",NA,"Magnoliophyta","Cyperales",NA,NA,NA,NA,"fr.; Habitat: in campestribus alte dumetosis","Liliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
