"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","identifiedBy","yearIdentified","day","stateProvince","county","class","monthIdentified","dayIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"1","2016-09-27 15:12:00-03","NY","NYBG","3963","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cassia","trachycarpa","macrophylla","Cassia trachycarpa macrophylla","Hassl.","isotype","E. Hassler","9833","South America","Paraguay","Prope Punta Pora","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003963","NY00003963_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","471026","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"L. Riedel","1583","South America","Brazil","Brasilia, in paludosis (ILLEGIBLE)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365531' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471026","NY00471026_01","1833","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:39:38-03","EAO","IAN","15244","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Cassia","trachycarpa","acutifolia","Cassia trachycarpa acutifolia","(Bentham) H.S. Irwin & Barneby",NA,"Oliveira, JE de","1101","Southern America","Brasil","Brejo.",NA,NA,"IAN015244","IAN015244 IAN015244_e","1942","07","Irwin, HS","1974","02","Minas Gerais","Parreiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:06:39-03","NBC","NL-BOTANY","U.1301036","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Caes.","Cassia","trachycarpa","acutifolia","Cassia trachycarpa acutifolia","(Benth.) H.S.Irwin & Barneby",NA,"Widgren JF",NA,"Southern America","Brazil","Prov. Minas Geraes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1301036 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1301036","NL-U1301036","1845","01",NA,NA,"01",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:28:50-03","MN","R","102227","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Cassia","trachycarpa",NA,"Cassia trachycarpa","Vogel",NA,"Silveira, A.A.",NA,NA,"Brasil","Aiuruoca",NA,NA,NA,NA,"1897",NA,"Barneby, R.C.","1975",NA,"Minas Gerais","Belo Horizonte",NA,"01","28","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA
"6","2021-01-14 15:28:50-03","MN","R","191196","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Cassia","trachycarpa",NA,"Cassia trachycarpa","Vogel",NA,"Leoncini, O.; Roppa, O.","326",NA,"Brasil","Poços de Caldas",NA,NA,NA,NA,"1968","03","Lima, D. Andrade.","1968",NA,"Minas Gerais","Belo Horizonte",NA,"03",NA,"-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA
"7","2021-01-14 15:28:50-03","MN","R","191197","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Cassia","trachycarpa",NA,"Cassia trachycarpa","Vogel",NA,"Emmerich, M.","1950",NA,"Brasil","Poços de Caldas",NA,NA,NA,NA,"1964","03","Lima, D. Andrade.","1968","06","Minas Gerais","Belo Horizonte",NA,"03","21","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA
"8","2021-01-14 15:28:50-03","MN","R","191193","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Cassia","trachycarpa",NA,"Cassia trachycarpa","Vogel",NA,"Emmerich, M.","1874",NA,"Brasil","Poços de Caldas",NA,NA,NA,NA,"1964","03","Lima, D. Andrade.","1968","03","Minas Gerais","Belo Horizonte",NA,"03","21","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA
"9","2021-01-14 15:28:56-03","MN","R","211893","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","trachycarpa",NA,"Chamaecrista trachycarpa","(Vogel) H.S.Irwin & Barneby",NA,"Estevan, D.A.","686",NA,"Brasil",NA,NA,NA,NA,NA,"2004","12","Estevan, D.A.","2005","07","Paraná","ventania",NA,NA,NA,"-50.2428016662598","-24.2458000183105","32424","auto",NA,NA,NA,NA,NA
"10","2019-02-22 11:44:28-03","IPA","IPA","11812","S","Plantae","Plantae",NA,"Leguminosae-Caes.","Chamaecrista","trachycarpa","trachycarpa","Chamaecrista trachycarpa trachycarpa",NA,NA,"Duarte, A.","542","Southern America","Brasil","Crespo",NA,NA,"IPA0011812",NA,"1946","02","Barroso, G.M.",NA,"18","Minas Gerais","Carandaí",NA,NA,NA,"-43.8064002990723","-20.9535999298096","23079","auto",NA,NA,NA,NA,NA
"11","2019-02-22 11:44:28-03","IPA","IPA","40086","S","Plantae","Plantae",NA,"Leguminosae-Caes.","Chamaecrista","trachycarpa","trachycarpa","Chamaecrista trachycarpa trachycarpa",NA,NA,"Regnell","75","Southern America","Brasil",NA,NA,NA,"IPA0040086",NA,NA,NA,NA,NA,NA,"Minas Gerais","Caldas",NA,NA,NA,"-46.386100769043","-21.9235992431641","25710","auto",NA,NA,NA,NA,NA
"12","2019-02-22 11:44:28-03","IPA","IPA","14961","S","Plantae","Plantae",NA,"Leguminosae-Caes.","Chamaecrista","trachycarpa","trachycarpa","Chamaecrista trachycarpa trachycarpa",NA,NA,"Emmerich, M.","1950","Southern America","Brasil","Morro do Ferro",NA,NA,"IPA0014961",NA,"1964","03","Andrade-Lima","1968","06","Minas Gerais","Poços de Caldas",NA,"02","24","-46.5614013671875","-21.7877998352051","23696","auto",NA,NA,NA,NA,NA
"13","2019-02-22 11:44:28-03","IPA","IPA","14959","S","Plantae","Plantae",NA,"Leguminosae-Caes.","Chamaecrista","trachycarpa","trachycarpa","Chamaecrista trachycarpa trachycarpa",NA,NA,"Leoncini, O.; Roppa, O.; Roppa, O.","326","Southern America","Brasil","Morro do Ferro, A este do morro",NA,"Flores amarelas; altura 1m","IPA0014959",NA,"1964","10","Andrade-Lima","1968","15","Minas Gerais","Poços de Caldas",NA,"02","24","-46.5614013671875","-21.7877998352051","23696","auto",NA,NA,NA,NA,NA
"14","2019-02-22 11:44:28-03","IPA","IPA","12177","S","Plantae","Plantae",NA,"Leguminosae-Caes.","Chamaecrista","trachycarpa","trachycarpa","Chamaecrista trachycarpa trachycarpa",NA,NA,"Mello-Barreto","11120","Southern America","Brasil","Parreiras, (antigo Caldas). Estrada para Parreiras",NA,"Arbusto de 1m. Flor amarela. Muito frequênte","IPA0012177",NA,"1940","11","Mello-Barreto",NA,"08","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
