"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","barcode","imagecode","scientificNameAuthorship","locality","typeStatus"
"1","2020-11-04 12:18:21-03","ESALQ","ESA","102301","PreservedSpecimen","Plantae","Magnoliophyta","Plantaginaceae","Otacanthus","caparaoensis","Otacanthus caparaoensis","Tsuji, R.","2005","08","24","Lorenzi, H.","5510.0","2005","08","24","Brasil","Espírito Santo","Alto Caparaó","ESA102301","ESA102301",NA,NA,NA
"2","2015-07-02 14:03:44-03","JBP","HPL","5152","S","Plantae",NA,"Plantaginaceae","Achetaria","caparaoense","Achetaria caparaoense","V.C. Souza","2012","05","29","H. Lorenzi","5510","2005","08","24","Brasil","ES","Alto Caparaó",NA,NA,"(Brade) V.C.Souza","Coletada na estrada que da acesso ao Parque pelo estado de ES, em área de campo de altitude, pouco comum.",NA
"3","2020-05-22 17:52:56-03","UFMT","UFMT","11217","S","Plantae",NA,"Scrophulariaceae","Otacanthus","caparaoensis","Otacanthus caparaoensis",NA,NA,NA,NA,"Brade, A.C.","16974","1941","09","18","Brasil","Minas Gerais",NA,"UFMT00011217",NA,"Brade","Serra do Caparao.","Isotype"
