"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","class","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","infraspecificEpithet","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1163415","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Gomidesia","clausseniana","Gomidesia clausseniana","O.Berg","isolectotype","Martii Herbar. Florae Brasil.","1235","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1318020' target='other'> <mi>dwc_moreinfo</mi></a>","NY01163415","NY01163415_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","594985","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Gomidesia","kunthiana","Gomidesia kunthiana","O.Berg",NA,"H. S. Irwin","2768","South America","Brazil","Espírito Santo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137515' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594985","NY00594985_01","E. M. Nic Lughadha","1959","03","02","Pico da Bandeira, Serra Caparao","-41.798225","-20.433785","2804.2","2804.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1552516","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","buxifolia","Myrcia buxifolia","Gardner",NA,"A. F. M. Glaziou","16996","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1947747' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552516","NY01552516_01",NA,"1888","03","14","Orgaos ( Macahé)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01166983","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","montana","Myrcia montana","(DC.) Cambess.",NA,"H. S. Irwin","29378","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299705' target='other'> <mi>dwc_moreinfo</mi></a>","NY01166983","NY01166983_01","L. V. S. Jennings","1971","01","30","Serra do Espinhaço, lower slopes of Pico de Itacolomi, ca. 2 km S. of Ouro Preto","-43.5057","-20.3874","1600","1600","Ouro Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01166985","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","montana","Myrcia montana","(DC.) Cambess.",NA,"A. C. Brade","16897","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299714' target='other'> <mi>dwc_moreinfo</mi></a>","NY01166985","NY01166985_01","L. V. S. Jennings","1941","09","09","Serra do Caparaó",NA,NA,"2200","2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01166984","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","montana","Myrcia montana","(DC.) Cambess.",NA,"A. C. Brade","17015","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299711' target='other'> <mi>dwc_moreinfo</mi></a>","NY01166984","NY01166984_01","L. V. S. Jennings","1941","09","25","Serra do Caparaó; Pico da Bandeira.","-41.796687","-20.434034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01166979","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","montana","Myrcia montana","(DC.) Cambess.",NA,"L. Riedel","s.n.","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299387' target='other'> <mi>dwc_moreinfo</mi></a>","NY01166979","NY01166979_01","L. V. S. Jennings",NA,NA,NA,"Serra da Piedade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00979100","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","ouropretoensis","Myrcia ouropretoensis","Kiaersk.",NA,"H. S. Irwin","30233","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1076784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979100","NY00979100_01",NA,"1971","01","13","Serra do Espinhaço, near summit of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.67613","-19.82237","1800","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:46:02-03","EAO","IAN","181534","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Myrcia","montana","Myrcia montana","Cambess.",NA,"Vidal, J","703","Southern America","Brasil","Rio Janeiro",NA,NA,"IAN181534",NA,"Sobral, M","1972",NA,NA,"Pedra do Sino",NA,NA,"2150","2150",NA,"2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:07:06-03","NBC","NL-BOTANY","U.1602389","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","montana","Myrcia montana","Cambess.",NA,"Riedel L",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1602389 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1602389","NL-U1602389","Nic Lughadha EM",NA,NA,NA,"Brasilia: Itacalumi.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
