"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","784418","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","tamariscea","Polygala tamariscea","Mart. ex A.W.Benn.","A. L. Bernardi","A. Löfgren","s.n.","1893","01","14","South America","Brazil","São Paulo","Patrocinio de Sapucahy.","sheet","ex Comm. Geogr. Geol. Sao Paulo n° 2129 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547960' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784418","NY00784418_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","784416","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","tamariscea","Polygala tamariscea","Mart. ex A.W.Benn.","A. L. Bernardi","G. A. Black","51-11296","1951","01","24","South America","Brazil","São Paulo","Campos de Itirapina.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547961' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784416","NY00784416_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00846651","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","tamariscea","Polygala tamariscea","Mart. ex A.W.Benn.","J. F. B. Pastore","R. F. Vieira","196","1986","06","25","South America","Brazil","Goiás","Sítio da D> Rosa Proença a 12km da vila de São Jorge.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=926590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846651","NY00846651_01","Colinas do Sul","-48.0781","-14.1517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","784417","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","tamariscea","Polygala tamariscea","Mart. ex A.W.Benn.","A. L. Bernardi","G. Gehrt","s.n.","1923","04","30","South America","Brazil","São Paulo","Itirapina.","sheet","Instituto de Botânica Sao Paulo <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547959' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784417","NY00784417_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","784419","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","tamariscea","Polygala tamariscea","Mart. ex A.W.Benn.","A. W. Bennett","J. B. E. Pohl","3098",NA,NA,NA,"South America","Brazil",NA,"Faz do Cedro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547958' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784419","NY00784419_01",NA,NA,NA,"isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00856687","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","tamariscea","Polygala tamariscea","Mart. ex A.W.Benn.","J. F. B. Pastore","H. S. Irwin","23087","1969","02","11","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 33 km N.E. of Francisco Sá, on road to Salinas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856687","NY00856687_01",NA,"-43.2439","-16.4147",NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00846609","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","tamariscea","Polygala tamariscea","Mart. ex A.W.Benn.","J. F. B. Pastore","H. S. Irwin","32858","1971","03","21","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 18 km N of Alto Paraíso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=926449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846609","NY00846609_01","Alto Paraíso de Goiás","-47.5167","-13.95401",NA,"1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00856689","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","tamariscea","Polygala tamariscea","Mart. ex A.W.Benn.","J. F. B. Pastore","H. S. Irwin","23020","1969","02","10","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 30 km N.E. of Francisco Sá, on road to Salinas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856689","NY00856689_01",NA,"-43.2679","-16.4288",NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:43:25-03","EAO","IAN","26217","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Polygalaceae","Polygala","tamariscea","Polygala tamariscea","Mart.",NA,"Pohl, RW","3098",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN026217","IAN026217_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:47:05-03","EAO","IAN","69132","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Polygalaceae","Polygala","tamariscea","Polygala tamariscea","Mart.","Pastore, JFB","Black, GA","11296","1951","01","24","Southern America","Brasil","São Paulo","Campo Alegre.",NA,"Flor arroxeada.","IAN069132",NA,"Itirapina","-47.8199996948242","-22.25",NA,NA,NA,"2015","04","22843","auto",NA,NA,NA,NA,NA
