"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","7993","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","fasciculata","Erythrina fasciculata","Benth.","syntype","J. B. E. Pohl","763","South America","Brazil","Ad fazenda do Salitry ad Rios.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=225840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00007993","NY00007993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-07 11:51:14-03","UFSM","SMDB","13931","S","Plantae",NA,NA,"Fabaceae","Erythrina","crista- galli","Erythrina crista- galli","L.",NA,"Dalcol, I","s.n.",NA,"Brasil","estrada entre Santa Maria,e São Sepé.",NA,"Material-testemunho de Dissertação","SMDB013931",NA,"Canto-Dorow, T","2013","01","2013","01","16","Rio Grande do Sul","Santa Maria","-53.8069000244141","-29.6842002868652","37819","auto",NA,NA
"3","2012-06-21 05:16:00-03","MO","MOBOT","1285293","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Erythrina","fasciculata","Erythrina fasciculata","Benth.",NA,"Alwyn H. Gentry|Michael O. Dillon|Paul E. Berry|James Aronson","Gentry 23398","South America","Peru","39 km E of Ourahusai on Abancay-Cuzco road.",NA,NA,NA,NA,"B.A. Krukoff",NA,NA,"1978","6","26","Cusco",NA,NA,NA,NA,NA,"2250.00000000","7"
"4","2014-11-06 16:17:24-02","UFPB","EAN","442","S","Plantae",NA,NA,"Fabaceae","Erythrina","crista - galli","Erythrina crista - galli",NA,NA,NA,NA,NA,"Brasil","Jardim Botânico do Rio de Janeiro",NA,"Flores vermelhas, habitat: Uruguai - Brasil.",NA,NA,NA,NA,NA,"1944","12","21","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9028","57442","auto",NA,NA
