"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","dayIdentified","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00909960","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","laurina","Huberia laurina","DC.","J. F. A. Baumgratz","A. P. Duarte","2666","1950","04","25","South America","Brazil","Minas Gerais","Serra do Cipó, km. 134.","1180","1180","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983539' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909960","NY00909960_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00909959","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Martii Herbar. Florae Brasil.","942","1841",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909959","NY00909959_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:44:23-03","EAO","IAN","9317","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"sc","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN009317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:02:55-03","NBC","NL-BOTANY","L.2534612","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Deland",NA,NA,NA,NA,"Southern America","Brazil",NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2534612 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2534612","NL-L2534612","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:02:55-03","NBC","NL-BOTANY","L.2534613","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,"Brasil.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2534613 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2534613","NL-L2534613","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:02:55-03","NBC","NL-BOTANY","L.2534614","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Huberia","laurina","Huberia laurina","DC.",NA,"Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,"Brasil.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2534614 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2534614","NL-L2534614","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-02-15 11:45:37-02","IPA","IPA","25450","S","Plantae","Plantae",NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.","Wurdack, J.J.","Santos, T.S. dos","2660","1973","06","11","Southern America","Brasil","Bahia","km 3 a 10 da rodovia Nilo Peçanha para Cairú.",NA,NA,NA,"Árvore de 5m de altura. Flor alva, estames amarelos, cálice verde.; Mata de restinga.","IPA0025450",NA,NA,"1978","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0024864","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","laurina","Huberia laurina","DC.","J. Wurdack","Irwin; Fonseca, Souza, Reis, Ramos","27911","1970","3","19",NA,"Brazil","Minas Gerais","ca. 18km. E. of Diamantina.","1100",NA,NA,"Shrub ca. 3m tall. Fruit light green.",NA,NA,NA,NA,NA,"-43.6","-18.25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:39:22-03","UFJF","CESJ","12448","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.","S.A.C. Chiea","L. Krieger","CESJ12448","1973","01","21","América do Sul","Brasil","Amazonas",NA,NA,NA,NA,"Na mata alagada. Arbusto, aflorando pouco acima do nível da água, com frutos novos.","CESJ012448",NA,NA,"1998",NA,"-64.7114028930664","-3.35417008399963","Tefé","340205","auto",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:33:58-03","UNICAMP","UEC","53614","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Huberia","laurina","Huberia laurina","A.DC.",NA,"Silva, AF","1585","1987","12","14",NA,"Brazil","São Paulo","Reserva Florestal da Boa Vista.",NA,NA,NA,"Árvore de 6m, flores brancas, casca avermelhada, lenho amarelo, seiva sanguinolenta.","UEC079615","UEC079615",NA,NA,NA,"-45.9375","-23.075","São José dos Campos",NA,NA,"-45.9375","-23.075",NA,NA,NA,NA
"11","2019-11-06 09:56:21-03","UFOP","OUPR","5821","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","laurina","Huberia laurina","DC.","Baumgratz, J.F.","Mello-Barreto, H.L.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,"1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
