"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount","yearIdentified"
"1","2020-09-23 10:41:32-03","E","E","69040","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","oxycoccoides","Marcetia oxycoccoides","Harley, R.M., Stannard, B., Assis, M.C., Pires, F.S. & Fothergill, J.M.","26223","1988","11","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:76846","<a href=http://data.rbge.org.uk/herb/E00069040 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00069040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","520971","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","oxycoccoides","Marcetia oxycoccoides","R. M. Harley","26223","1988","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119970' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520971","Magnoliophyta","Myrtales","Wurdack & A.B.Martins","J. J. Wurdack","Bahia","Rio de Contas","Pico das Almas. Vertente leste. Margem leste do Campo do Queiroz","-41.95","-13.53","1500","1500","NY00520971_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1911737","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","oxycoccoides","Marcetia oxycoccoides","S. A. Mori","12511","1979","07","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2135119' target='other'> <mi>dwc_moreinfo</mi></a>","NY01911737","Magnoliophyta","Myrtales","Wurdack & A.B.Martins",NA,"Bahia","Rio de Contas","Pico das Almas, a 18 km ao SNW de Rio de Contas","-41.95","-13.55","1300","1600","NY01911737_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","687323","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","oxycoccoides","Marcetia oxycoccoides","R. M. Harley","26223","1988","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874090' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687323","Magnoliophyta","Myrtales","Wurdack & A.B.Martins",NA,"Bahia","Rio de Contas","Pico das Almas. Vertente leste. Maregm leste do Campo do Queiroz.","-41.95","-13.53","1500","1500","NY00687323_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:03:19-03","NBC","NL-BOTANY","U.1385754","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","oxycoccoides","Marcetia oxycoccoides","Harley RM; Stannard BL; Assis MC; Pires FS",NA,"1988","11","20","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1385754 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1385754",NA,"Myrtales","Wurdack & Martins","Wurdack JJ","Bahia",NA,NA,"-41.95","-13.533333",NA,NA,"NL-U1385754",NA,"Magnoliopsidae","-41.95","-13.533333","U 0081770",NA,NA,NA,NA
"6","2021-03-01 16:34:25-03","UNICAMP","UEC","105326","S","Plantae","Melastomataceae","Marcetia","oxycoccoides","Marcetia oxycoccoides","Harley, RM; Stannard, BL; Assis, MC; Pires, FS","26223","1988","11","20",NA,"Brazil",NA,NA,"Planta cespitosa, decumbente, cerca de 15cm de altura; cálice e pedúnculo vináceos; corola lilás; estames amarelos; Campo rupestre e mata seca. Solo pedregoso","UEC080730","Magnoliopsida",NA,"Wurdack & A.B.Martins",NA,"Bahia","Rio de Contas","Pico das Almas, Vertente leste. Margem leste do Campo do Queiroz","-41.95","-13.533333","1500","1500","UEC080730",NA,NA,"-41.95","-13.533333",NA,NA,NA,NA,NA
"7","2020-12-21 16:34:25-03","MBM","MBM","302107","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","oxycoccoides","Marcetia oxycoccoides","Harley, R.M.; et al.; et al.","26223","1988","11","20","Southern America","Brazil",NA,NA,NA,"MBM302107",NA,NA,"Wurdack & Martins","Wurdack, J.J.","Bahia","Rio de Contas","Pico das Almas","-41.8114013671875","-13.5789003372192",NA,NA,"MBM302107",NA,NA,NA,NA,NA,"49773","auto",NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","1940939","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","oxycoccoides","Marcetia oxycoccoides","Scott A. Mori","Mori 12511","1979","7","24","South America","Brazil",NA,NA,NA,NA,NA,NA,"Wurdack & A.B. Martins","J. Wurdack",NA,NA,"Município de Rio de Contas. Pico das Almas, a 18 km. ao SNW de Rio de Contas. Campo Rupestre.","-41.95","-13.55","1300.00000000","1600.00000000",NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-08-13 05:50:00-03","MO","MOBOT","3228152","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","oxycoccoides","Marcetia oxycoccoides","R.M. Harley","Harley 26223","1988","11","20","South America","Brazil",NA,NA,NA,NA,NA,NA,"Wurdack & A.B. Martins","J.J. Wurdack","Bahia",NA,"Mun.: Rio de Contas. Pico das Almas. Vertente leste. Margem leste do Campo do Queiroz. Campo rupestre e mata seca. Solo pedregoso.","-41.95","-13.53333","1500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 13:25:35-03","UFBA-IMS","HVC","1322","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","oxycoccoides","Marcetia oxycoccoides","A.K.A. Santos; J.O. Cruz","1368","2015","03","14",NA,"Brasil",NA,NA,"Folhas verdes avermelhadas Cálice e hipanto avermelhados, corola magenta, estames amarelos.","HVC00001322",NA,NA,"Wurdack & A.B.Martins",NA,"Bahia","Rio de Contas","Trilha Pico das Almas. Trilha Pico das Almas.","-41.966389","-13.526667","1936","1936",NA,NA,NA,"41º57'59''W","13º31'36''S",NA,NA,NA,NA,NA
