"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","typeStatus"
"1","2020-02-08 09:56:20-03","NBC","NL-BOTANY","U.1464482","PreservedSpecimen","Plantae","Magnoliopsidae","Malpighiales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Petersen TM","1952","09","09","Southern America","Argentina","Estancia,,Santa Teresa'', Dep. Mburucuyá, Prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1464482 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1464482","NL-U1464482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:55-03","ESALQ","ESA","102253","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans",NA,"Lorenzi, H.","2005","07","09",NA,"Brasil",NA,NA,"ESA102253","ESA102253","Magnoliophyta","Lorenzi, H.","2005","11","09","5983.0","Rio Grande do Sul","Caçapava do Sul","-53.4914016723633","-30.5121994018555","50525","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:17:55-03","ESALQ","ESA","34238","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans",NA,"Bertoncini, A.P. et al.","1996","12","11",NA,"Brasil",NA,NA,"ESA034238","ESA034238","Magnoliophyta","Bernacci, L.C.","2003",NA,NA,"709.0","São Paulo","Cunha","-44.9599990844727","-23.0699996948242","38855","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-12 01:36:02-03","UFPI","TEPB","10103","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Larocca, J.","1989","10","28",NA,"Brasil","Morro do Coco","Liana com flores brancas Ambiente: Beira de Mata",NA,NA,NA,NA,NA,NA,NA,NA,"Rio Grande do Sul","Vaimão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:03:37-03","JBP","HPL","6217","S","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","H. Lorenzi","2005","12","09",NA,"Brasil","Coletado na estrada de terra para a Pedra do Segredo.",NA,NA,NA,NA,"H. Lorenzi","2005","12","09","5983","RS","Caçapava do Sul","-53.4914","-30.5122","50525","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:03:37-03","JBP","HPL","6478","S","Plantae",NA,NA,"Passifloraceae","Passiflora","elegans","Passiflora elegans",NA,"H. Lorenzi","2006","10","03",NA,"Brasil","Coletado e cultivado no Instituto Plantarum.",NA,NA,NA,NA,"H. Lorenzi","2006","10","03","6178","SP","Nova Odessa","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:34:05-03","IAP","PACA-AGP","30848.1","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Rambo, B.","1946","01","31",NA,"Brasil","Vila Oliva","Habitat: In araucarieto Fenofase: flor","PACA030848-1",NA,"Magnoliophyta","J. C. Sacco","1969","03","19",NA,"RS","Caxias do Sul","-51.1794013977051","-29.1681003570557","49662","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:34:05-03","IAP","PACA-AGP","82015","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Sehnem, A.","1964","01","19",NA,"Brasil","Instituto Agronômico d. URGS.","Confirmado por L.C. Bernacci em 2009. Habitat: sarmentum ad silvulam camp estrem","PACA082015",NA,"Magnoliophyta","A. Sehnem",NA,NA,NA,"8290","RS","Guaiba","-51.3250007629395","-30.113899230957","28343","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:34:05-03","IAP","PACA-AGP","68810","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","José Gomes","1950","04","14",NA,"Brasil",NA,"Herbário PEL 105&nf;Confirmado por L.C. Bernacci em 2009.","PACA068810",NA,"Magnoliophyta","Ir. Teodoro Luis",NA,NA,NA,NA,"RS","Pelotas","-52.3424987792969","-31.771900177002","51462","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:34:05-03","IAP","PACA-AGP","94778","PreservedSpecimen","Plantae","Magnoliatae","Violales","Passifloraceae","Passiflora","elegans","Passiflora elegans","Mast.","Mondin, C.","1998","09","28",NA,"Brasil","B. Jardim Botânico próximo Escola Ivo Casevil","HASU 6945 Habitat: Na margem da mata Fenofase: frutos imaturos Hábito: trepadeira","PACA094778",NA,"Magnoliophyta","C. Mondin","1998","09",NA,"1536","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA
