"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","dayIdentified","coordinatePrecision","geoFlag","preparationType","individualCount","class","order"
"1","2019-10-09 11:17:57-03","UFBA","ALCB","134271","PreservedSpecimen","Plantae","Dicotyledon","Lamiaceae","Hyptis","colligata","Hyptis colligata","Epling & Játiva","Guedes, ML","2019","03","Guedes, ML; Lopes, EB; Araújo, FS","30953","2018","09","06","Southern America","Brasil","Goiás","Alto Paraíso","Caminho para a Cachoeira da Louquinha.","-52.388056","-15.649167","-52.388056","-15.649167","1080","1080","Folhas discolores, cinérias. Inflorescência na porção terminal dos ramos, brácteas vilosas, flores liláses.","ALCB059046","ALCB059046",NA,NA,NA,NA,NA,NA,NA
"2","2019-12-19 11:19:09-03","UFG","UFG","30642","S","Plantae",NA,"Lamiaceae","Hyptis","colligata","Hyptis colligata","Epling & Játiva","Harley, R.M.","2007","11","Ferreira, H.D.","4475","2007","04","22",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"Erva ca. 80 cm de altura, capítulo lanoso, corola branca, lobos lilases, filete branco, estilete branco e antera marron.","UFG0030642","UFG0030642","26","44724","auto",NA,NA,NA,NA
"3","2019-12-19 11:19:09-03","UFG","UFG","30410","S","Plantae",NA,"Lamiaceae","Hyptis","colligata","Hyptis colligata","Epling & Játiva",NA,NA,NA,"Ferreira, H.D.","4467","2007","05","05",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.821111","-14.169722","-47.821111","-14.169722",NA,NA,"Subarbusto 60 cm, frequente na área, inflorescência acinzentado. Cerrado aberto, solo arenoso-pedregoso, corola lobos lilás, tubo branco, pedínculo branco-viloso; cálice branco-vilobo.","UFG0030410","UFG0030410",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-19 11:19:09-03","UFG","UFG","30641","S","Plantae",NA,"Lamiaceae","Hyptis","colligata","Hyptis colligata","Epling & Játiva","Harley, R.M.","2007","11","Ferreira, H.D.","4474","2007","11","16",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"Erva ca. de 60 cm de altura, inflorescência vinosa.","UFG0030641","UFG0030641","26","44724","auto",NA,NA,NA,NA
"5","2020-09-02 16:30:04-03","Cenargen","CEN","98070","PreservedSpecimen","Plantae",NA,"Lamiaceae","Hyptis","cf. colligata","Hyptis cf. colligata","Epling & Játiva","R. M. Harley","1991",NA,"José Rubens Pirani","1708","1987","02","06",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Parque Nacional da Chapada dos Veadeiros, perto da sede do Parque.","-47.5099983215332","-14.1324996948242",NA,NA,"1100","1100","Subarbusto até 50 cm, folhas rígidas, sem odor. Capítulo esbranquiçado ou levemente acinzentado, corola cor de rosa, sem pintas. Em terreno pedregoso, no cerrado de chapada. Doação Departamento de Botânica - Universidde de São Paulo. Royal Botanic Gardens - Kew.","CEN00098070","CEN00098070",NA,"44724","auto","Exsicatas","1",NA,NA
"6","2020-09-02 16:30:04-03","Cenargen","CEN","68670","PreservedSpecimen","Plantae",NA,"Lamiaceae","Hyptis","colligata","Hyptis colligata","Epling & Játiva","J. F. B. Pastore","2010","02","José Floriano Barêa Pastore","1782","2007","03","12",NA,"Brasil","GO","SAO JOAO D'ALIANCA","GO - 118, após São João D'Aliança, sentido Alto Paraíso de Goiás.","-47.511388","-14.412777","-47.511388","-14.412777","1045","1045","Doação da Universidade Estadual de Feira de Santana - Herbário HUEFS (117586). Feira de Santana - Bahia.","CEN00068670","CEN00068670",NA,NA,NA,"Exsicatas","1",NA,NA
"7","2020-09-02 16:30:04-03","Cenargen","CEN","54917","PreservedSpecimen","Plantae",NA,"Lamiaceae","Hyptis","colligata","Hyptis colligata","Epling & Játiva","J. F. B. Pastore","2010","02","João Bernardo de Azevedo Bringel Jr.","73","2004","02","01",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Estrada da cidade de São Jorge para Colinas do Sul, próximo ao Raizama.","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"Flor branca, com alguns tons de lilás, principalemnte nos lobos da corola.","CEN00054917","CEN00054917",NA,"44724","auto","Exsicatas","2",NA,NA
"8","2020-09-02 16:30:04-03","Cenargen","CEN","68696","PreservedSpecimen","Plantae",NA,"Lamiaceae","Hyptis","colligata","Hyptis colligata","Epling & Játiva",NA,NA,NA,"José Floriano Barêa Pastore","1862","2007","03","15",NA,"Brasil","GO","COLINAS DO SUL","Entre Colinas do Sul e o povoado de São Jorge.","-48.0783004760742","-14.1513996124268",NA,NA,NA,NA,"Doação da Universidade Estadual de Feira de Santana - Herbário HUEFS (117679). Feira de Santana - Bahia.","CEN00068696","CEN00068696",NA,"58154","auto","Exsicatas","1",NA,NA
"9","2020-09-02 16:30:04-03","Cenargen","CEN","50543","PreservedSpecimen","Plantae",NA,"Lamiaceae","Hyptis","colligata","Hyptis colligata","Epling & Játiva","J. F. B. Pastore","2010","02","Glocimar Pereira-Silva","7514","2003","04","10",NA,"Brasil","GO","LUZIANIA","Borda Norte da Chapada, Faz. do Sr. Azarias, nascente do córrego Capão da Anta.","-47.9502983093262","-16.2525005340576","-4820222.0","-1634778.0","940","940","Área de Influência Indireta.","CEN00050543","CEN00050543",NA,"83221","auto","Exsicatas","4",NA,NA
"10","2019-11-13 11:20:45-03","USP","SPF","49431","PreservedSpecimen","Plantae",NA,"Lamiaceae","Hyptis","colligata","Hyptis colligata","Epling & Játiva","Harley, RM","1991",NA,"Pirani, JR","1708","1987","02","06",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.5099983215332","-14.1324996948242",NA,NA,"1100","1100",NA,"SPF00049431","SPF00049431",NA,"44724","auto",NA,NA,NA,NA
