"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2020-09-23 10:42:10-03","E","E","312752","PreservedSpecimen","Plantae","Orchidaceae","Rodrigueziella","gomezoides","Rodrigueziella gomezoides","Harley, R.M.; Stannard, B.; Nic Lughadha, E.; Ganev, W.; Queiroz, R.F.","52105","1992","02","17","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:314666","<a href=http://data.rbge.org.uk/herb/E00312752 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547571","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","gomesoides","Gomesa gomesoides","E. P. dos Santos","303","1996","11","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447330' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547571","Magnoliophyta","Asparagales","(Barb.Rodr.) Pabst","G. G. Hatschbach","Paraná","Guaratuba","Serra de Aracatuba","-48.97","-25.87","1320","1320","NY00547571_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","822528","PreservedSpecimen","Plantae","Orchidaceae","Rodrigueziella","gomezoides","Rodrigueziella gomezoides","R. M. Harley","52393","1992","02","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822528","Magnoliophyta","Asparagales","(Barb.Rodr.) Berman","A. L. V. Toscano de Brito","Bahia","Abaíra","Mata do Cigano","-41.92","-13.27","1700","1800","NY00822528_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","822527","PreservedSpecimen","Plantae","Orchidaceae","Rodrigueziella","gomezoides","Rodrigueziella gomezoides","R. M. Harley","52105","1992","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822527","Magnoliophyta","Asparagales","(Barb.Rodr.) Berman","A. L. V. Toscano de Brito","Bahia","Abaíra","Mata da Serra do Rei","-41.9","-14.27","1550","1650","NY00822527_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","625776","PreservedSpecimen","Plantae","Orchidaceae","Theodorea","gomezoides","Theodorea gomezoides","J. F. Zikan","8202","1921","12","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625776","Magnoliophyta","Asparagales","Barb.Rodr.","Hoehne; Schltr.","Minas Gerais","Passa Quatro",NA,"-44.9667","-22.3906",NA,NA,"NY00625776_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","625775","PreservedSpecimen","Plantae","Orchidaceae","Theodorea","gomezoides","Theodorea gomezoides","R. Kummrow","2421","1983","11","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625775","Magnoliophyta","Asparagales","Barb.Rodr.","A. Ghillány","Paraná","Guaratuba","Serra de Araçatuba.","-48.5744","-25.8831",NA,NA,"NY00625775_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:36-03","PUCPR","HUCP","20905","S","Plantae","Orchidaceae","Gomesa","gomezoides","Gomesa gomezoides","Kersten, RA","1382","2009","10","10",NA,"Brasil",NA,NA,NA,"HUCP00006590","Monocotiledonea",NA,"(Barb. Rodr.) Pabst","Kersten, RA","Paraná","Campina Grande do Sul","Morro Caratuva","-49.0553016662598","-25.3055992126465",NA,NA,"HUCP00006590","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:36-03","PUCPR","HUCP","21658","S","Plantae","Orchidaceae","Gomesa","gomezoides","Gomesa gomezoides","Kersten, RA","1263","2007","12","10",NA,"Brasil",NA,NA,NA,"HUCP00002730","Monocotiledonea",NA,"(Barb. Rodr.) Pabst.","Kersten, RA","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,"HUCP00002730","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:26:36-03","PUCPR","HUCP","19829","S","Plantae","Orchidaceae","Gomesa","gomezoides","Gomesa gomezoides","Kersten, RA","1334","2008","12","04",NA,"Brasil",NA,NA,NA,"HUCP00006642","Monocotiledonea",NA,"(Barb. Rodr.) Pabst","Kersten, RA","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,"HUCP00006642","12577","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:46:49-03","NBC","NL-BOTANY","U.1475080","PreservedSpecimen","Plantae","Orchidaceae","Rodrigueziella","gomezoides","Rodrigueziella gomezoides","Lindeman JC; Lindeman JC; Porto ML; Girardi AM",NA,"1971","12","03","Southern America","Brazil",NA,NA,"Matinho no começo do itaimbé ou canion.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1475080 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1475080",NA,"Asparagales","(Barb.Rodr.) Pabst","Waechter JL","Rio Grande do Sul",NA,"Taimbezinho.",NA,NA,NA,NA,"NL-U1475080",NA,NA,"Magnoliopsidae","U 0251103",NA,NA,NA,NA,NA,NA,NA
