"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","phylum","order","typeStatus","continentOcean","preparationType","infraspecificEpithet","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","relationshipType","previousCatalogNumber","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:18-03","UNESC","CRI","6413","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","J. A. Jarenkow","J. A. Jarenkow","1274","1989","03","25","Brasil","Rio Grande do Sul","Marcelino Ramos","Mata do Sétimo Céu.","-51.906667","-27.462222","51º54'24''W","27º27'44''S","Habitat: borda de mata pluvial Habito: árvore","CRI003077","CRI003077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:18-03","UNESC","CRI","2739","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","A. Burkart","R. Klein","1428","1955","06","23","Brasil","Santa Catarina","Itajaí",NA,"-48.662222","-26.908333","48º39'44''W","26º54'30''S",NA,"CRI003082","CRI003082","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:18-03","UNESC","CRI","6749","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","A. Burkart","P. R. Reitiz; Klein",NA,"1968","05","18","Brasil","Santa Catarina","Presidente Nereu","Itaquá.","-49.390556","-27.277778","49º23'26''W","27º16'40''S","Habitat: capoeira Habito: liana","CRI003084","CRI003084","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:18-03","UNESC","CRI","2656","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.",NA,"Reitz; Klein","18124","1968","05","18","Brasil","Santa Catarina","Presidente Nereu","Itaquá.","-49.388889","-27.278889","49º23'20''W","27º16'44''S","Habitat: capoeira Habito: liana","CRI003080","CRI003080","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:18-03","UNESC","CRI","2738","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","A. Burkart","R. Klein","1285","1955","04","14","Brasil","Santa Catarina","Itajaí","Cunhas.","-48.662222","-26.908333","48º39'44''W","26º54'30''S",NA,"CRI003078","CRI003078","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:32-03","UNESC","CRI","6472","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","J. A. Jarenkow","J. A. Jarenkow",NA,"1989","03","25","Brasil","Rio Grande do Sul","Marcelino Ramos",NA,"-51.908611","-27.466944","51º54'31''W","27º28'1''S",NA,"CRI003086","CRI003086",NA,NA,"1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:18-03","UNESC","CRI","6833","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","A. Burkart","P. R. Reitiz; Klein","18124","1968","05","18","Brasil","Santa Catarina","Presidente Nereu","Itaquá.","-49.390556","-27.277778","49º23'26''W","27º16'40''S","Habitat: capoeira Habito: liana","CRI003083","CRI003083","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:18-03","UNESC","CRI","2723","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","A. Burkart","Reitz; Klein","3725","1956","09","20","Brasil","Santa Catarina","Ibirama",NA,"-49.518056","-27.065833","49º31'5''W","27º3'57''S",NA,"CRI003081","CRI003081","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:18-03","UNESC","CRI","2096","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.","S. F. Smith","Reitz; Klein","14673","1963","04","11","Brasil","Santa Catarina","Campos Novos","Caxambu, Tupitinga.","-51.225278","-27.402222","51º13'31''W","27º24'8''S","Habitat: mata Habito: árvore","CRI003079","CRI003079","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","16250","PreservedSpecimen","Plantae","Fabaceae","Machaerium","paraguariense","Machaerium paraguariense","Hassl.",NA,"E. Hassler","1849","1885",NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,NA,"Plantae Paraguarienses <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00016250","NY00016250_01",NA,NA,NA,"Magnoliophyta","Fabales","isolectotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
