"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1005283","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","conjugens","Psychotria conjugens","Müll.Arg.","P. C. Standley","Y. E. J. Mexia","5382","1930","12","06","South America","Brazil","Minas Gerais","Viçosa","Viçosa. Road to São Miguel, about km. 4.5","-42.8817","-20.7542","710","710","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083155' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005283","NY01005283_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1005284","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","conjugens","Psychotria conjugens","Müll.Arg.","P. C. Standley","Y. E. J. Mexia","5435","1930","12","22","South America","Brazil","Minas Gerais","Viçosa","Viçosa. Fazenda da Creçiuma.","-42.8817","-20.7542","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083157' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005284","NY01005284_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1005496","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll.Arg.","C. M. Taylor","H. S. Irwin","2708","1959","02","23","South America","Brazil","Minas Gerais",NA,"State Agricultural School, Viçosa.","-42.868031","-20.7613428",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1087059' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005496","NY01005496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00952223","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll.Arg.","C. M. Taylor","J. A. Kallunki","738","1995","04","23","South America","Brazil","Espírito Santo","Guaçuí","Fazenda Oliveira, ca. 20 km S of Guaçuí on BR-484, road to Sao José do Calçado.","-41.6794013977051","-20.7756004333496",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00952223","NY00952223_01","17884","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:51-03","UFRJ","RFA","24463","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","conjungens","Psychotria conjungens","Müll.Arg.","M.Gomes","F. M. de B. Pereira","79/011","2000","05","11",NA,"Brasil","Rio de Janeiro","Sapucaia","3º distrito, fazenda Selo Verde","-42.871111","-22.099167","753","753",NA,"Frutos imaturos verdes e maduros pretos, folhas verdes, rara no local","RFA29170",NA,NA,NA,"42º52'16''W","22º5'57''S",NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:32:24-03","UFRJ","RFA","38089","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll.Arg.","A.M. Paiva","M.S. Wängler; F. Alzer; G.F. Mazzoni","520","2011","05","14",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre, Propriedade da Sra. Isabel","-43.3825","-22.463889",NA,NA,NA,"Arbusto 1,5 m altura, folhas opostas, estípula bífida, frutos verdes a negros","RFA53288",NA,NA,NA,"43º22'57''W","22º27'50''S","2011","07","27",NA,NA,NA,NA
"7","2020-06-29 11:32:24-03","UFRJ","RFA","38173","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll.Arg.","A.M. Paiva","M.S. Wängler; R.C. Lopes; G.F. Mazzoni","293","2010","12","13",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre, Divino Vale","-43.375","-22.446667",NA,NA,NA,"Arbusto 2 m altura, folhas opostas, estípula bífida, decídua por fragmentação, flores brancas","RFA53287",NA,NA,NA,"43º22'30''W","22º26'48''S","2011","05","28",NA,NA,NA,NA
"8","2020-06-29 11:32:24-03","UFRJ","RFA","38181","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll.Arg.","A.M. Paiva","M.S. Wängler; G.F. Mazzoni; R.C. Lopes","311","2010","12","11",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre, Divino Vale","-43.377778","-22.463889",NA,NA,NA,"Arbusto 2 m altura, folhas opostas, estípula bífida, decídua por fragmentação, flores brancas, lobos com glândulas","RFA53275",NA,NA,NA,"43º22'40''W","22º27'50''S","2011","03","28",NA,NA,NA,NA
"9","2020-06-29 11:32:24-03","UFRJ","RFA","38182","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll.Arg.","A.M. Paiva","M.S. Wängler; G.F. Mazzoni; R.C. Lopes","256","2010","12","11",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre, Divino Vale","-43.377778","-22.463889",NA,NA,NA,"Arbusto 2 m altura, folhas opostas, estípula bífida, decídua por fragmentação, flores brancas, lobos com glândulas","RFA53277",NA,NA,NA,"43º22'40''W","22º27'50''S","2011","03","28",NA,NA,NA,NA
"10","2020-06-29 11:32:24-03","UFRJ","RFA","38183","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll.Arg.","A.M. Paiva","A.M. Paiva","692","2010","12","19",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre, Divino Vale","-43.377778","-22.463889",NA,NA,NA,"Arbusto 2 m altura, folhas opostas, estípula bífida, decídua por fragmentação, flores brancas, lobos com glândulas","RFA53279",NA,NA,NA,"43º22'40''W","22º27'50''S","2011","03","28",NA,NA,NA,NA
"11","2020-06-29 11:32:24-03","UFRJ","RFA","38184","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll.Arg.","A.M. Paiva","A.M. Paiva; M.S. Wängler; G.F. Mazzoni","672","2011","01","29",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre, Propriedade do Sr. Amadeu","-43.377778","-22.463889",NA,NA,NA,"Arbusto 2 m altura, folhas opostas, estípula bífida, frutos verdes","RFA53290",NA,NA,NA,"43º22'40''W","22º27'50''S","2011","03","28",NA,NA,NA,NA
"12","2020-06-29 11:32:24-03","UFRJ","RFA","38185","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll.Arg.","A.M. Paiva","A.M. Paiva; M.S. Wängler; G.F. Mazzoni","634","2011","01","15",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre, Propriedade do Sr. Rick","-43.377778","-22.463889",NA,NA,NA,"Arbusto 2 m altura, folhas opostas, estípula bífida, presença de botões","RFA53289",NA,NA,NA,"43º22'40''W","22º27'50''S","2011","03","28",NA,NA,NA,NA
"13","2020-06-29 11:32:24-03","UFRJ","RFA","38236","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll.Arg.","A.M. Paiva","A.M. Paiva; M.S. Wängler","534","2011","02","28",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre, Nascente","-43.397222","-22.441667",NA,NA,NA,"Arbusto 2 m altura, folhas opostas, estípula bífida, pedúnculo e frutos negros","RFA53286",NA,NA,NA,"43º23'50''W","22º26'30''S","2011","10","12",NA,NA,NA,NA
"14","2020-06-29 11:32:24-03","UFRJ","RFA","38237","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll.Arg.","A.M. Paiva","A.M. Paiva; G.F. Mazzoni","544","2011","03","27",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre, Propriedade da Sra. Isabel","-43.397222","-22.441667",NA,NA,NA,"Arbusto 2 m altura, folhas opostas, estípula bífida, pedúnculo e frutos negros","RFA53285",NA,NA,NA,"43º23'50''W","22º26'30''S","2011","10","12",NA,NA,NA,NA
"15","2020-06-29 11:32:24-03","UFRJ","RFA","38267","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll.Arg.","A.M. Paiva","M.S. Wängler","608","2011","05","28",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre, Propriedade do Sr. Luciano","-43.416389","-22.445833",NA,NA,NA,"Arbusto 3 m altura, folhas opostas, estípula bífida, pedúnculo e frutos negros","RFA53292",NA,NA,NA,"43º24'59''W","22º26'45''S","2011","10","19",NA,NA,NA,NA
"16","2020-06-29 11:32:24-03","UFRJ","RFA","38270","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll.Arg.","A.M. Paiva","M.S. Wängler; F.C. Alzer; G.F. Mazzoni; D.F. Massunaga","786","2011","07","24",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre, Divino Vale","-43.416389","-22.445833",NA,NA,NA,"Arbusto 2 m altura, folhas opostas, estípula bífida, frutos roxos","RFA53293",NA,NA,NA,"43º24'59''W","22º26'45''S","2011","10","19",NA,NA,NA,NA
"17","2020-06-29 11:32:24-03","UFRJ","RFA","38013","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll.Arg.","A.M. Paiva","A.M. Paiva; R.S. Couto","83","2010","05","29",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Área Zona de Vida Silvestre, divino Vale","-43.4185981750488","-22.4286003112793",NA,NA,NA,"Arbusto 1,5 m altura, folhas opostas, estípulas interpeciolares, bífidas, persistentes, flores brancas","RFA53291",NA,"18359","auto",NA,NA,"2010","10","24",NA,NA,NA,NA
"18","2020-02-08 09:26:51-03","NBC","NL-BOTANY","U.1573024","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Psychotria","conjugens","Psychotria conjugens","Müll.Arg.",NA,"Mexia YEJ",NA,"1930","12","06","Southern America","Brazil",NA,NA,"State of Minas Geraes. Viçosa, Road to São Miguel, about km 4.5; dense cut-over forest on slope.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1573024 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1573024","NL-U1573024",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"19","2020-11-04 12:15:58-03","ESALQ","ESA","135697","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Mull. Arg.","M. Gomes","L.B. Pimentel",NA,"2013","12","03",NA,"Brasil","Rio de Janeiro","Carmo",NA,"-42.6086006164551","-21.9335994720459",NA,NA,NA,NA,"ESA135697",NA,"21959","auto",NA,NA,"2013",NA,NA,NA,NA,NA,NA
"20","2020-11-04 12:15:58-03","ESALQ","ESA","135013","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa",NA,"Gomes, M.","Bello, D.","124.0","2014","05","19",NA,"Brasil","Rio de Janeiro","Itaperuna",NA,"-41.8877983093262","-21.2049999237061",NA,NA,NA,NA,"ESA135013",NA,"32377","auto",NA,NA,"2014","07","07",NA,NA,NA,NA
"21","2021-03-31 13:41:33-03","MN","R","212338","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll. Arg.","Paiva, A.M.","Paiva, A.M.","668","2011","01","29",NA,"Brasil","Rio de Janeiro","Paty do Alferes","Alameda Palmares","-43.4185981750488","-22.4286003112793","800","800",NA,NA,NA,NA,"18359","auto",NA,NA,"2011","02","20",NA,NA,NA,NA
"22","2021-03-31 13:41:33-03","MN","R","212337","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","rhytidocarpa","Psychotria rhytidocarpa","Müll. Arg.","Paiva, A.M.","Paiva, A.M.","293","2010","12","12",NA,"Brasil","Rio de Janeiro","Paty do Alferes","Divino Vale","-43.4185981750488","-22.4286003112793","800","800",NA,NA,NA,NA,"18359","auto",NA,NA,"2011","02","20",NA,NA,NA,NA
"23","2020-12-20 21:19:20-03","UFV","VIC","019654","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","conjugens","Psychotria conjugens","Mueel Arg",NA,"Soares, M.P.; et al.","s.n.","2006","01",NA,NA,"Brasil","Bahia","Caravelas","Florets de Juerana","-39.2658004760742","-17.7318992614746",NA,NA,NA,NA,"VIC019654","VIC019654","106553","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-20 21:19:20-03","UFV","VIC","020533","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","conjugens","Psychotria conjugens","Mueel Arg",NA,"Meira, Neto J A","s.n.","1994","05",NA,NA,"Brasil","Minas Gerais","Viçosa","Mata da Sivicultura","-42.8819007873535","-20.7539005279541",NA,NA,NA,"Arvoreta com frutos","VIC020533","VIC020533","13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-20 21:19:20-03","UFV","VIC","026963","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","conjugens","Psychotria conjugens","Mueel Arg",NA,"Pereira, Z.V.; Valente, G.E.","39","2001","11","06",NA,"Brasil","Minas Gerais","Viçosa","Mata do Paraiso","-42.8819007873535","-20.7539005279541",NA,NA,NA,"Botões florais","VIC026963","VIC026963","13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-20 21:19:20-03","UFV","VIC","029598","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","conjugens","Psychotria conjugens","Mueel Arg",NA,"Cota, A.P.","s.n.","2000","03","16",NA,"Brasil","Minas Gerais","Matias Barbosa",NA,"-43.3194007873535","-21.8691997528076",NA,NA,NA,"Planta herbacea,ocorrente em interior e borda de mata","VIC029598","VIC029598","10884","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-20 21:19:20-03","UFV","VIC","017127","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","conjugens","Psychotria conjugens","Mueel Arg",NA,"Lopes, W.P.; et al.","s.n.","1994","08","08",NA,"Brasil","Minas Gerais","Viçosa","Projeto JB II","-42.8819007873535","-20.7539005279541",NA,NA,NA,"Arvore de 5 m, casca e alburno bege ind 1387","VIC017127","VIC017127","13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-20 21:19:20-03","UFV","VIC","024170","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","conjugens","Psychotria conjugens","Mueel Arg",NA,"Oliveira, L.O.; Garcia, R.M.A.","s.n.","1999","12","21",NA,"Brasil","Rio de Janeiro","Itaperuna","fazenda Caeté","-41.8877983093262","-21.2049999237061",NA,NA,NA,"Mata bem preswervada,espécie simpática com poai (Psychotria ipecacuanha)","VIC024170","VIC024170","32377","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-20 21:19:20-03","UFV","VIC","025511","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","conjugens","Psychotria conjugens","Mueel Arg",NA,"Barros, W.S.; Oliveira, L.O. de","s.n.","2000","04","11",NA,"Brasil","Rio de Janeiro","Itaperuna","fazenda Caeté","-41.8877983093262","-21.2049999237061",NA,NA,NA,"Mata bem conservada, espécie simpática a poaia,frutos maduros negros","VIC025511","VIC025511","32377","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-20 21:19:20-03","UFV","VIC","019655","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","conjugens","Psychotria conjugens","Mueel Arg",NA,"Soares, M.P.; et al.","s.n.","2006","02",NA,NA,"Brasil","Bahia","Mucuri",NA,"-39.5508003234863","-18.0863990783691",NA,NA,NA,"Individuo da parcela 15 cerca de 2 m.","VIC019655","VIC019655","78440","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-12-20 21:19:20-03","UFV","VIC","000987","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","conjugens","Psychotria conjugens","Mueel Arg",NA,"Standley","s.n.","1931","01","14",NA,"Brasil","Minas Gerais","Viçosa",NA,"-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"VIC000987","VIC000987","13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
