"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","class","typeStatus","fieldNumber","relatedCatalogItem"
"1","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1469","S","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Carlos A. Ferreira Jr.","2010","01","20","Carlos Alberto F. Jr.; Luiza Coutinho; Rainna Gomes","2010","01","20","Brasil","Minas Gerais","Nova Lima","Serra da Moeda - Próximo ao Topo do Mundo","-43.8466987609863","-19.9855995178223","43º58.891'","20º11.614'","29211","1402","1402","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1468","S","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Carlos A. Ferreira Jr.","2010","01","20","Carlos Alberto F. Jr.; Luiza Coutinho; Rainna Gomes","2010","01","20","Brasil","Minas Gerais","Nova Lima","Serra da Moeda - Próximo ao Topo do Mundo","-43.8466987609863","-19.9855995178223","43º58.891'","20º11.614'","29211","1402","1402","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","929905","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","A. Chautems",NA,NA,NA,"H. S. Irwin","1968","02","11","Brazil","Minas Gerais",NA,"Pico de Itabirito, ca. 50 km S.E. of Belo Horizonte.","-43.8","-20.23",NA,NA,NA,"1750","1750",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999211' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"19805","South America","sheet","NY00929905","NY00929905_01",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","929906","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","A. Chautems",NA,NA,NA,"H. S. Irwin","1971","01","13","Brazil","Minas Gerais",NA,"Serra do Espinhaço, near summit of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.67613","-19.82237",NA,NA,NA,"1800","2000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999217' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"30245","South America","sheet","NY00929906","NY00929906_01",NA,NA,NA,NA
"5","2019-03-20 11:47:13-03","MCN-PUC-MINAS","HPUC-MG","ANG1806","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola",NA,NA,NA,NA,NA,"M.F. Vasconcelos ; L.N. Santos e D.L.H. Oliveira","2013","04","26","Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.666667","-19.816667","43º40'W","19º49'S",NA,"1.7","1.7",NA,"Vertente norte. Corola rosa-avermelhada com pontos vermelhos.",NA,"13-304",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:38:48-03","EAO","IAN","14904","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler","Chautems, A",NA,NA,NA,"Oliveira, JE de","1941","12","18","Brasil","Minas Gerais","Nova Lima","Canga. Serra do Curral.","-43.8466987609863","-19.9855995178223",NA,NA,"29211",NA,NA,NA,NA,"auto","s.n.","Southern America",NA,"IAN014904","IAN014904 IAN014904_e IAN014904_e1",NA,NA,NA,NA
"7","2020-02-08 09:32:00-03","NBC","NL-BOTANY","U.1341601","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Rechsteineria","rupicola","Rechsteineria rupicola","(Mart.) Kuntze",NA,NA,NA,NA,"Unknown",NA,NA,NA,"Brazil",NA,NA,"Serra da Piedade Brazil.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1341601 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-U1341601","NL-U1341601","Magnoliopsidae",NA,NA,NA
"8","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1826458","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Rechsteineria","rupicola","Rechsteineria rupicola","(Mart.) Kuntze",NA,NA,NA,NA,"Irwin HS; Maxwell H; Wasshausen DC","1968","02","11","Brazil",NA,NA,"Pico de Itabirito, Minas Gerais, ca, 50km S.E. of Belo Horizonte.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826458 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-WAG1826458","NL-WAG1826458","Magnoliopsidae",NA,NA,NA
"9","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1826459","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Rechsteineria","rupicola","Rechsteineria rupicola","(Mart.) Kuntze",NA,NA,NA,NA,"Irwin HS; Maxwell H; Wasshausen DC","1968","02","11","Brazil",NA,NA,"Pico de Itabirito, Minas Gerais, ca, 50km S.E. of Belo Horizonte.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826459 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-WAG1826459","NL-WAG1826459","Magnoliopsidae",NA,NA,NA
"10","2020-02-08 09:32:05-03","NBC","NL-BOTANY","WAG.1827065","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Sinningia","rupicola","Sinningia rupicola","(Mart.) Wiehler",NA,NA,NA,NA,"Irwin HS; Harley RM; Onishi E","1971","01","13","Brazil",NA,NA,"Plants of the Planalto do Brasil. Estado de Minas Gerais. Serra do Espinhaco. Near summit of Serra da Piedade, ca. 35km E. of Belo Horizonte, near BR-31.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1827065 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-WAG1827065","NL-WAG1827065","Magnoliopsidae",NA,NA,NA
