"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:13-03","UNESC","CRI","619","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","morototoni","Didymopanax morototoni","(Aubl.) Decne. & Planch.","Citadini-Zanette, V.","1991","11","14","Citadini-Zanette, V.; Aguiar, A. J.","969","1990","11","14","Brasil","Santa Catarina","Orleans","Rio Novo","-49.285278","-28.368333","49º17'7''W","28º22'6''S","300","300","Árvore com ca.15 cm. Inflorescência coletada e folhas coletadas no chão Habito: Arbórea","CRI013812","CRI013812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00044253","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","morototoni","Didymopanax morototoni","(Aubl.) Decne. & Planch.",NA,NA,NA,NA,"E. Stijfhoorn","669","1991","06","14","Bolivia","El Beni","Vaca Díez","Vicinity of the Chacobo village Alto Ivón","-66.03","-11.85",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1148504' target='other'> <mi>dwc_moreinfo</mi></a>","NY00044253","NY00044253_01","Magnoliophyta","Apiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","88141","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","morototoni","Didymopanax morototoni","(Aubl.) Decne. & Planch.","S. Tiwari",NA,NA,NA,"S. Tiwari","911","1992","09","13","Guyana",NA,NA,"Essequibo. Essequibo: Groete creek, 27 km from Bartica","-57.75","6.6",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00088141","NY00088141_01","Magnoliophyta","Apiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","868300","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","morototoni","Didymopanax morototoni","(Aubl.) Decne. & Planch.","A. C. Smith",NA,NA,NA,"B. A. Krukoff","5530","1933","08","15","Brazil","Acre",NA,"Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868300","NY00868300_01","Magnoliophyta","Apiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","236635","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","morototoni","Didymopanax morototoni angustipetalus","Marchal","D. G. Frodin",NA,NA,NA,"R. Spruce","3456",NA,NA,NA,"Venezuela","Amazonas",NA,"Casiquiari.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=314238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00236635","NY00236635_01","Magnoliophyta","Apiales","South America","sheet","angustipetalus","isotype",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","868298","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","morototoni","Didymopanax morototoni","(Aubl.) Decne. & Planch.","A. C. Smith",NA,NA,NA,"B. A. Krukoff","5530","1933","08","15","Brazil","Acre",NA,"Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200789' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868298","NY00868298_01","Magnoliophyta","Apiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","868299","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","morototoni","Didymopanax morototoni","(Aubl.) Decne. & Planch.","A. C. Smith",NA,NA,NA,"B. A. Krukoff","5530","1933","08","15","Brazil","Acre",NA,"Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868299","NY00868299_01","Magnoliophyta","Apiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00089069","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","morototoni","Didymopanax morototoni","(Aubl.) Decne. & Planch.",NA,NA,NA,NA,"S. Tiwari","911","1992","09","13","Guyana",NA,NA,"Essequibo. Groete creek, 27km from Bartica","-57.75","6.6",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1150774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00089069","NY00089069_01","Magnoliophyta","Apiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","617249","PreservedSpecimen","Plantae","Araliaceae","Schefflera","morototoni","Schefflera morototoni","(Aubl.) Maguire, Steyerm. & Frodin",NA,NA,NA,NA,"B. M. Boom","4468","1984","02","17","Bolivia","El Beni",NA,"Prov. of Vaca Diez. Vicinity of the Chácobo village ALto Ivon","-66.03","-11.75",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617249","NY00617249_01","Magnoliophyta","Apiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02212605","PreservedSpecimen","Plantae","Araliaceae","Schefflera","morototoni","Schefflera morototoni","(Aubl.) Maguire, Steyerm. & Frodin",NA,NA,NA,NA,"W. A. Egler","46541","1961","08","19","Brazil","Amapá",NA,"Rio Jari. Cachoeira Mucuru.","-53.13","0.53",NA,NA,"140",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2353911' target='other'> <mi>dwc_moreinfo</mi></a>","NY02212605","NY02212605_01","Magnoliophyta","Apiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
