"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","396027","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Tetrastylidium","grandifolium","Tetrastylidium grandifolium","(Baill.) Sleumer","G. G. Hatschbach","18184","1967","12","14","South America","Brazil","Paraná","Guaraqueçaba","Rio do Cedro","-48.32","-25.28","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396027","NY00396027_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","396022","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Tetrastylidium","grandifolium","Tetrastylidium grandifolium","(Baill.) Sleumer","J. Almeida","26","1968","09","13","South America","Brazil","Bahia","Porto Seguro","Saída de Itabela - Eunápolis, 1 km da BR 101. Lado leste","-39.0644","-16.4497",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396022","NY00396022_01","H. O. Sleumer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01197975","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Tetrastylidium","grandifolium","Tetrastylidium grandifolium","(Baill.) Sleumer","J. L. Paixão","808","2006","03","19","South America","Brazil","Bahia","Almadina","Serra do Corcovado, Rod. Almadina/Coaraci, ca. 5 km","-39.6025","-14.7036","300","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408236' target='other'> <mi>dwc_moreinfo</mi></a>","NY01197975","NY01197975_01","M. M. M. Lopes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","396021","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Tetrastylidium","grandifolium","Tetrastylidium grandifolium","(Baill.) Sleumer","K. B. Strier","608","1983","04","10","South America","Brazil","Minas Gerais","Caratinga","Estaçao Biologica de Caratinga","-41.83","-19.67",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396021","NY00396021_01","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1033184","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Tetrastylidium","grandifolium","Tetrastylidium grandifolium","(Baill.) Sleumer","S. A. Mori","13808","1981","04","29","South America","Brazil","Bahia","Una","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Southern Bahian Wet Forest. Point 30-B.","-39.1202492","-15.1148921","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216087' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033184","NY01033184_01","A. M. Amorim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","396025","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Tetrastylidium","grandifolium","Tetrastylidium grandifolium","(Baill.) Sleumer","S. A. Mori","10648","1978","09","18","South America","Brazil","Bahia","Prado","Rod. BA 284, trecho Prado/Itamaraju, ca. de 65 km a NW de Prado. Regiao de Mata Higrófila Sul Baiana. Folha SE-24 (17-39c)","-39.2206","-17.3411",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396025","NY00396025_01","H. O. Sleumer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","396028","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Tetrastylidium","grandifolium","Tetrastylidium grandifolium","(Baill.) Sleumer","J. G. Jardim","1255","1998","01","15","South America","Brazil","Bahia","Almadina","Rod. Almadina/Ibitupa, entrada ca. 5 km W da sede do municipio. Fazenda Cruzeiro do Sul. Serra do Sete-Paus; ca. 8 km da entrada","-39.6961","-14.735",NA,NA,"sheet","Area do Inventário Florestal e Fitosociológico <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707626' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396028","NY00396028_01","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","396020","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Tetrastylidium","grandifolium","Tetrastylidium grandifolium","(Baill.) Sleumer","W. W. Thomas","7590","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396020","NY00396020_01","W. W. Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","396023","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Tetrastylidium","grandifolium","Tetrastylidium grandifolium","(Baill.) Sleumer","Pessoal do Horto Florestal",NA,NA,NA,NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","Sumaré, Santa Teresa","-43.2075","-22.9031",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707629' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396023","NY00396023_01","H. O. Sleumer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02674903","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Tetrastylidium","grandifolium","Tetrastylidium grandifolium","(Baill.) Sleumer","D. Piotto","3259","2010","06","10","South America","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42","120","300","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671512' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674903","NY02674903_01","D. Piotto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
