"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","relatedCatalogItem","coordinatePrecision","geoFlag","typeStatus","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","804974","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H.Rob.","H. E. Robinson","R. A. Wasum","HUCS12247","1997","12","13","South America","Brazil","Rio Grande do Sul","Caçapava do Sul","Minas de Camaqua.","-53.4914","-30.5122","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797497' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804974","NY00804974_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","804976","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H.Rob.",NA,"F. C. Hoehne","23391","1928","11","05","South America","Brazil","Paraná",NA,"Jaguariahyva.","-49.713647","-24.340602",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797514' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804976","NY00804976_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","804975","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H.Rob.",NA,"P. K. H. Dusén","16014","1914","11","21","South America","Brazil","Paraná",NA,"Inter Jaguariahgua opp., et Julio de Castilho sito",NA,NA,"750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797501' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804975","NY00804975_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","804977","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H.Rob.",NA,"G. G. Hatschbach","37116","1975","09","19","South America","Brazil","Paraná","Sengés","Serra do Macambo, 3 km O.","-49.4633","-24.1131",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804977","NY00804977_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","804978","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H.Rob.","H. E. Robinson","I. G. Vargas Caballero","880","1990","12","29","South America","Bolivia","Santa Cruz",NA,"Prov. Vallegrande. Tramo entre El Zapallar-Pujio. Ubicado a 15 km al S de Pucará (linea recta)","-64.17","-18.9","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:37:11-03","EAO","IAN","20570","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","asteriflora","Vernonia asteriflora","Mart.",NA,"Martins-da-Silva, RCV","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN020570","IAN020570_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:10:41-03","UFBA","ALCB","035117","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H.Rob.","Dematteis, M","Souza, VC; Sakuragui, CM","4257","1993","09","06","Southern America","Brasil","São Paulo","Itararé","Fazenda Espinho","-49.264722","-24.265","1200","1200",NA,"Ca. 40 cm de alt. Botões castanhos.; Queimado a um mês.",NA,NA,"2007","-49.264722","-24.265",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:10:41-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H.Rob.","Dematteis, M","Silva, JM; Barbosa, E; Poliquesi, CB","4485","2005","11","10","Southern America","Brasil","Paraná","Palmeira","Fazenda Santa Rita","-50","-25.416667",NA,NA,NA,"xilopodífera. Capítulo lilás.; seco.",NA,NA,"2006","-50","-25.416667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:50:13-03","NBC","NL-BOTANY","L.3654011","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H.Rob.","Robinson HE","Wasum R; et al.",NA,"1997","12","12","Southern America","Brazil",NA,NA,"Estrada para CTG Guarda Velha.Caçapava do Sul",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3654011 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3654011","NL-L3654011","1998",NA,NA,"Magnoliopsidae","02","01","L 0250680",NA,NA,NA,NA,NA
"10","2020-11-04 11:02:27-03","ESALQ","ESA","86351","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","asteriflora","Vernonia asteriflora","Mart.ex DC.","Dematteis, M.","Silva, J.M.","3873.0","2003","11","04",NA,"Brasil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"ESA086351","ESA086351",NA,NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA
"11","2019-02-15 11:34:19-02","IPA","IPA","77055","S","Plantae","Plantae",NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","Gaio, J.","Gonzatti, F.","1594","2015","01","29","Southern America","Brasil","Rio Grande do Sul","Caçapava do Sul","Guarda Velha. Em barranco de estrada.","-53.376944","-30.690833","180","180",NA,"Capítulos violáceos.","IPA0077055","IPA0077055","2015","-53.376944","-30.690833",NA,"05","18",NA,NA,NA,NA,NA,NA
"12","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0022063","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H.Rob.","M. Dematteis","J. M. Silva; E. Lucas, F. F. Mazine, C. M. Sakuragui","3873","2003","11","4",NA,"Brazil","Paraná",NA,"Recanto Botuquara (Mun. Ponta Grossa).","-50.15","-25.0833",NA,NA,NA,"Em touceira, capítulo lilás.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:25:42-03","UNICAMP","UEC","66674","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","asteriflora","Vernonia asteriflora","Mart. ex A.DC.","Leitão Filho, HF","Mazzaro, N","12","1969","03","02",NA,"Brazil","São Paulo","Itapeva",NA,"-48.8699989318848","-23.9799995422363",NA,NA,NA,"Herbáceo; flores purpúreas.Floresce em fevereiro-março.; Nativa em cerrado. Beira de estrada.","UEC129992","UEC129992",NA,NA,NA,NA,NA,NA,NA,"42926","auto",NA,NA,NA
"14","2021-03-01 16:25:42-03","UNICAMP","UEC","198503","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","asteriflora","Vernonia asteriflora","Mart. ex A.DC.","Leitão Filho, HF","Mazzaro, N","12","1969","03","02",NA,"Brazil","São Paulo","Itapeva",NA,"-48.8699989318848","-23.9799995422363",NA,NA,NA,"Herbáceo; flores purpúreas.Floresce em fevereiro-março.; Nativa em cerrado. Beira de estrada.","UEC160684","UEC160684",NA,NA,NA,NA,NA,NA,NA,"42926","auto",NA,NA,NA
"15","2021-03-01 16:25:42-03","UNICAMP","UEC","109756","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","asteriflora","Vernonia asteriflora","Mart. ex A.DC.","Leitão Filho, HF","Mazzaro, N","12","1969","03","02",NA,"Brazil","São Paulo","Itapeva",NA,"-48.8699989318848","-23.9799995422363",NA,NA,NA,"Herbáceo; flores purpúreas.Floresce em fevereiro-março.; Nativa em cerrado. Beira de estrada.","UEC129991","UEC129991",NA,NA,NA,NA,NA,NA,NA,"42926","auto",NA,NA,NA
"16","2021-03-01 16:25:42-03","UNICAMP","UEC","90697","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","asteriflora","Vernonia asteriflora","Mart. ex A.DC.","Dematteis, M","Souza, VC","4379","1993","10","30",NA,"Brazil","São Paulo","Itararé","Fazenda Santa Maria do Espinho.","-49.3400001525879","-24.1100006103516",NA,NA,NA,"Erva,ca. 40cm alt.; flores roxas.; Campo natural atingido por fogo há três messes.","UEC129990","UEC129990","2007",NA,NA,NA,NA,NA,NA,"27729","auto",NA,NA,NA
"17","2020-10-14 09:59:13-03","FURB","FURB","49167","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H.Rob.","Gaio, J","Gonzatti, F.","1594","2015","01","29",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul","Guarda Velha.","-53.3769445","-30.6908333","180","180",NA,NA,"FURB49167","FURB49167","2015","-53.3769445","-30.6908333",NA,"05","18",NA,NA,NA,NA,NA,NA
"18","2021-03-16 17:50:54-03","UCS","HUCS","42945","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","Gaio, J.","Gonzatti, F.","1594","2015","01","29",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul","Guarda Velha","-53.376806","-30.690806","180","180",NA,"Capítulos violáceos.; em barranco de estrada.",NA,NA,"2015","-53.376806","-30.690806",NA,"05","18",NA,NA,NA,NA,NA,NA
"19","2021-03-16 17:50:54-03","UCS","HUCS","12251","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","Robinson, H.","Wasum, R.A.","s.n.","1997","12","12",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul","Estrada pata CTG - Guarda Velha","-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,NA,NA,"1998",NA,NA,NA,"02",NA,NA,"50525","auto",NA,NA,NA
"20","2021-03-16 17:50:54-03","UCS","HUCS","12247","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","Robinson, H.","Wasum, R.A.","s.n.","1997","12","13",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul","Minas de Camaquã","-53.4914016723633","-30.5121994018555",NA,NA,NA,"Em beira do caminho",NA,NA,"1998",NA,NA,NA,"02",NA,NA,"50525","auto",NA,NA,NA
"21","2014-10-14 15:56:23-03","BS","M","M-0029303","S","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H.Rob.",NA,"Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Habitat in editis campis; Provinciae Minas Geraes.",NA,NA,NA,NA,NA,NA,"M0029303",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"NOTATYPE",NA,NA
"22","2021-02-23 15:16:46-03","UTFPR","HCF","13222","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H.Rob.","E. Barboza","M.G. Caxambu","4965","2013","11","28",NA,"Brasil","PR","Tibagi","Sítio Sete Quedas","-50.260917","-24.583861","1093","1093",NA,"erva heliófita, ereta, ca. 0,40 m. Capítulos roxos.",NA,NA,"2014","50°15'39,3 W","24°35'01,9 S",NA,"04",NA,NA,NA,NA,NA,NA,NA
"23","2021-02-23 15:16:46-03","UTFPR","HCF","19992","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H.Rob.","E. Barboza","J.M. Silva","7639","2010","11","27",NA,"Brasil","PR","Ponta Grossa","Itaiacoca","-50.1618995666504","-25.0949993133545",NA,NA,NA,"xilopodífera, 70 cm, capítulos lilás. Campo graminoso.",NA,NA,"2011",NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA
"24","2020-12-21 16:16:23-03","MBM","MBM","10235","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","Lindeman, J.","Lindeman, J.; Haas, H.; Haas, H.","3106","1966","10","17","Southern America","Brazil","Paraná","Jaguariaíva","Jaguariaíva","-49.7057991027832","-24.2511005401611",NA,NA,NA,NA,"MBM010235","MBM010235",NA,NA,NA,NA,NA,NA,NA,"44368","auto",NA,NA,NA
"25","2020-12-21 16:16:23-03","MBM","MBM","87536","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","Robinson, H.","Kummrow, R.","2438","1983","11","18","Southern America","Brazil","Paraná","Porto Amazonas","Rod. BR-277","-49.8903007507324","-25.5447006225586",NA,NA,NA,NA,"MBM087536","MBM087536",NA,NA,NA,NA,NA,NA,NA,"14684","auto",NA,NA,NA
"26","2020-12-21 16:16:23-03","MBM","MBM","86774","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","Robinson, H.","Kummrow, R.","2436","1983","11","18","Southern America","Brazil","Paraná","Porto Amazonas","Rod. BR-277, Fazenda São Ludovico","-49.8903007507324","-25.5447006225586",NA,NA,NA,NA,"MBM086774","MBM086774",NA,NA,NA,NA,NA,NA,NA,"14684","auto",NA,NA,NA
"27","2020-12-21 16:16:23-03","MBM","MBM","163696","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","Robinson, H.","Hatschbach, G.; Barboza, E.; Barboza, E.","59643","1993","10","19","Southern America","Brazil","Paraná","Tibagi","Rodovia Castro - Tibagi, km 24","-50.4136009216309","-24.5093994140625",NA,NA,NA,NA,"MBM163696","MBM163696",NA,NA,NA,NA,NA,NA,NA,"56988","auto",NA,NA,NA
"28","2020-12-21 16:16:23-03","MBM","MBM","320465","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","Dematteis, H.","Barboza, E.; Silva, J.M.; Cunha, E.M.; Silva, J.M.; Cunha, E.M.","1692","2006","10","14","Southern America","Brazil","Paraná","Jaguariaíva","Fazenda Samambaia","-49.7057991027832","-24.2511005401611",NA,NA,NA,"Erva ereta, capítulo lilás.; Campo limpo, seco.","MBM320465","MBM320465","2007",NA,NA,NA,NA,NA,NA,"44368","auto",NA,NA,NA
"29","2020-12-21 16:16:23-03","MBM","MBM","195331","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","Robinson, H.","Cordeiro, J.; Silva, J.M.; Silva, J.M.","642","1989","10","11","Southern America","Brazil","Paraná","Palmeira","Córrego da Antas","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"MBM195331","MBM195331",NA,NA,NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA
"30","2020-12-21 16:16:23-03","MBM","MBM","161378","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","Robinson, H.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","59437","1993","09","19","Southern America","Brazil","Paraná","Piraí do Sul","Serra das Furnas, Rio Lambari","-49.948600769043","-24.5261001586914",NA,NA,NA,NA,"MBM161378","MBM161378",NA,NA,NA,NA,NA,NA,NA,"37171","auto",NA,NA,NA
"31","2020-12-21 16:16:23-03","MBM","MBM","290051","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","Dematteis, M.","Silva, J.M.; Lucas, E.; Sakuragui, C.M.; Lucas, E.; Sakuragui, C.M.","3873","2003","11","04","Southern America","Brazil","Paraná","Ponta Grossa","Recanto Botuquara","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"MBM290051","MBM290051",NA,NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA
"32","2018-05-11 05:21:00-03","MO","MOBOT","100766954","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","John Pruski (MO)","J.M. Silva|Eve J. Lucas|Fiorella F. Mazine|C. M. Sakuragui","Silva 3873","2003","11","4","South America","Brazil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46557","auto",NA,"1",NA
"33","2013-02-22 09:49:00-03","MO","MOBOT","100444349","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","G. A. Parada (USZ) 2013","G.A. Parada|Y. Inturias|M. Betancur","Parada-Gutierrez 4081","2011","12","5","South America","Bolivia","Santa Cruz","Vallegrande","Entre Agua amarilla y Agua Ibele, zona dedicada a la agricultura.","-64.31","-18.1997222","2275.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","11-90"
"34","2013-08-27 17:18:00-03","MO","MOBOT","100536781","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","asteriflorus","Lessingianthus asteriflorus","(Mart. ex DC.) H. Rob.","J.P. Pruski (MO)","E. Portal|E. Cervantes","Portal 634B","2003","12","18","South America","Bolivia","Chuquisaca","Belisario Boeto","Municipio de Villa Serrano, Comunidad Ovejeros.","-64.3388889","-19.0255556","2489.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
