"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","infraspecificEpithet","previousCatalogNumber"
"1","2021-04-05 14:25:12-03","UNESC","CRI","12999","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","bifida","Escallonia bifida","Link & Otto","Pastório, FF","2016","03","09","Oliveira, A.A. de","2923","2016","01","30","Brasil","Santa Catarina","Lebon Régis","Próximo ao reflorestamento Fischer. Próximo ao reflorestamento Fischer.","-50.670278","-26.999722","50º40'13''W","26º59'59''S","954","954","CRI011687","CRI011687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:29-03","UNESC","CRI","5293","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","bifida","Escallonia bifida","Link & Otto","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow; D. B. Falkenberg","2275","1993","01","23","Brasil","Rio Grande do Sul","Vale do Sol","Linha XV de Novembro.","-52.683333","-29.604167","52º41'0''W","29º36'15''S","66","66","CRI002258","CRI002258","Habitat: borda de vassoural Habito: arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:29-03","UNESC","CRI","6947","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","bifida","Escallonia bifida","Link & Otto","H. Sleumer",NA,NA,NA,"Reitz; Klein","14.812","1963","04","13","Brasil","Santa Catarina","Lages",NA,"-50.326389","-27.815278","50º19'35''W","27º48'55''S",NA,NA,"CRI002267","CRI002267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:12-03","UNESC","CRI","13502","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","bifida","Escallonia bifida","Link & Otto","Renato Colares","2018","05","29","Renato Colares; Thuany Machado",NA,"2018","03",NA,"Brasil","Santa Catarina","Treviso","Campo Morozini","-49.4475","-28.541389","49º26'51''W","28º32'29''S","161","161","CRI012109",NA,"Habitat: Terrestre Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:12-03","UNESC","CRI","8245","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","bifida","Escallonia bifida","Link & Otto","M. Verdi","2009","01","26","G. Klemz; M. Verdi & R. P. Hasckel",NA,"2009","01","29","Brasil","Santa Catarina","Anita Garibaldi",NA,"-51.033889","-27.851944","51º2'2''W","27º51'7''S",NA,NA,"CRI002270","CRI002270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:12-03","UNESC","CRI","8153","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","bifida","Escallonia bifida","Link & Otto","André Gasper","2008","12","11","G. Klemz; M. Verdi & R. P. Hasckel","1335","2008","12","11","Brasil","Santa Catarina","Anita Garibaldi","Santa Rosa.","-51.120556","-27.628333","51º7'14''W","27º37'42''S","471","471","CRI002260","CRI002260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:29-03","UNESC","CRI","6674","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","bifida","Escallonia bifida","Link & Otto","H. Sleumer",NA,NA,NA,"Reitz; Klein","12237","1962","02","22","Brasil","Santa Catarina","Curitibanos",NA,"-50.584722","-27.283056","50º35'5''W","27º16'59''S","1003","1003","CRI003832","CRI003832","Habitat: orla de capão Habito: arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:29-03","UNESC","CRI","15304","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","bifida","Escallonia bifida","Link & Otto","Aline Votri Guislon & Renato Colares","2020","01","01","João Paulo Gava Just",NA,"2020","01","01","Brasil","Santa Catarina","Bom Jardim da Serra","Trilha para o Pico do Rinoceronte.","-49.653889","-28.582222","49º39'14''W","28º34'56''S","1287","1287","CRI014721",NA,"Flor branca. Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:29-03","UNESC","CRI","2134","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","bifida","Escallonia bifida","Link & Otto","H. Sleumer",NA,NA,NA,"Reitz; Klein","14.812","1963","04","13","Brasil","Santa Catarina","Lages",NA,"-50.326389","-27.816111","50º19'35''W","27º48'58''S",NA,NA,"CRI002265","CRI002265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","498421","PreservedSpecimen","Plantae","Escalloniaceae","Escallonia","bifida","Escallonia bifida","Link & Otto","H. O. Sleumer",NA,NA,NA,"A. F. M. Glaziou","6890","1874","01","22","Brazil","Rio de Janeiro","Nova Friburgo","Alto da Boa Vista de Nova Friburgo","-42.5308","-22.2819",NA,NA,NA,NA,"NY00498421","NY00498421_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=401946' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Escalloniales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
