"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","00804622","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Austroeupatorium","rosmarinaceum","Austroeupatorium rosmarinaceum","(Cabrera & Vittet) R.M.King & H.Rob.","A. Gehrt","s.n.","1936","05","06","South America","Brazil","São Paulo","Itapecerica, Paiol do Meio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804622","NY00804622_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00804623","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Austroeupatorium","rosmarinaceum","Austroeupatorium rosmarinaceum","(Cabrera & Vittet) R.M.King & H.Rob.","P. K. H. Dusén","7634","1909","03","01","South America","Brazil","Paraná","Rio da Terra Vermelha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804623","NY00804623_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-16 08:38:26-03","UTFPR","HCF","19807","S","Plantae",NA,NA,"Asteraceae","Austroeupatorium","rosmarinaceum","Austroeupatorium rosmarinaceum","(Cabrera & Vittet) R.M.King & H.Rob.","J.M. Silva","8518","2014","03","30",NA,"Brasil","PR","Ponte dos Arcos",NA,"ereta de 80 cm; capítulos alvacentos.",NA,NA,"J. Cordeiro","2014","05","14","Balsa Nova","-49.808611","-25.551944","49°48'31 W","25°33'07 S","830","830",NA,NA
"4","2020-12-21 16:14:14-03","MBM","MBM","389134","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Austroeupatorium","rosmarinaceum","Austroeupatorium rosmarinaceum","(Cabrera & Vittet) R.M. King & H. Rob.","Silva, J.M.; Saridakis, D.P.; Nunes, M.C.; Costa, C.T.A.; Saridakis, D.P.; Nunes, M.C.; Costa, C.T.A.","8518","2014","03","30","Southern America","Brazil","Paraná","Ponte dos Arcos",NA,"Ereta de 80cm; capítulos alvacentos.; Formação Pioneira com Influência Fluvial (brejo).","MBM389134","MBM389134","Cordeiro, J.","2014","05","14","Balsa Nova","-49.808611","-25.551944","-49.808611","-25.551944","830","830",NA,NA
"5","2020-12-21 16:14:14-03","MBM","MBM","17809","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Austroeupatorium","rosmarinaceum","Austroeupatorium rosmarinaceum","(Cabrera & Vittet) R.M. King & H. Rob.","Hatschbach, G.","26550","1971","03","12","Southern America","Brazil","Paraná","Rio Iraí",NA,NA,"MBM017809","MBM017809","Robinson, H.",NA,NA,NA,"Piraquara","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"12577","auto"
"6","2020-12-21 16:14:14-03","MBM","MBM","296103","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Austroeupatorium","rosmarinaceum","Austroeupatorium rosmarinaceum","(Cabrera & Vittet) R.M. King & H. Rob.","Motta, J.T.; Kierski, M.I.; Kierski, M.I.","135","1986","01","09","Southern America","Brazil","Paraná","Fazenda do Durgo",NA,"Arbusto, 1,50m, flores alvas; região de banhado","MBM296103","MBM296103","Nakajima, J.","2009","09",NA,"São Mateus do Sul","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"31353","auto"
"7","2020-12-21 16:14:14-03","MBM","MBM","262638","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Austroeupatorium","rosmarinaceum","Austroeupatorium rosmarinaceum","(Cabrera & Vittet) R.M. King & H. Rob.","Motta, J.T.; et al.; et al.","136","1986","01","09","Southern America","Brazil","Paraná","Fazenda do Durgo",NA,NA,"MBM262638","MBM262638","Ribas, O.S.",NA,NA,NA,"São Mateus do Sul","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"31353","auto"
"8","2020-12-21 16:14:14-03","MBM","MBM","116376","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Austroeupatorium","rosmarinaceum","Austroeupatorium rosmarinaceum","(Cabrera & Vittet) R.M. King & H. Rob.","Motta, J.T.; Britez, R.M.; Kierski, M.I.; Britez, R.M.; Kierski, M.I.","138","1986","01","09","Southern America","Brazil","Paraná","Fazenda do Durgo",NA,NA,"MBM116376","MBM116376","Ribas, O.S.",NA,NA,NA,"São Mateus do Sul","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"31353","auto"
"9","2020-12-11 11:32:19-03","UFMG","BHCB","171480","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Austroeupatorium","rosmarinaceum","Austroeupatorium rosmarinaceum","(Cabrera & Vittet) R.M.King & H.Rob.","Silva, JM; Saridakis, DP; Nunes, MC; Costa, CTA","8518",NA,NA,NA,"Southern America","Brasil","Paraná","Ponte dos Arcos",NA,"Ereta 80cm, capítulos alvacentos. Formação pioneira com influência fluvial. (brejo)","BHCB015954",NA,NA,"2014","05","14","Balsa Nova","-49.808611","-25.551944","-49.808611","-25.551944","830","830",NA,NA
"10","2021-02-11 17:17:59-03","UFPR","UPCB","60915","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Austroeupatorium","rosmarinaceum","Austroeupatorium rosmarinaceum","(Cabrera & Vittet) R.M.King & H.Robinson","Kozera, C.","3049","2006","02","14",NA,"Brasil","Paraná","Ponte dos Arcos.",NA,"Subarbustiva com flores brancas, ca. 1m, comum na várzea..",NA,NA,"Hatschbach, G.","2006","01","01","Balsa Nova","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"27346","auto"
