"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","class","order","month","day","continentOcean","locality","relatedCatalogItem","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-01-20 14:40:47-03","UPM","MACK","2596","PreservedSpecimen","Plantae","Orchidaceae","Loefgrenianthus","blanche-amesii","Loefgrenianthus blanche-amesii","(Loefgr.) Hoehne","Gonçalves, G.F.;","Gonçalves, G.F.","42","2013","Brasil","SP","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","Epífita na mata; flores brancas; antera rósea e labelo amarelado","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:46:26-03","NBC","NL-BOTANY","L.1521966","PreservedSpecimen","Plantae","Orchidaceae","Loefgrenianthus","blanche-amesii","Loefgrenianthus blanche-amesii","Hoehne",NA,"Hatschbach GG",NA,"1966","Brazil",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1521966 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae","Asparagales","12","26","Southern America","Morro 7 (mun. Quatro Barras) Paraná.","L 0941673","NL-L1521966","NL-L1521966",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:41:05-03","MN","R","170072","PreservedSpecimen","Plantae","Orchidaceae","Loefgrenianthus","blanche-amesii","Loefgrenianthus blanche-amesii","(Loefgr.) Hoehne","Flaster, B.","Emmerich, W.",NA,"1979","Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048",NA,"auto",NA,NA,"01","02",NA,NA,NA,NA,NA,"1979","11","21",NA,NA,NA,NA,NA
"4","2019-11-21 14:40:53-03","UFJF","CESJ","60067","PreservedSpecimen","Plantae","Orchidaceae","Loefgrenianthus","blanche-amesii","Loefgrenianthus blanche-amesii","(Loefgr.) Hoehne","L. Menini Neto","L. Menini Neto; L.C.Pereira; R.M.Mello","1063","2010","Brasil","MInas Gerais","Baependi","-44.8899993896484","-21.9589004516602","29865","Erva epífita, no interior de floresta ombrófila densa, rara. Pendente, entre musgos, frutos imaturos verdes.","auto",NA,NA,"02","27","América do Sul","Parque Estadual da Serra do Papagaio, Floresta ombrófila densa de encosta.",NA,"CESJ060067",NA,"2012","09","10","Angiosperma",NA,NA,NA,NA
"5","2020-12-21 16:38:35-03","MBM","MBM","14092","PreservedSpecimen","Plantae","Orchidaceae","Loefgrenianthus","blanche-amesii","Loefgrenianthus blanche-amesii","(Loefgr.) Hoehne","Hatschbach, G.","Hatschbach, G.","23931","1970","Brazil","Paraná","Morretes","-48.834400177002","-25.476900100708","30514","Epífita.","auto",NA,NA,"02","27","Southern America","Serra Marumbi",NA,"MBM014092","MBM014092",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:38:35-03","MBM","MBM","49725","PreservedSpecimen","Plantae","Orchidaceae","Loefgrenianthus","blanche-amesii","Loefgrenianthus blanche-amesii","(Loefgr.) Hoehne","Pabst, G.","Hatschbach, G.","15549","1966","Brazil","Paraná","Quatro Barras","-49.0769004821777","-25.3656005859375","17116",NA,"auto",NA,NA,"12","26","Southern America","Morro Sete",NA,"MBM049725","MBM049725",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-01 15:28:29-03","PUC-RIO","FCAB","2071","PreservedSpecimen","Plantae","Orchidaceae","Loefgrenianthus","blanche-amesii","Loefgrenianthus blanche-amesii","(Loefgr.) Hoehne","Lima-Verde, L.W.","P. Capell S.J.","s.n.","1952","Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","Epífita.","auto",NA,"Angiospermae","12","15",NA,NA,NA,"002071",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:44:45-03","UFMG","BHCB","103157","PreservedSpecimen","Plantae","Orchidaceae","Loefgrenianthus","blanche-amesii","Loefgrenianthus blanche-amesii","(Loefgr.) Hoehne",NA,"Stehmann, JR; Vignoli-Silva, M; Kamino, LHY","4523","2006","Brasil","São Paulo","Campos do Jordão","-45.521667","-22.764444",NA,"Epífita, pétalas brancas, coluna amarela com mácula vermelha.; Mata nebular.",NA,NA,NA,"11","22","Southern America","Pico Itapeva",NA,"BHCB017701",NA,"2014","04","29","Monocotyledon","-45.521667","-22.764444","4523","4523"
"9","2019-11-21 10:13:31-03","IBt","SP","14577","S","Plantae","Orchidaceae","Loefgrenianthus","blanche-amesii","Loefgrenianthus blanche-amesii","(Loefgr.) Hoehne","Hoehne, FC","Hoehne, FC","s.n.","1923","Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048",NA,"auto",NA,NA,"11","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 10:13:31-03","IBt","SP","349622","S","Plantae","Orchidaceae","Loefgrenianthus","blanche-amesii","Loefgrenianthus blanche-amesii","(Loefgr.) Hoehne","Barros, F","Konno, T; et al.","736","2000","Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048",NA,"auto",NA,NA,"12","06",NA,"Parque Estadual de Campos do Jordão, Trilha Celestina",NA,NA,NA,"2001","08",NA,NA,NA,NA,NA,NA
