"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","dayIdentified","coordinatePrecision","geoFlag","individualCount","preparationType","order","class"
"1","2020-07-02 18:55:42-03","UFJF","CESJ","60637","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Dryadella","lilliputiana","Dryadella lilliputiana","(Cogn.) Luer","L. Menini Neto; S.G. Furtado","2012","09","S.G. Furtado; L. Menini Neto; J.H.C. Ribeiro","141","2012","09","21","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Mata de Araucária, próximo ao Rio Santo Agostinho.","-45.200556","-22.2225","-45.200556","-22.2225","Erva epífita, no interior de Floresta Ombrófila Mista, a ca. 2m alt., em local sombreado, próximo ao curso d'água. Ramicaule verde-claro, folha verde-escura, sépalas creme pintalgadas de vináceo, pétalas creme-esverdeadas, pintalgadas de vináceo, labelo","CESJ060637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-02 18:55:42-03","UFJF","CESJ","60637","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Dryadella","lilliputiana","Dryadella lilliputiana","(Cogn.) Luer","L. Menini Neto; S.G. Furtado","2012","09","S.G. Furtado; L. Menini Neto; J.H.C. Ribeiro","141","2012","09","21","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Mata de Araucária, próximo ao Rio Santo Agostinho.","-45.200556","-22.2225","-45.200556","-22.2225","Erva epífita, no interior de Floresta Ombrófila Mista, a ca. 2m alt., em local sombreado, próximo ao curso d'água. Ramicaule verde-claro, folha verde-escura, sépalas creme pintalgadas de vináceo, pétalas creme-esverdeadas, pintalgadas de vináceo, labelo","CESJ060637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-10-14 10:04:03-03","FURB","FURB","31324","PreservedSpecimen","Plantae",NA,"Orchidaceae","Dryadella","lilliputiana","Dryadella lilliputiana","(Cogn.) Luer","Mancinelli, WS; Engels, ME; Smidt, EC","2012","04","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1799","2010","03","29",NA,"Brasil","Santa Catarina","Benedito Novo","Fazenda Campo do Zinco.","-49.4977777","-26.9097222","-49.4977777","-26.9097222","Epífita IFFSC e689b (Acima de 4m) - sobre fortófito 19 Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de arbórea; Fruto verde;","FURB04703","788","788","FURB04703",NA,NA,NA,NA,NA,NA,NA
"4","2020-10-14 10:04:03-03","FURB","FURB","35101","PreservedSpecimen","Plantae",NA,"Orchidaceae","Dryadella","lilliputiana","Dryadella lilliputiana","(Cogn.) Luer","Engels, ME","2013","05","Schmitt, J.L.","3192","2011","05","12",NA,"Brasil","Santa Catarina","Corupá",NA,"-49.3505556","-26.4183334","-49.3505556","-26.4183334",NA,"FURB34910","292","292","FURB34910","02",NA,NA,NA,NA,NA,NA
"5","2020-10-14 10:04:03-03","FURB","FURB","31324","PreservedSpecimen","Plantae",NA,"Orchidaceae","Dryadella","lilliputiana","Dryadella lilliputiana","(Cogn.) Luer","Mancinelli, WS; Engels, ME; Smidt, EC","2012","04","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1799","2010","03","29",NA,"Brasil","Santa Catarina","Benedito Novo","Fazenda Campo do Zinco.","-49.4977777","-26.9097222","-49.4977777","-26.9097222","Epífita IFFSC e689b (Acima de 4m) - sobre fortófito 19 Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de arbórea; Fruto verde;","FURB04703","788","788","FURB04703",NA,NA,NA,NA,NA,NA,NA
"6","2020-10-14 10:04:03-03","FURB","FURB","35101","PreservedSpecimen","Plantae",NA,"Orchidaceae","Dryadella","lilliputiana","Dryadella lilliputiana","(Cogn.) Luer","Engels, ME","2013","05","Schmitt, J.L.","3192","2011","05","12",NA,"Brasil","Santa Catarina","Corupá",NA,"-49.3505556","-26.4183334","-49.3505556","-26.4183334",NA,"FURB34910","292","292","FURB34910","02",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:38:23-03","MBM","MBM","408752","PreservedSpecimen","Plantae",NA,"Orchidaceae","Dryadella","lilliputiana","Dryadella lilliputiana","(Cogn.) Luer","Engels, M.E.","2019","04","Silva, J.M.; Bayeri, I.; Noguchi, G.; Bayeri, I.; Noguchi, G.","9736","2017","02","05","Southern America","Brazil","Paraná","Castro","PCH Rio Iapó, Fazenda do Pulo","-50.142222","-24.716111","-50.142222","-24.716111","Erva epífita; flor bege.; Floresta Ombrófila Mista, na margem de rio encachoeirado.","MBM408752","975","975","MBM408752","12",NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:38:23-03","MBM","MBM","408752","PreservedSpecimen","Plantae",NA,"Orchidaceae","Dryadella","lilliputiana","Dryadella lilliputiana","(Cogn.) Luer","Engels, M.E.","2019","04","Silva, J.M.; Bayeri, I.; Noguchi, G.; Bayeri, I.; Noguchi, G.","9736","2017","02","05","Southern America","Brazil","Paraná","Castro","PCH Rio Iapó, Fazenda do Pulo","-50.142222","-24.716111","-50.142222","-24.716111","Erva epífita; flor bege.; Floresta Ombrófila Mista, na margem de rio encachoeirado.","MBM408752","975","975","MBM408752","12",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:38:35-03","MBM","MBM","14502","PreservedSpecimen","Plantae",NA,"Orchidaceae","Masdevallia","liliputiana","Masdevallia liliputiana","Cogn.","Pabst, G.",NA,NA,"Hatschbach, G.","23291","1969","12","30","Southern America","Brazil","Paraná","Campina Grande do Sul","Rio Canguiri","-49.0553016662598","-25.3055992126465",NA,NA,NA,"MBM014502",NA,NA,"MBM014502",NA,"55154","auto",NA,NA,NA,NA
"10","2020-12-21 16:38:35-03","MBM","MBM","10175","PreservedSpecimen","Plantae",NA,"Orchidaceae","Masdevallia","liliputiana","Masdevallia liliputiana","Cogn.","Pabst, G.",NA,NA,"Hatschbach, G.","2045","1968","11","28","Southern America","Brazil","Paraná","Jaguariaíva","Rio do Sabiá","-49.7057991027832","-24.2511005401611",NA,NA,NA,"MBM010175",NA,NA,"MBM010175",NA,"44368","auto",NA,NA,NA,NA
